0,1,2,3,4,5,6,7
1000000,1000000,1000000,1000000,30000,3,2013/07/22,1392/04/31
1030000,1030000,1030000,1030000,10000,0.98,2013/07/23,1392/05/01
1020000,1020000,1020000,1020000,5000,0.49,2013/07/24,1392/05/02
1040000,1040000,1040000,1040000,10000,0.97,2013/07/27,1392/05/05
1030000,1030000,1030000,1030000,0,0,2013/07/28,1392/05/06
1030000,1030000,1030000,1030000,16000,1.55,2013/07/31,1392/05/09
1040000,1040000,1040000,1040000,10000,0.97,2013/08/03,1392/05/12
1030000,1030000,1030000,1030000,10000,0.98,2013/08/04,1392/05/13
1020000,1020000,1020000,1020000,0,0,2013/08/05,1392/05/14
1020000,1020000,1020000,1020000,10000,0.98,2013/08/06,1392/05/15
1030000,1030000,1030000,1030000,3000,0.29,2013/08/07,1392/05/16
1050000,1050000,1050000,1050000,10000,0.96,2013/08/11,1392/05/20
1040000,1040000,1040000,1040000,0,0,2013/08/12,1392/05/21
1040000,1040000,1040000,1040000,0,0,2013/08/13,1392/05/22
1040000,1040000,1040000,1040000,13000,1.25,2013/08/14,1392/05/23
1060000,1060000,1060000,1060000,0,0,2013/08/17,1392/05/26
1060000,1060000,1060000,1060000,20000,1.92,2013/08/18,1392/05/27
1060000,1040000,1060000,1040000,10000,0.97,2013/08/19,1392/05/28
1040000,1030000,1040000,1030000,10000,0.97,2013/08/20,1392/05/29
1040000,1040000,1040000,1040000,2000,0.19,2013/08/21,1392/05/30
1050000,1050000,1060000,1060000,0,0,2013/08/24,1392/06/02
1060000,1050000,1060000,1060000,20000,1.89,2013/08/25,1392/06/03
1060000,1060000,1080000,1080000,60000,5.56,2013/08/26,1392/06/04
1130000,1120000,1150000,1140000,20000,1.79,2013/08/27,1392/06/05
1100000,1100000,1120000,1120000,0,0,2013/08/28,1392/06/06
1120000,1110000,1120000,1110000,0,0,2013/08/31,1392/06/09
1110000,1110000,1110000,1110000,30000,2.7,2013/09/01,1392/06/10
1140000,1130000,1140000,1140000,0,0,2013/09/03,1392/06/12
1130000,1130000,1140000,1140000,0,0,2013/09/04,1392/06/13
1140000,1140000,1140000,1140000,20000,1.79,2013/09/05,1392/06/14
1110000,1110000,1120000,1120000,10000,0.9,2013/09/07,1392/06/16
1120000,1110000,1130000,1110000,40000,3.74,2013/09/08,1392/06/17
1100000,1070000,1100000,1070000,15000,1.42,2013/09/09,1392/06/18
1070000,1055000,1070000,1055000,15000,1.44,2013/09/10,1392/06/19
1050000,1040000,1050000,1040000,0,0,2013/09/11,1392/06/20
1040000,1040000,1040000,1040000,20000,1.96,2013/09/12,1392/06/21
1010000,1010000,1020000,1020000,30000,3.03,2013/09/14,1392/06/23
1020000,980000,1020000,990000,10000,1.02,2013/09/15,1392/06/24
983000,980000,983000,980000,0,0,2013/09/16,1392/06/25
980000,980000,980000,980000,40000,4.08,2013/09/17,1392/06/26
1020000,1020000,1030000,1020000,23000,2.31,2013/09/18,1392/06/27
950000,940000,960000,950000,10000,1.05,2013/09/21,1392/06/30
950000,950000,960000,960000,10000,1.05,2013/09/22,1392/06/31
940000,940000,950000,950000,40000,4.21,2013/09/23,1392/07/01
990000,990000,990000,990000,0,0,2013/09/24,1392/07/02
990000,990000,1000000,990000,0,0,2013/09/25,1392/07/03
990000,990000,990000,990000,20000,2.02,2013/09/26,1392/07/04
990000,990000,1010000,1010000,20000,2.02,2013/09/28,1392/07/06
1000000,990000,1000000,990000,10000,1.02,2013/09/29,1392/07/07
990000,980000,1000000,980000,0,0,2013/09/30,1392/07/08
970000,970000,980000,980000,0,0,2013/10/01,1392/07/09
980000,980000,980000,980000,0,0,2013/10/02,1392/07/10
990000,990000,990000,990000,10000,1.02,2013/10/05,1392/07/13
980000,980000,980000,980000,10000,1.02,2013/10/06,1392/07/14
990000,980000,990000,990000,10000,1.02,2013/10/07,1392/07/15
980000,980000,980000,980000,0,0,2013/10/08,1392/07/16
980000,970000,980000,980000,11000,1.14,2013/10/09,1392/07/17
950000,950000,950000,950000,10000,1.05,2013/10/12,1392/07/20
950000,950000,960000,960000,10000,1.05,2013/10/13,1392/07/21
960000,950000,960000,950000,0,0,2013/10/14,1392/07/22
950000,950000,950000,950000,20000,2.11,2013/10/15,1392/07/23
970000,970000,970000,970000,0,0,2013/10/17,1392/07/25
980000,970000,980000,970000,0,0,2013/10/19,1392/07/27
970000,960000,970000,970000,13000,1.34,2013/10/20,1392/07/28
972000,951000,981000,971000,6000,0.62,2013/10/21,1392/07/29
988000,971000,995000,977000,13000,1.33,2013/10/22,1392/07/30
990000,990000,990000,990000,0,0,2013/10/26,1392/08/04
990000,990000,990000,990000,0,0,2013/10/27,1392/08/05
990000,990000,990000,990000,0,0,2013/10/28,1392/08/06
990000,990000,990000,990000,10000,1.02,2013/10/29,1392/08/07
990000,980000,990000,980000,0,0,2013/10/30,1392/08/08
980000,980000,980000,980000,0,0,2013/10/31,1392/08/09
970000,970000,980000,980000,10000,1.03,2013/11/02,1392/08/11
980000,970000,980000,970000,0,0,2013/11/03,1392/08/12
970000,970000,970000,970000,0,0,2013/11/04,1392/08/13
970000,970000,970000,970000,0,0,2013/11/05,1392/08/14
970000,970000,970000,970000,0,0,2013/11/06,1392/08/15
970000,970000,970000,970000,20000,2.11,2013/11/07,1392/08/16
950000,950000,950000,950000,0,0,2013/11/09,1392/08/18
950000,950000,950000,950000,0,0,2013/11/10,1392/08/19
950000,950000,950000,950000,0,0,2013/11/11,1392/08/20
950000,950000,950000,950000,0,0,2013/11/12,1392/08/21
950000,950000,950000,950000,10000,1.06,2013/11/16,1392/08/25
940000,940000,940000,940000,0,0,2013/11/17,1392/08/26
930000,930000,940000,940000,10000,1.08,2013/11/18,1392/08/27
940000,930000,940000,930000,10000,1.09,2013/11/19,1392/08/28
920000,920000,920000,920000,0,0,2013/11/20,1392/08/29
920000,920000,920000,920000,60000,6.98,2013/11/21,1392/08/30
910000,860000,910000,860000,0,0,2013/11/23,1392/09/02
850000,850000,860000,860000,30000,3.49,2013/11/24,1392/09/03
880000,880000,890000,890000,0,0,2013/11/25,1392/09/04
880000,880000,900000,890000,10000,1.14,2013/11/26,1392/09/05
890000,880000,890000,880000,0,0,2013/11/27,1392/09/06
880000,880000,880000,880000,10000,1.14,2013/11/28,1392/09/07
900000,890000,900000,890000,0,0,2013/11/30,1392/09/09
890000,890000,890000,890000,10000,1.14,2013/12/01,1392/09/10
880000,870000,880000,880000,0,0,2013/12/02,1392/09/11
880000,880000,880000,880000,10000,1.14,2013/12/03,1392/09/12
890000,880000,890000,890000,0,0,2013/12/04,1392/09/13
890000,890000,890000,890000,0,0,2013/12/05,1392/09/14
880000,880000,890000,890000,0,0,2013/12/07,1392/09/16
890000,890000,890000,890000,10000,1.12,2013/12/08,1392/09/17
890000,890000,900000,900000,0,0,2013/12/09,1392/09/18
900000,900000,900000,900000,10000,1.12,2013/12/10,1392/09/19
900000,890000,900000,890000,0,0,2013/12/11,1392/09/20
900000,900000,900000,900000,10000,1.12,2013/12/14,1392/09/23
890000,890000,890000,890000,0,0,2013/12/15,1392/09/24
890000,890000,890000,890000,0,0,2013/12/16,1392/09/25
890000,890000,890000,890000,10000,1.14,2013/12/17,1392/09/26
890000,880000,890000,880000,0,0,2013/12/18,1392/09/27
880000,880000,880000,880000,10000,1.15,2013/12/19,1392/09/28
870000,870000,870000,870000,10000,1.15,2013/12/21,1392/09/30
880000,880000,880000,880000,10000,1.15,2013/12/22,1392/10/01
880000,870000,880000,870000,9000,1.03,2013/12/24,1392/10/03
880000,880000,880000,880000,20000,2.27,2013/12/26,1392/10/05
890000,890000,900000,900000,10000,1.12,2013/12/28,1392/10/07
890000,890000,890000,890000,0,0,2013/12/29,1392/10/08
890000,890000,890000,890000,9000,1.01,2013/12/30,1392/10/09
892000,884000,915000,899000,1000,0.11,2013/12/31,1392/10/10
900000,900000,900000,900000,0,0,2014/01/04,1392/10/14
900000,900000,900000,900000,0,0,2014/01/05,1392/10/15
900000,900000,900000,900000,0,0,2014/01/06,1392/10/16
900000,900000,900000,900000,0,0,2014/01/07,1392/10/17
900000,900000,900000,900000,0,0,2014/01/08,1392/10/18
900000,900000,900000,900000,10000,1.11,2014/01/09,1392/10/19
910000,910000,910000,910000,20000,2.25,2014/01/11,1392/10/21
890000,890000,890000,890000,0,0,2014/01/12,1392/10/22
900000,890000,900000,890000,0,0,2014/01/13,1392/10/23
890000,890000,890000,890000,0,0,2014/01/14,1392/10/24
890000,890000,890000,890000,0,0,2014/01/15,1392/10/25
890000,890000,890000,890000,0,0,2014/01/16,1392/10/26
890000,890000,890000,890000,12000,1.37,2014/01/18,1392/10/28
878000,878000,878000,878000,4000,0.46,2014/01/20,1392/10/30
878000,878000,882000,882000,0,0,2014/01/21,1392/11/01
882000,882000,882000,882000,0,0,2014/01/22,1392/11/02
882000,882000,882000,882000,0,0,2014/01/23,1392/11/03
882000,882000,882000,882000,7400,0.84,2014/01/25,1392/11/05
888500,870800,899200,884700,500,0.06,2014/01/26,1392/11/06
883400,875400,896700,884200,3400,0.38,2014/01/27,1392/11/07
884400,876600,901000,887600,2600,0.29,2014/01/28,1392/11/08
886800,881400,903600,890200,2040,0.23,2014/01/29,1392/11/09
890620,890620,894550,892240,5310,0.6,2014/02/01,1392/11/12
892240,892240,898700,897550,1620,0.18,2014/02/02,1392/11/13
897550,895470,898010,895930,2540,0.28,2014/02/03,1392/11/14
895930,895930,902630,898470,460,0.05,2014/02/04,1392/11/15
898470,897550,901930,898930,0,0,2014/02/05,1392/11/16
898930,898930,898930,898930,3230,0.36,2014/02/06,1392/11/17
906320,900780,906320,902160,5550,0.62,2014/02/08,1392/11/19
902160,902160,911860,907710,10610,1.17,2014/02/09,1392/11/20
907710,907710,918320,918320,14550,1.58,2014/02/10,1392/11/21
928940,923400,934480,932870,0,0,2014/02/12,1392/11/23
932870,932870,932870,932870,20540,2.2,2014/02/13,1392/11/24
955720,952490,958030,953410,6930,0.73,2014/02/15,1392/11/26
953410,953410,961490,960340,5540,0.58,2014/02/16,1392/11/27
960340,950640,960340,954800,920,0.1,2014/02/17,1392/11/28
954800,951110,955720,955720,4610,0.48,2014/02/18,1392/11/29
955720,948800,955720,951110,0,0,2014/02/19,1392/11/30
951110,951110,951110,951110,6690,0.7,2014/02/20,1392/12/01
958030,957800,959190,957800,17310,1.81,2014/02/22,1392/12/03
957800,957800,976500,975110,6470,0.66,2014/02/23,1392/12/04
975110,974190,992660,981580,12010,1.24,2014/02/24,1392/12/05
982730,968650,985730,969570,5310,0.55,2014/02/25,1392/12/06
969570,966110,977190,974880,0,0,2014/02/26,1392/12/07
974880,974880,974880,974880,8310,0.85,2014/02/27,1392/12/08
978350,978350,985730,983190,29110,2.96,2014/03/01,1392/12/10
983190,983190,1016900,1012300,22410,2.26,2014/03/02,1392/12/11
1012300,984580,1012300,989890,3230,0.33,2014/03/03,1392/12/12
989890,986890,994970,993120,4620,0.47,2014/03/04,1392/12/13
993120,984350,997970,997740,0,0,2014/03/05,1392/12/14
997740,997740,997740,997740,9240,0.93,2014/03/06,1392/12/15
985730,975810,992660,988500,5310,0.54,2014/03/08,1392/12/17
988500,982960,994740,993810,3460,0.35,2014/03/09,1392/12/18
993810,985730,1005600,990350,3460,0.35,2014/03/10,1392/12/19
990350,990120,1003000,993810,5770,0.58,2014/03/11,1392/12/20
993810,993810,1001900,999580,0,0,2014/03/12,1392/12/21
999580,999580,999580,999580,420,0.04,2014/03/13,1392/12/22
1000700,991500,1004200,1000000,11500,1.16,2014/03/15,1392/12/24
1000000,988040,1000000,988500,11770,1.21,2014/03/16,1392/12/25
988500,975810,988500,976730,6000,0.62,2014/03/17,1392/12/26
976730,970730,977650,970730,5770,0.59,2014/03/18,1392/12/27
970730,969570,978810,976500,4620,0.48,2014/03/19,1392/12/28
970730,970730,976500,971880,2310,0.24,2014/03/25,1393/01/05
971880,969570,971880,969570,0,0,2014/03/26,1393/01/06
969570,969570,969570,969570,4150,0.43,2014/03/27,1393/01/07
965420,964490,966800,965420,1380,0.14,2014/03/29,1393/01/09
965420,964960,968420,966800,1840,0.19,2014/03/30,1393/01/10
966800,964960,966800,964960,3920,0.41,2014/03/31,1393/01/11
970730,966110,970730,968880,1390,0.14,2014/04/05,1393/01/16
968880,964960,970730,970270,12230,1.26,2014/04/06,1393/01/17
970270,970270,984580,982500,230,0.02,2014/04/07,1393/01/18
988040,980890,992660,982730,7620,0.78,2014/04/08,1393/01/19
982730,982730,990350,990350,0,0,2014/04/09,1393/01/20
990350,990350,990350,990350,9230,0.93,2014/04/10,1393/01/21
992660,992660,1000700,999580,8120,0.81,2014/04/12,1393/01/23
999580,999580,1008800,1007700,5800,0.58,2014/04/13,1393/01/24
