بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
1390610,1380140,1401070,1398610,65240,0.0489,2014/05/02,1393/02/12
1350134,1329611,1365448,1352867,19497,0.0146,2014/05/09,1393/02/19
1353683,1329858,1376226,1354287,1420,0.001,2014/05/10,1393/02/20
1345287,1328581,1372461,1340918,13369,0.01,2014/05/11,1393/02/21
1356124,1327935,1370227,1343113,2195,0.0016,2014/05/13,1393/02/23
1356878,1323228,1369904,1337946,5167,0.0039000000000000003,2014/05/14,1393/02/24
1356579,1333340,1370687,1351998,14052,0.0105,2014/05/16,1393/02/26
1351380,1350300,1352450,1350300,1698,0.0013,2014/05/18,1393/02/28
1340760,1335220,1346300,1341680,8620,0.0064,2014/05/19,1393/02/29
1345680,1343220,1348140,1344760,3080,0.0023,2014/05/20,1393/02/30
1341700,1317540,1352690,1344630,1970,0.0015,2014/05/21,1393/02/31
1341250,1322338,1359739,1341892,2738,0.002,2014/05/23,1393/03/02
1328544,1301308,1356970,1333370,8920,0.0067,2014/05/25,1393/03/04
1304289,1291767,1317870,1307541,2439,0.0019,2014/05/28,1393/03/07
1304910,1303830,1305980,1305980,1561,0.0012,2014/05/31,1393/03/10
1302600,1298910,1306290,1304750,1230,0.0009,2014/06/01,1393/03/11
1303484,1291905,1313911,1302062,2688,0.0021,2014/06/02,1393/03/12
1286140,1282600,1289670,1287830,14232,0.0111,2014/06/07,1393/03/17
1304804,1294815,1320331,1302107,17357,0.013500000000000002,2014/06/08,1393/03/18
1301609,1287851,1325558,1296408,5699,0.0044,2014/06/09,1393/03/19
1290287,1282287,1326322,1302103,5695,0.0044,2014/06/10,1393/03/20
1291736,1270680,1312105,1293734,8369,0.006500000000000001,2014/06/11,1393/03/21
1319837,1304262,1351633,1324222,30488,0.0236,2014/06/13,1393/03/23
1308191,1280718,1341649,1326134,1912,0.0014000000000000002,2014/06/14,1393/03/24
1317856,1293739,1345355,1319105,7029,0.0053,2014/06/15,1393/03/25
1329761,1311144,1358227,1330682,11577,0.0088,2014/06/16,1393/03/26
1314887,1303578,1351931,1330118,564,0.0004,2014/06/17,1393/03/27
1310904,1285733,1334369,1309834,20284,0.0155,2014/06/18,1393/03/28
1313929,1296453,1334769,1323257,13423,0.0102,2014/06/20,1393/03/30
1323269,1300124,1335707,1316049,7208,0.0055000000000000005,2014/06/21,1393/03/31
1327315,1309123,1334482,1316231,182,0.0001,2014/06/22,1393/04/01
1316648,1287356,1323231,1297477,18754,0.014499999999999999,2014/06/23,1393/04/02
1314885,1298448,1333199,1325643,28166,0.0217,2014/06/24,1393/04/03
1327529,1304201,1351955,1311282,14361,0.011000000000000001,2014/06/25,1393/04/04
1304004,1281444,1347201,1329781,18499,0.0141,2014/06/27,1393/04/06
1303489,1279244,1336668,1318344,11437,0.0087,2014/06/28,1393/04/07
1323857,1304201,1341993,1318307,37,0.0,2014/06/29,1393/04/08
1298632,1291879,1306453,1299437,18870,0.014499999999999999,2014/06/30,1393/04/09
1300712,1286664,1316139,1306861,7424,0.005699999999999999,2014/07/01,1393/04/10
1308375,1272499,1315832,1298071,8790,0.0068000000000000005,2014/07/02,1393/04/11
1305381,1282667,1334269,1309648,11577,0.0089,2014/07/04,1393/04/13
1297380,1280147,1313986,1295696,13952,0.0108,2014/07/05,1393/04/14
1302048,1289976,1317672,1298678,2982,0.0023,2014/07/06,1393/04/15
1304154,1293109,1329585,1299869,1191,0.0009,2014/07/07,1393/04/16
1299233,1278445,1326145,1304234,4365,0.0034000000000000002,2014/07/08,1393/04/17
1304922,1271514,1326583,1295613,8621,0.0067,2014/07/09,1393/04/18
1307880,1292158,1328675,1307588,11975,0.0092,2014/07/11,1393/04/20
1300567,1288731,1320145,1305524,2064,0.0016,2014/07/12,1393/04/21
1304466,1294291,1335878,1308402,2878,0.0022,2014/07/13,1393/04/22
1297337,1277098,1315727,1303346,5056,0.0039000000000000003,2014/07/14,1393/04/23
1302126,1290146,1335466,1308768,5422,0.0042,2014/07/15,1393/04/24
