0,1,2,3,4,5,6,7
258132000,258119000,270000000,266018000,8206000,3.18,2026/02/10,1404/11/21
250384000,250384000,263490000,257812000,7409000,2.96,2026/02/09,1404/11/20
241329000,241329000,253795000,250403000,9065000,3.76,2026/02/08,1404/11/19
258086000,241144000,258086000,241338000,16766000,6.95,2026/02/07,1404/11/18
256460000,256380000,259489000,258104000,1634000,0.64,2026/02/05,1404/11/16
235453000,235453000,257642000,256470000,21020000,8.93,2026/02/03,1404/11/14
251785000,234373000,251785000,235450000,16323000,6.93,2026/02/02,1404/11/13
262259000,249609000,262259000,251773000,10465000,4.16,2026/02/01,1404/11/12
274857000,249301000,279804000,262238000,12613000,4.81,2026/01/31,1404/11/11
297936000,256073000,298579000,274851000,7082000,2.64,2026/01/29,1404/11/09
243619000,243619000,270878000,267769000,24138000,9.91,2026/01/28,1404/11/08
229916000,229916000,244869000,243631000,13709000,5.96,2026/01/27,1404/11/07
219765000,219746000,229940000,229922000,10145000,4.62,2026/01/26,1404/11/06
217890000,213904000,220066000,219777000,1878000,0.86,2026/01/25,1404/11/05
211414000,211411000,218383000,217899000,6479000,3.06,2026/01/24,1404/11/04
211411000,211411000,211442000,211420000,0,0.0,2026/01/22,1404/11/02
211414000,211411000,211442000,211420000,3000,0.0,2026/01/21,1404/11/01
211411000,211411000,211442000,211423000,3000,0.0,2026/01/20,1404/10/30
211411000,211411000,211442000,211420000,16000,0.01,2026/01/19,1404/10/29
211423000,211411000,211442000,211436000,3000,0.0,2026/01/18,1404/10/28
211423000,211411000,211442000,211439000,6000,0.0,2026/01/17,1404/10/27
211417000,211411000,211442000,211433000,10000,0.0,2026/01/15,1404/10/25
211420000,211411000,211442000,211423000,13000,0.01,2026/01/14,1404/10/24
211439000,211411000,211442000,211436000,0,0.0,2026/01/13,1404/10/23
211439000,211411000,211442000,211436000,13000,0.01,2026/01/12,1404/10/22
211433000,211411000,211442000,211423000,12000,0.01,2026/01/11,1404/10/21
210795000,210795000,211442000,211411000,634000,0.3,2026/01/10,1404/10/20
215043000,210765000,215043000,210777000,4263000,2.02,2026/01/08,1404/10/18
214046000,208979000,216151000,215040000,1013000,0.47,2026/01/07,1404/10/17
209124000,209124000,217521000,214027000,4909000,2.35,2026/01/06,1404/10/16
196335000,196335000,209149000,209118000,12798000,6.52,2026/01/05,1404/10/15
189333000,189333000,197853000,196320000,7003000,3.7,2026/01/04,1404/10/14
188009000,186513000,189527000,189317000,1323000,0.7,2026/01/01,1404/10/11
196708000,187680000,196708000,187994000,8732000,4.64,2025/12/31,1404/10/10
191435000,191435000,197930000,196726000,5279000,2.76,2025/12/30,1404/10/09
210857000,190973000,210857000,191447000,19422000,10.14,2025/12/29,1404/10/08
204621000,204621000,215225000,210869000,6257000,3.06,2025/12/28,1404/10/07
191407000,191407000,204627000,204612000,13183000,6.89,2025/12/27,1404/10/06
192657000,190727000,193066000,191429000,2081000,1.09,2025/12/25,1404/10/04
190939000,190939000,194667000,193510000,2574000,1.35,2025/12/24,1404/10/03
185864000,185864000,191617000,190936000,5078000,2.73,2025/12/23,1404/10/02
181982000,181982000,186258000,185858000,3900000,2.14,2025/12/22,1404/10/01
183835000,179985000,183835000,181958000,1890000,1.04,2025/12/21,1404/09/30
183257000,183155000,185895000,183848000,600000,0.33,2025/12/20,1404/09/29
185464000,183032000,185464000,183248000,2246000,1.23,2025/12/18,1404/09/27
182121000,182112000,185525000,185494000,4934000,2.73,2025/12/17,1404/09/26
181330000,178138000,181330000,180560000,773000,0.43,2025/12/16,1404/09/25
182854000,180918000,184426000,181333000,1000000,0.55,2025/12/15,1404/09/24
178104000,175196000,180918000,180333000,2250000,1.26,2025/12/14,1404/09/23
171077000,171077000,178775000,178083000,7000000,4.09,2025/12/13,1404/09/22
169095000,169095000,171613000,171083000,1994000,1.18,2025/12/11,1404/09/20
169086000,168104000,169612000,169089000,28000,0.02,2025/12/10,1404/09/19
170797000,167519000,170874000,169061000,446000,0.26,2025/12/09,1404/09/18
169443000,169030000,170594000,169507000,89000,0.05,2025/12/08,1404/09/17
165977000,165977000,169504000,169418000,3426000,2.06,2025/12/07,1404/09/16
163333000,163333000,166657000,165992000,2687000,1.65,2025/12/06,1404/09/15
163918000,162856000,164256000,163305000,631000,0.39,2025/12/04,1404/09/13
161579000,161579000,165189000,163936000,2327000,1.44,2025/12/03,1404/09/12
162825000,159547000,163038000,161609000,1192000,0.74,2025/12/02,1404/09/11
160741000,160741000,164500000,162801000,2081000,1.29,2025/12/01,1404/09/10
157771000,157771000,160775000,160720000,2930000,1.86,2025/11/30,1404/09/09
152899000,152899000,157879000,157790000,4870000,3.18,2025/11/29,1404/09/08
153303000,152783000,154152000,152920000,370000,0.24,2025/11/27,1404/09/06
151437000,151437000,153878000,153290000,1884000,1.24,2025/11/26,1404/09/05
150354000,149892000,153170000,151406000,1043000,0.69,2025/11/25,1404/09/04
148356000,148356000,151166000,150363000,2029000,1.37,2025/11/23,1404/09/02
151317000,148236000,151317000,148334000,2989000,2.02,2025/11/22,1404/09/01
151302000,150446000,152832000,151323000,46000,0.03,2025/11/20,1404/08/29
148362000,148362000,152385000,151277000,2896000,1.95,2025/11/19,1404/08/28
149101000,146417000,149101000,148381000,723000,0.49,2025/11/18,1404/08/27
148064000,148064000,149507000,149104000,1013000,0.68,2025/11/17,1404/08/26
149686000,147433000,150338000,148091000,1586000,1.07,2025/11/16,1404/08/25
154078000,149313000,154078000,149677000,4432000,2.96,2025/11/15,1404/08/24
151967000,151967000,155510000,154109000,2148000,1.41,2025/11/13,1404/08/22
150081860,150081860,152398000,151961000,5187000,3.53,2025/11/12,1404/08/21
140904000,140904000,148334000,146774000,5827000,4.13,2025/11/11,1404/08/20
139423000,139423000,141165000,140947000,1549000,1.11,2025/11/10,1404/08/19
139069000,139069000,139842000,139398000,323000,0.23,2025/11/09,1404/08/18
140051000,138841000,140051000,139075000,948000,0.68,2025/11/08,1404/08/17
139623000,139623000,140270000,140023000,443000,0.32,2025/11/06,1404/08/15
140051000,139088000,140334000,139580000,55000,0.04,2025/11/05,1404/08/14
139429000,139118000,141008000,139635000,210000,0.15,2025/11/04,1404/08/13
139805000,139519000,140424000,139845000,114000,0.08,2025/11/03,1404/08/12
141719000,139611000,142261000,139959000,1723000,1.23,2025/11/02,1404/08/11
138420000,138420000,142150000,141682000,3259000,2.35,2025/11/01,1404/08/10
139432000,137979000,139472000,138423000,975000,0.7,2025/10/30,1404/08/08
138010000,138010000,140827000,139398000,1363000,0.99,2025/10/29,1404/08/07
140608000,136687000,140608000,138035000,2567000,1.86,2025/10/28,1404/08/06
143268000,140227000,143831000,140602000,2647000,1.88,2025/10/27,1404/08/05
141960000,141960000,145623000,143249000,1259000,0.89,2025/10/26,1404/08/04
145244000,140934000,145244000,141990000,3279000,2.31,2025/10/25,1404/08/03
144816000,144816000,146337000,145269000,419000,0.29,2025/10/23,1404/08/01
145530000,143982000,146795000,144850000,643000,0.44,2025/10/22,1404/07/30
146309000,145459000,149319000,145493000,828000,0.57,2025/10/21,1404/07/29
147777000,144428000,147777000,146321000,1435000,0.98,2025/10/20,1404/07/28
144619000,144619000,150107000,147756000,3122000,2.16,2025/10/19,1404/07/27
150311000,143382000,150311000,144634000,5686000,3.93,2025/10/18,1404/07/26
148929000,148929000,151339000,150320000,1388000,0.93,2025/10/16,1404/07/24
144591000,144591000,149184000,148932000,4356000,3.01,2025/10/15,1404/07/23
145795000,143936000,146414000,144576000,1216000,0.84,2025/10/14,1404/07/22
144585000,144585000,148227000,145792000,1228000,0.85,2025/10/13,1404/07/21
145598000,142581000,146629000,144564000,1071000,0.74,2025/10/12,1404/07/20
148550000,145447000,149153000,145635000,2933000,2.01,2025/10/11,1404/07/19
151613000,146925000,151613000,148568000,3069000,2.07,2025/10/09,1404/07/17
145736000,145736000,152878000,151637000,5907000,4.05,2025/10/08,1404/07/16
140402000,140402000,146752000,145730000,5319000,3.79,2025/10/07,1404/07/15
141384000,140183000,142751000,140411000,976000,0.7,2025/10/06,1404/07/14
146057000,140830000,146057000,141387000,4676000,3.31,2025/10/05,1404/07/13
147768000,145198000,147922000,146063000,1687000,1.15,2025/10/04,1404/07/12
145398000,145398000,148876000,147750000,2331000,1.6,2025/10/02,1404/07/10
142544000,142310000,145644000,145419000,3099000,2.18,2025/10/01,1404/07/09
139485000,139165000,143089000,142320000,2851000,2.04,2025/09/30,1404/07/08
135474000,134827000,140193000,139469000,4011000,2.96,2025/09/29,1404/07/07
138084000,133993000,138084000,135458000,2635000,1.95,2025/09/28,1404/07/06
134483000,133935000,138103000,138093000,5085000,3.82,2025/09/27,1404/07/05
132614000,131780000,134224000,133008000,366000,0.28,2025/09/25,1404/07/03
128662000,128662000,134430000,132642000,3962000,3.08,2025/09/24,1404/07/02
124783000,123558000,129145000,128680000,3875000,3.1,2025/09/23,1404/07/01
128991000,124349000,129083000,124805000,4183000,3.35,2025/09/22,1404/06/31
123130000,123130000,129299000,128988000,5848000,4.75,2025/09/21,1404/06/30
116555000,116555000,124774000,123140000,6594000,5.66,2025/09/20,1404/06/29
117910000,116448000,117910000,116546000,1318000,1.13,2025/09/18,1404/06/27
117931000,117586000,118987000,117864000,21000,0.02,2025/09/17,1404/06/26
115718000,115718000,118956000,117885000,2148000,1.86,2025/09/16,1404/06/25
112326000,112326000,115817000,115737000,3399000,3.03,2025/09/15,1404/06/24
112806000,111849000,114428000,112338000,493000,0.44,2025/09/14,1404/06/23
115299000,112661000,115299000,112831000,2290000,2.03,2025/09/13,1404/06/22
118030000,114758000,118030000,115121000,2881000,2.5,2025/09/11,1404/06/20
117411000,116420000,118218000,118002000,582000,0.5,2025/09/09,1404/06/18
117583000,117309000,120218000,117420000,176000,0.15,2025/09/08,1404/06/17
116866000,116725000,118587000,117596000,736000,0.63,2025/09/07,1404/06/16
114853000,114853000,117910000,116860000,1998000,1.74,2025/09/06,1404/06/15
116826000,114570000,116826000,114862000,1940000,1.69,2025/09/04,1404/06/13
116891000,115432000,117325000,116802000,120000,0.1,2025/09/03,1404/06/12
119221000,115801000,119221000,116922000,2287000,1.96,2025/09/02,1404/06/11
114801000,114801000,119633000,119209000,4387000,3.82,2025/08/31,1404/06/09
111261000,111261000,117417000,114822000,3577000,3.22,2025/08/30,1404/06/08
110633000,110233000,112369000,111245000,628000,0.57,2025/08/28,1404/06/06
107930000,107739000,110799000,110617000,4386000,4.13,2025/08/27,1404/06/05
104849000,104849000,106428000,106231000,1410000,1.35,2025/08/26,1404/06/04
103538000,103538000,105043000,104821000,1293000,1.25,2025/08/25,1404/06/03
104606000,102506000,104606000,103528000,1075000,1.04,2025/08/23,1404/06/01
103097000,103097000,104827000,104603000,1469000,1.42,2025/08/21,1404/05/30
101278000,101278000,103165000,103134000,1893000,1.87,2025/08/20,1404/05/29
101155000,101155000,102088000,101241000,83000,0.08,2025/08/19,1404/05/28
100161000,100161000,101441000,101158000,985000,0.98,2025/08/18,1404/05/27
98662000,100001000,99998000,100173000,1483000,1.5,2025/08/17,1404/05/26
101632000,101632000,99995000,98690000,2958000,3.0,2025/08/16,1404/05/25
101054000,100810000,101657000,101648000,2321000,2.34,2025/08/13,1404/05/22
99964000,100001000,99998000,99327000,625000,0.63,2025/08/12,1404/05/21
99899000,100001000,99998000,99952000,56000,0.06,2025/08/11,1404/05/20
99438000,98902000,100210000,99896000,462000,0.46,2025/08/10,1404/05/19
101269000,99087000,101269000,99434000,1810000,1.82,2025/08/09,1404/05/18
101254000,101091000,101808000,101244000,9000,0.01,2025/08/06,1404/05/15
101996000,100290000,101996000,101235000,644000,0.64,2025/08/05,1404/05/14
102328000,99835000,103030000,101879000,418000,0.41,2025/08/04,1404/05/13
100167000,100075000,102531000,102297000,1967000,1.96,2025/08/03,1404/05/12
98619000,98619000,101041000,100330000,1690000,1.71,2025/08/02,1404/05/11
96153000,96132000,99031000,98640000,2496000,2.6,2025/08/01,1404/05/10
95331000,95331000,96578000,96144000,831000,0.87,2025/07/30,1404/05/08
95273000,95159000,95870000,95313000,59000,0.06,2025/07/29,1404/05/07
94999000,94996000,95839000,95254000,289000,0.3,2025/07/28,1404/05/06
93709000,93709000,95648000,94965000,1293000,1.38,2025/07/27,1404/05/05
93490000,92964000,93743000,93672000,225000,0.24,2025/07/26,1404/05/04
94780000,93241000,94866000,93447000,1312000,1.4,2025/07/25,1404/05/03
95128000,94623000,95128000,94759000,366000,0.39,2025/07/23,1404/05/01
96664000,95023000,96664000,95125000,640000,0.67,2025/07/22,1404/04/31
95319000,95128000,95990000,95765000,1385000,1.47,2025/07/21,1404/04/30
92570000,92570000,94472000,94380000,1779000,1.92,2025/07/20,1404/04/29
93121000,92327000,93229000,92601000,532000,0.57,2025/07/19,1404/04/28
94405000,93133000,94405000,93133000,1290000,1.39,2025/07/18,1404/04/27
95036000,94315000,95125000,94423000,610000,0.65,2025/07/16,1404/04/25
94786000,94223000,95285000,95033000,653000,0.69,2025/07/15,1404/04/24
95621000,94940000,96840000,95014000,394000,0.41,2025/07/14,1404/04/23
92853000,92847000,96110000,95408000,2524000,2.72,2025/07/12,1404/04/21
94208000,92462000,94208000,92884000,1185000,1.28,2025/07/11,1404/04/20
