بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
2300000,2300000,2300000,2300000,50000,0.0217,2013/07/22,1392/04/31
2350000,2350000,2350000,2350000,50000,0.0217,2013/07/23,1392/05/01
2372000,2339000,2397000,2351000,1000,0.0004,2013/07/24,1392/05/02
2400000,2400000,2400000,2400000,49000,0.0208,2013/07/27,1392/05/05
2400000,2350000,2420000,2400000,0,0.0,2013/07/28,1392/05/06
2440000,2370000,2470000,2420000,20000,0.0083,2013/07/31,1392/05/09
2500000,2500000,2500000,2500000,80000,0.0331,2013/08/03,1392/05/12
2450000,2450000,2450000,2450000,50000,0.0204,2013/08/04,1392/05/13
2450000,2450000,2450000,2450000,0,0.0,2013/08/05,1392/05/14
2450000,2450000,2450000,2450000,0,0.0,2013/08/06,1392/05/15
2410000,2374000,2474000,2444000,6000,0.0025,2013/08/07,1392/05/16
2400000,2400000,2400000,2400000,44000,0.0183,2013/08/11,1392/05/20
2400000,2400000,2400000,2400000,0,0.0,2013/08/12,1392/05/21
2350000,2350000,2350000,2350000,50000,0.0213,2013/08/13,1392/05/22
2359000,2334000,2406000,2374000,24000,0.0102,2013/08/14,1392/05/23
2350000,2350000,2350000,2350000,24000,0.0102,2013/08/17,1392/05/26
2350000,2350000,2350000,2350000,0,0.0,2013/08/18,1392/05/27
2200000,2200000,2350000,2200000,150000,0.0682,2013/08/19,1392/05/28
2180000,2150000,2200000,2180000,20000,0.0092,2013/08/20,1392/05/29
2170000,2115000,2205000,2153000,3000,0.0014000000000000002,2013/08/21,1392/05/30
2250000,2200000,2250000,2200000,47000,0.0218,2013/08/24,1392/06/02
2200000,2150000,2200000,2200000,0,0.0,2013/08/25,1392/06/03
2200000,2200000,2250000,2250000,50000,0.0227,2013/08/26,1392/06/04
2400000,2400000,2450000,2450000,200000,0.0889,2013/08/27,1392/06/05
2312000,2291000,2398000,2351000,1000,0.0004,2013/08/28,1392/06/06
2300000,2300000,2350000,2350000,1000,0.0004,2013/08/31,1392/06/09
2350000,2350000,2350000,2350000,0,0.0,2013/09/01,1392/06/10
2400000,2400000,2450000,2450000,100000,0.0426,2013/09/03,1392/06/12
2450000,2400000,2450000,2400000,50000,0.0208,2013/09/04,1392/06/13
2400000,2400000,2400000,2400000,0,0.0,2013/09/05,1392/06/14
2300000,2300000,2300000,2300000,100000,0.0435,2013/09/07,1392/06/16
2300000,2300000,2300000,2300000,0,0.0,2013/09/08,1392/06/17
2300000,2200000,2300000,2200000,100000,0.0455,2013/09/09,1392/06/18
2200000,2200000,2250000,2250000,50000,0.0227,2013/09/10,1392/06/19
2200000,2200000,2200000,2200000,50000,0.0227,2013/09/11,1392/06/20
2200000,2200000,2200000,2200000,0,0.0,2013/09/12,1392/06/21
2150000,2150000,2150000,2150000,50000,0.0233,2013/09/14,1392/06/23
2100000,2000000,2100000,2000000,150000,0.075,2013/09/15,1392/06/24
2150000,2100000,2150000,2100000,100000,0.05,2013/09/16,1392/06/25
2100000,2050000,2100000,2050000,50000,0.024399999999999998,2013/09/17,1392/06/26
2139000,2049000,2150000,2067000,83000,0.04019999999999999,2013/09/18,1392/06/27
2000000,2000000,2050000,2000000,67000,0.0335,2013/09/21,1392/06/30
2000000,2000000,2000000,2000000,0,0.0,2013/09/22,1392/06/31
1950000,1950000,1950000,1950000,50000,0.0256,2013/09/23,1392/07/01
2100000,2100000,2100000,2100000,150000,0.07690000000000001,2013/09/24,1392/07/02
2100000,2050000,2100000,2050000,50000,0.024399999999999998,2013/09/25,1392/07/03
2050000,2050000,2050000,2050000,0,0.0,2013/09/26,1392/07/04
2000000,2000000,2050000,2000000,50000,0.025,2013/09/28,1392/07/06
2050000,2000000,2050000,2000000,0,0.0,2013/09/29,1392/07/07
2050000,2000000,2050000,2000000,0,0.0,2013/09/30,1392/07/08
2000000,2000000,2000000,2000000,0,0.0,2013/10/01,1392/07/09
1950000,1932000,1976000,1952000,2000,0.001,2013/10/02,1392/07/10
2000000,2000000,2000000,2000000,48000,0.0246,2013/10/05,1392/07/13
2000000,2000000,2000000,2000000,0,0.0,2013/10/06,1392/07/14
2000000,2000000,2000000,2000000,0,0.0,2013/10/07,1392/07/15
2000000,1950000,2000000,2000000,0,0.0,2013/10/08,1392/07/16
1994000,1909000,2008000,1950000,0,0.0,2013/10/09,1392/07/17
1950000,1900000,1950000,1900000,50000,0.0263,2013/10/12,1392/07/20
1950000,1950000,1950000,1950000,50000,0.0263,2013/10/13,1392/07/21
1950000,1950000,1950000,1950000,0,0.0,2013/10/14,1392/07/22
1950000,1950000,1950000,1950000,0,0.0,2013/10/15,1392/07/23
2000000,2000000,2000000,2000000,50000,0.0256,2013/10/17,1392/07/25
1950000,1950000,1950000,1950000,50000,0.0256,2013/10/19,1392/07/27
1950000,1910000,1987000,1950000,0,0.0,2013/10/20,1392/07/28
1950000,1926000,1981000,1950000,0,0.0,2013/10/21,1392/07/29
1950000,1938000,1976000,1950000,0,0.0,2013/10/22,1392/07/30
1950000,1950000,1950000,1950000,0,0.0,2013/10/26,1392/08/04
1950000,1950000,1950000,1950000,0,0.0,2013/10/27,1392/08/05
1950000,1950000,1950000,1950000,0,0.0,2013/10/28,1392/08/06
1950000,1950000,1950000,1950000,0,0.0,2013/10/29,1392/08/07
1950000,1950000,1950000,1950000,0,0.0,2013/10/30,1392/08/08
1950000,1950000,1950000,1950000,0,0.0,2013/10/31,1392/08/09
1900000,1900000,1950000,1950000,0,0.0,2013/11/02,1392/08/11
1900000,1900000,1900000,1900000,50000,0.0263,2013/11/03,1392/08/12
1900000,1900000,1900000,1900000,0,0.0,2013/11/04,1392/08/13
1900000,1900000,1900000,1900000,0,0.0,2013/11/05,1392/08/14
1900000,1900000,1900000,1900000,0,0.0,2013/11/06,1392/08/15
1900000,1900000,1900000,1900000,0,0.0,2013/11/07,1392/08/16
1900000,1850000,1900000,1850000,50000,0.027000000000000003,2013/11/09,1392/08/18
1950000,1850000,1950000,1850000,0,0.0,2013/11/10,1392/08/19
1900000,1900000,1900000,1900000,50000,0.027000000000000003,2013/11/11,1392/08/20
1900000,1900000,1900000,1900000,0,0.0,2013/11/12,1392/08/21
1900000,1850000,1900000,1850000,50000,0.027000000000000003,2013/11/16,1392/08/25
1850000,1850000,1850000,1850000,0,0.0,2013/11/17,1392/08/26
1850000,1850000,1850000,1850000,0,0.0,2013/11/18,1392/08/27
1850000,1850000,1850000,1850000,0,0.0,2013/11/19,1392/08/28
1800000,1800000,1800000,1800000,50000,0.0278,2013/11/20,1392/08/29
1800000,1800000,1800000,1800000,0,0.0,2013/11/21,1392/08/30
1750000,1700000,1750000,1700000,100000,0.0588,2013/11/23,1392/09/02
1650000,1600000,1650000,1600000,100000,0.0625,2013/11/24,1392/09/03
1750000,1700000,1750000,1700000,100000,0.0625,2013/11/25,1392/09/04
1700000,1700000,1700000,1700000,0,0.0,2013/11/26,1392/09/05
1700000,1700000,1700000,1700000,0,0.0,2013/11/27,1392/09/06
1700000,1700000,1700000,1700000,0,0.0,2013/11/28,1392/09/07
1700000,1700000,1700000,1700000,0,0.0,2013/11/30,1392/09/09
1750000,1700000,1750000,1700000,0,0.0,2013/12/01,1392/09/10
1700000,1700000,1700000,1700000,0,0.0,2013/12/02,1392/09/11
1700000,1700000,1700000,1700000,0,0.0,2013/12/03,1392/09/12
1700000,1700000,1700000,1700000,0,0.0,2013/12/04,1392/09/13
1700000,1700000,1700000,1700000,0,0.0,2013/12/05,1392/09/14
1700000,1700000,1700000,1700000,0,0.0,2013/12/07,1392/09/16
1700000,1700000,1700000,1700000,0,0.0,2013/12/08,1392/09/17
1700000,1700000,1700000,1700000,0,0.0,2013/12/09,1392/09/18
1750000,1700000,1750000,1700000,0,0.0,2013/12/10,1392/09/19
1700000,1670000,1720000,1710000,10000,0.0059,2013/12/11,1392/09/20
1750000,1750000,1750000,1750000,40000,0.023399999999999997,2013/12/14,1392/09/23
1700000,1700000,1700000,1700000,50000,0.0294,2013/12/15,1392/09/24
1700000,1700000,1700000,1700000,0,0.0,2013/12/16,1392/09/25
1700000,1700000,1750000,1750000,50000,0.0294,2013/12/17,1392/09/26
1700000,1700000,1700000,1700000,50000,0.0294,2013/12/18,1392/09/27
1700000,1700000,1700000,1700000,0,0.0,2013/12/19,1392/09/28
1700000,1700000,1700000,1700000,0,0.0,2013/12/21,1392/09/30
1700000,1700000,1700000,1700000,0,0.0,2013/12/22,1392/10/01
1700000,1670000,1720000,1700000,0,0.0,2013/12/24,1392/10/03
1700000,1700000,1700000,1700000,0,0.0,2013/12/26,1392/10/05
1750000,1750000,1750000,1750000,50000,0.0294,2013/12/28,1392/10/07
1800000,1750000,1800000,1750000,0,0.0,2013/12/29,1392/10/08
1750000,1750000,1750000,1750000,0,0.0,2013/12/30,1392/10/09
1750000,1719000,1771000,1750000,0,0.0,2013/12/31,1392/10/10
1750000,1750000,1750000,1750000,0,0.0,2014/01/04,1392/10/14
1750000,1750000,1800000,1800000,50000,0.0286,2014/01/05,1392/10/15
1800000,1800000,1800000,1800000,0,0.0,2014/01/06,1392/10/16
1800000,1750000,1800000,1750000,50000,0.0286,2014/01/07,1392/10/17
1750000,1750000,1750000,1750000,0,0.0,2014/01/08,1392/10/18
1750000,1750000,1750000,1750000,0,0.0,2014/01/09,1392/10/19
1800000,1800000,1800000,1800000,50000,0.0286,2014/01/11,1392/10/21
1750000,1750000,1800000,1800000,0,0.0,2014/01/12,1392/10/22
1800000,1750000,1800000,1750000,50000,0.0286,2014/01/13,1392/10/23
1750000,1750000,1750000,1750000,0,0.0,2014/01/14,1392/10/24
1750000,1750000,1750000,1750000,0,0.0,2014/01/15,1392/10/25
1750000,1750000,1750000,1750000,0,0.0,2014/01/16,1392/10/26
1700000,1700000,1700000,1700000,50000,0.0294,2014/01/18,1392/10/28
1700000,1700000,1700000,1700000,0,0.0,2014/01/20,1392/10/30
1700000,1680000,1700000,1680000,20000,0.011899999999999999,2014/01/21,1392/11/01
1680000,1680000,1680000,1680000,0,0.0,2014/01/22,1392/11/02
1680000,1680000,1680000,1680000,0,0.0,2014/01/23,1392/11/03
1686000,1649000,1702000,1683000,3000,0.0018,2014/01/25,1392/11/05
1692000,1663000,1711000,1680000,3000,0.0018,2014/01/26,1392/11/06
1682000,1659000,1707000,1687000,7000,0.0042,2014/01/27,1392/11/07
1682000,1669000,1699000,1688000,1000,0.0006,2014/01/28,1392/11/08
1698000,1674000,1716000,1684000,4000,0.0024,2014/01/29,1392/11/09
1690000,1690000,1710000,1710000,26000,0.0154,2014/02/01,1392/11/12
1710000,1700000,1710000,1700000,10000,0.0059,2014/02/02,1392/11/13
1700000,1700000,1710000,1710000,10000,0.0059,2014/02/03,1392/11/14
1710000,1710000,1710000,1710000,0,0.0,2014/02/04,1392/11/15
1710000,1710000,1710000,1710000,0,0.0,2014/02/05,1392/11/16
