0,1,2,3,4,5,6,7
191019000,191010000,199802000,196855000,6073000,3.18,2026/02/10,1404/11/21
185286000,185286000,194985000,190782000,5482000,2.96,2026/02/09,1404/11/20
178585000,178585000,187810000,185300000,6708000,3.76,2026/02/08,1404/11/19
190985000,178449000,190985000,178592000,12407000,6.95,2026/02/07,1404/11/18
189783000,189723000,192024000,190999000,1210000,0.64,2026/02/05,1404/11/16
174237000,174237000,190657000,189789000,15554000,8.93,2026/02/03,1404/11/14
186323000,173438000,186323000,174235000,12079000,6.93,2026/02/02,1404/11/13
194074000,184712000,194074000,186314000,7744000,4.16,2026/02/01,1404/11/12
203397000,184485000,207057000,194058000,9334000,4.81,2026/01/31,1404/11/11
220475000,189496000,220951000,203392000,5241000,2.64,2026/01/29,1404/11/09
180280000,180280000,200451000,198151000,17862000,9.91,2026/01/28,1404/11/08
170139000,170139000,181205000,180289000,10145000,5.96,2026/01/27,1404/11/07
162628000,162614000,170158000,170144000,7507000,4.62,2026/01/26,1404/11/06
161240000,158291000,162851000,162637000,1390000,0.86,2026/01/25,1404/11/05
156448000,156446000,161605000,161247000,4794000,3.06,2026/01/24,1404/11/04
156446000,156446000,156469000,156453000,0,0.0,2026/01/22,1404/11/02
156448000,156446000,156469000,156453000,2000,0.0,2026/01/21,1404/11/01
156446000,156446000,156469000,156455000,2000,0.0,2026/01/20,1404/10/30
156446000,156446000,156469000,156453000,11000,0.01,2026/01/19,1404/10/29
156455000,156446000,156469000,156464000,2000,0.0,2026/01/18,1404/10/28
156455000,156446000,156469000,156466000,4000,0.0,2026/01/17,1404/10/27
156450000,156446000,156469000,156462000,7000,0.0,2026/01/15,1404/10/25
156453000,156446000,156469000,156455000,9000,0.01,2026/01/14,1404/10/24
156466000,156446000,156469000,156464000,0,0.0,2026/01/13,1404/10/23
156466000,156446000,156469000,156464000,9000,0.01,2026/01/12,1404/10/22
156462000,156446000,156469000,156455000,9000,0.01,2026/01/11,1404/10/21
155990000,155990000,156469000,156446000,469000,0.3,2026/01/10,1404/10/20
159133000,155967000,159133000,155977000,3154000,2.02,2026/01/08,1404/10/18
158395000,154646000,159953000,159131000,749000,0.47,2026/01/07,1404/10/17
154753000,154753000,160967000,158382000,3633000,2.35,2026/01/06,1404/10/16
145289000,145289000,154772000,154749000,9471000,6.52,2026/01/05,1404/10/15
140108000,140108000,146412000,145278000,5182000,3.7,2026/01/04,1404/10/14
139128000,138021000,140251000,140096000,979000,0.7,2026/01/01,1404/10/11
145565000,138884000,145565000,139117000,6462000,4.65,2025/12/31,1404/10/10
141663000,141663000,146469000,145579000,3907000,2.76,2025/12/30,1404/10/09
156036000,141322000,156036000,141672000,14373000,10.15,2025/12/29,1404/10/08
151421000,151421000,159268000,156045000,4631000,3.06,2025/12/28,1404/10/07
141643000,141643000,151426000,151414000,9755000,6.89,2025/12/27,1404/10/06
142568000,141139000,142870000,141659000,1539000,1.09,2025/12/25,1404/10/04
141297000,141297000,144055000,143198000,1904000,1.35,2025/12/24,1404/10/03
137541000,137541000,141798000,141294000,3758000,2.73,2025/12/23,1404/10/02
134668000,134668000,137832000,137536000,2886000,2.14,2025/12/22,1404/10/01
136040000,133190000,136040000,134650000,1399000,1.04,2025/12/21,1404/09/30
135611000,135536000,137563000,136049000,444000,0.33,2025/12/20,1404/09/29
137245000,135445000,137245000,135605000,1662000,1.23,2025/12/18,1404/09/27
134771000,134764000,137290000,137267000,3651000,2.73,2025/12/17,1404/09/26
134186000,131824000,134186000,133616000,572000,0.43,2025/12/16,1404/09/25
135313000,133880000,136477000,134188000,740000,0.55,2025/12/15,1404/09/24
131798000,129646000,133880000,133448000,1665000,1.26,2025/12/14,1404/09/23
126598000,126598000,132295000,131783000,5180000,4.09,2025/12/13,1404/09/22
125132000,125132000,126995000,126603000,1476000,1.18,2025/12/11,1404/09/20
125125000,124398000,125514000,125127000,21000,0.02,2025/12/10,1404/09/19
126391000,123965000,126448000,125106000,331000,0.26,2025/12/09,1404/09/18
125389000,125084000,126241000,125437000,66000,0.05,2025/12/08,1404/09/17
122824000,122824000,125434000,125371000,2535000,2.06,2025/12/07,1404/09/16
120868000,120868000,123328000,122836000,1989000,1.65,2025/12/06,1404/09/15
121300000,120515000,121551000,120847000,467000,0.39,2025/12/04,1404/09/13
119569000,119569000,122241000,121314000,1722000,1.44,2025/12/03,1404/09/12
120492000,118066000,120649000,119592000,882000,0.74,2025/12/02,1404/09/11
118950000,118950000,121731000,120474000,1540000,1.29,2025/12/01,1404/09/10
116752000,116752000,118975000,118934000,2169000,1.86,2025/11/30,1404/09/09
113146000,113146000,116832000,116765000,3603000,3.18,2025/11/29,1404/09/08
113445000,113061000,114074000,113162000,274000,0.24,2025/11/27,1404/09/06
112065000,112065000,113871000,113436000,1394000,1.24,2025/11/26,1404/09/05
111263000,110921000,113347000,112042000,772000,0.69,2025/11/25,1404/09/04
109785000,109785000,111864000,111270000,1501000,1.37,2025/11/23,1404/09/02
111976000,109696000,111976000,109769000,2211000,2.01,2025/11/22,1404/09/01
111964000,111331000,113097000,111980000,34000,0.03,2025/11/20,1404/08/29
109789000,109789000,112766000,111946000,2143000,1.95,2025/11/19,1404/08/28
110336000,108349000,110336000,109803000,535000,0.49,2025/11/18,1404/08/27
109568000,109568000,110636000,110338000,749000,0.68,2025/11/17,1404/08/26
110769000,109101000,111251000,109589000,1173000,1.07,2025/11/16,1404/08/25
114019000,110493000,114019000,110762000,3280000,2.96,2025/11/15,1404/08/24
112456000,112456000,115078000,114042000,1590000,1.41,2025/11/13,1404/08/22
111495000,111103000,112775000,112452000,3838000,3.53,2025/11/12,1404/08/21
104270000,104270000,109769000,108614000,4312000,4.13,2025/11/11,1404/08/20
103174000,103174000,104463000,104302000,1146000,1.11,2025/11/10,1404/08/19
102912000,102912000,103484000,103156000,239000,0.23,2025/11/09,1404/08/18
103639000,102744000,103639000,102917000,701000,0.68,2025/11/08,1404/08/17
103322000,103322000,103801000,103618000,328000,0.32,2025/11/06,1404/08/15
