بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
6553000,6553000,6634500,6591000,46500,0.0070999999999999995,2018/03/17,1396/12/26
6595500,6595500,6640000,6637500,46500,0.0070999999999999995,2018/03/18,1396/12/27
6640000,6637500,6642500,6642500,5000,0.0008,2018/03/19,1396/12/28
6915000,6915000,7030000,7020000,377500,0.056799999999999996,2018/03/25,1397/01/05
7012500,6911500,7015000,6911500,108500,0.015700000000000002,2018/03/26,1397/01/06
6910000,6845000,6910000,6845000,66500,0.0097,2018/03/27,1397/01/07
6835000,6834500,6885000,6885000,40000,0.0058,2018/03/28,1397/01/08
6890000,6890000,6895000,6895000,10000,0.0015,2018/03/29,1397/01/09
6932500,6932500,6961500,6943000,48000,0.006999999999999999,2018/04/03,1397/01/14
6975200,6835600,7261200,7185800,230800,0.0332,2018/04/04,1397/01/15
7255000,7255000,7535000,7365000,179200,0.024900000000000002,2018/04/07,1397/01/18
7400000,6930000,7735000,6930000,435000,0.06280000000000001,2018/04/08,1397/01/19
6945000,6770000,7160000,6825000,105000,0.0154,2018/04/09,1397/01/20
6910000,6910000,7240000,7170000,345000,0.050499999999999996,2018/04/10,1397/01/21
7195000,7080000,7210000,7105000,65000,0.0091,2018/04/11,1397/01/22
7160000,7130000,7165000,7130000,25000,0.0034999999999999996,2018/04/12,1397/01/23
7370000,7358000,7480000,7368000,238000,0.0334,2018/04/15,1397/01/26
7377000,7294000,7433000,7312000,56000,0.0077,2018/04/16,1397/01/27
7320000,7308000,7365000,7310000,2000,0.0003,2018/04/17,1397/01/28
7327000,7327000,7382000,7364000,54000,0.0074,2018/04/18,1397/01/29
7360000,7350000,7366000,7362000,2000,0.0003,2018/04/19,1397/01/30
7420000,7340000,7420000,7360000,2000,0.0003,2018/04/21,1397/02/01
7345000,7310000,7345000,7332000,28000,0.0038,2018/04/22,1397/02/02
7335000,7335000,7425000,7425000,93000,0.0127,2018/04/23,1397/02/03
7415000,7408000,7430000,7417000,8000,0.0011,2018/04/24,1397/02/04
7430000,7430000,7474000,7465000,48000,0.006500000000000001,2018/04/25,1397/02/05
7464000,7462000,7484000,7484000,19000,0.0025,2018/04/26,1397/02/06
7515000,7515000,7670000,7640000,156000,0.0208,2018/04/28,1397/02/08
7650000,7650000,7805000,7805000,165000,0.0216,2018/04/29,1397/02/09
7820000,7820000,7985000,7885000,80000,0.0102,2018/04/30,1397/02/10
7905000,7900000,8110000,8110000,225000,0.0285,2018/05/01,1397/02/11
8160000,8080000,8210000,8205000,95000,0.011699999999999999,2018/05/03,1397/02/13
8760000,8465000,9030000,8500000,295000,0.036000000000000004,2018/05/05,1397/02/15
8510000,7880000,8515000,8090000,410000,0.0507,2018/05/06,1397/02/16
8160000,7980000,8620000,8505000,415000,0.0513,2018/05/07,1397/02/17
8720000,8345000,8800000,8415000,90000,0.010700000000000001,2018/05/08,1397/02/18
8440000,8430000,8705000,8705000,290000,0.0345,2018/05/09,1397/02/19
8710000,8690000,8840000,8710000,5000,0.0006,2018/05/10,1397/02/20
8465000,8240000,8475000,8260000,450000,0.0545,2018/05/12,1397/02/22
8270000,7925000,8270000,7980000,280000,0.0351,2018/05/13,1397/02/23
8035000,7910000,8095000,8040000,60000,0.0075,2018/05/14,1397/02/24
8070000,7965000,8090000,8020000,20000,0.0025,2018/05/15,1397/02/25
7980000,7980000,8075000,8030000,10000,0.0012,2018/05/16,1397/02/26
8035000,8005000,8045000,8020000,10000,0.0012,2018/05/17,1397/02/27
7885000,7770000,8010000,7965000,55000,0.0069,2018/05/19,1397/02/29
7910000,7910000,8250000,8195000,230000,0.028900000000000002,2018/05/20,1397/02/30
8185000,8015000,8210000,8090000,105000,0.013000000000000001,2018/05/21,1397/02/31
8050000,8050000,8170000,8140000,50000,0.0062,2018/05/22,1397/03/01
8155000,8150000,8275000,8275000,135000,0.0166,2018/05/23,1397/03/02
