0,1,2,3,4,5,6,7
857470000,846950000,881050000,874460000,16500000,1.92,2026/02/10,1404/11/21
853040000,838950000,864050000,857960000,35000000,4.25,2026/02/09,1404/11/20
796960000,788950000,835050000,822960000,35500000,4.51,2026/02/08,1404/11/19
809460000,780950000,818050000,787460000,50730000,6.44,2026/02/07,1404/11/18
842780000,834950000,848050000,838190000,2230000,0.27,2026/02/05,1404/11/16
815020000,799950000,840050000,835960000,65010000,8.43,2026/02/03,1404/11/14
777970000,759950000,798050000,770950000,47060000,6.1,2026/02/02,1404/11/13
833990000,809950000,839050000,818010000,30010000,3.67,2026/02/01,1404/11/12
883950000,812950000,906050000,848020000,44960000,5.3,2026/01/31,1404/11/11
967020000,866050000,970040000,892980000,17960000,2.05,2026/01/29,1404/11/09
834960000,834960000,876050000,875020000,87560000,11.12,2026/01/28,1404/11/08
766550000,764450000,794050000,787460000,40510000,5.42,2026/01/27,1404/11/07
694950000,694950000,747050000,746950000,51940000,7.47,2026/01/26,1404/11/06
694950000,694950000,695050000,695010000,10000,0.0,2026/01/25,1404/11/05
686890000,686850000,695050000,695020000,8150000,1.19,2026/01/24,1404/11/04
686870000,686850000,686950000,686870000,10000,0.0,2026/01/22,1404/11/02
686870000,686850000,686950000,686860000,70000,0.01,2026/01/21,1404/11/01
686890000,686850000,686950000,686930000,60000,0.01,2026/01/20,1404/10/30
686880000,686850000,686950000,686870000,20000,0.0,2026/01/19,1404/10/29
686910000,686850000,686950000,686850000,10000,0.0,2026/01/18,1404/10/28
686930000,686850000,686950000,686860000,60000,0.01,2026/01/17,1404/10/27
686850000,686850000,686950000,686920000,40000,0.01,2026/01/15,1404/10/25
686920000,686850000,686950000,686880000,30000,0.0,2026/01/14,1404/10/24
686890000,686850000,686950000,686910000,30000,0.0,2026/01/13,1404/10/23
686860000,686850000,686950000,686880000,40000,0.01,2026/01/12,1404/10/22
686880000,686850000,686950000,686920000,10000,0.0,2026/01/11,1404/10/21
686890000,686850000,686950000,686910000,2160000,0.32,2026/01/10,1404/10/20
692040000,684750000,692650000,684750000,13830000,2.02,2026/01/08,1404/10/18
701420000,678950000,702250000,698580000,3130000,0.45,2026/01/07,1404/10/17
695080000,681550000,706700000,695450000,16020000,2.36,2026/01/06,1404/10/16
653940000,648750000,679480000,679430000,41530000,6.51,2026/01/05,1404/10/15
636240000,624150000,642800000,637900000,22770000,3.7,2026/01/04,1404/10/14
612900000,605950000,615750000,615130000,4340000,0.71,2026/01/01,1404/10/11
629370000,609750000,630350000,610790000,28260000,4.63,2025/12/31,1404/10/10
638580000,625750000,643050000,639050000,17040000,2.74,2025/12/30,1404/10/09
667160000,620450000,670050000,622010000,63140000,10.15,2025/12/29,1404/10/08
