بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
5055000,5055000,5055000,5055000,7000,0.0014000000000000002,2017/04/07,1396/01/18
5053000,5052000,5064000,5062000,7000,0.0014000000000000002,2017/04/08,1396/01/19
5061000,5050000,5065000,5058000,4000,0.0008,2017/04/09,1396/01/20
5059000,5058000,5087000,5087000,29000,0.005699999999999999,2017/04/10,1396/01/21
5081000,5070000,5125000,5093000,6000,0.0012,2017/04/12,1396/01/23
5095000,5094000,5125000,5122000,29000,0.005699999999999999,2017/04/13,1396/01/24
5157000,5149000,5167000,5157000,35000,0.0068000000000000005,2017/04/15,1396/01/26
5156000,5137000,5161000,5140000,17000,0.0033,2017/04/16,1396/01/27
5138000,5122000,5152000,5149000,9000,0.0018,2017/04/17,1396/01/28
5148000,5103000,5149000,5104000,45000,0.0088,2017/04/18,1396/01/29
5103000,5099000,5114000,5109000,5000,0.001,2017/04/19,1396/01/30
5110000,5101000,5115000,5111000,2000,0.0004,2017/04/20,1396/01/31
5123000,5111000,5133000,5115000,4000,0.0008,2017/04/22,1396/02/02
5114000,5085000,5115000,5104000,11000,0.0022,2017/04/23,1396/02/03
5105000,5081000,5108000,5081000,23000,0.0045000000000000005,2017/04/24,1396/02/04
5078000,5074000,5085000,5078000,3000,0.0006,2017/04/26,1396/02/06
5077000,5066000,5082000,5072000,6000,0.0012,2017/04/27,1396/02/07
5087000,5087000,5104000,5095000,23000,0.0045000000000000005,2017/04/29,1396/02/09
5096000,5049000,5098000,5050000,45000,0.0089,2017/04/30,1396/02/10
5049000,5030000,5049000,5040000,10000,0.002,2017/05/01,1396/02/11
5041000,5027000,5048000,5027000,13000,0.0026,2017/05/02,1396/02/12
5026000,4976000,5026000,4985000,42000,0.0084,2017/05/03,1396/02/13
4986000,4960000,5001000,4965000,20000,0.004,2017/05/04,1396/02/14
4893000,4882000,4940000,4924000,41000,0.0083,2017/05/06,1396/02/16
4923000,4921000,4953000,4948000,24000,0.0049,2017/05/07,1396/02/17
4949000,4904000,4950000,4912000,36000,0.0073,2017/05/08,1396/02/18
4911000,4911000,4932000,4917000,5000,0.001,2017/05/09,1396/02/19
4916000,4915000,4936000,4931000,14000,0.0028000000000000004,2017/05/10,1396/02/20
4932000,4929000,4949000,4931000,0,0.0,2017/05/11,1396/02/21
4943000,4936000,4948000,4946000,15000,0.003,2017/05/13,1396/02/23
4947000,4924000,4951000,4936000,10000,0.002,2017/05/14,1396/02/24
4935000,4935000,5002000,4999000,63000,0.0128,2017/05/15,1396/02/25
4998000,4990000,5033700,5026000,27000,0.0054,2017/05/16,1396/02/26
5025000,4973000,5033000,4981000,45000,0.009000000000000001,2017/05/17,1396/02/27
4982000,4956000,4995000,4981000,0,0.0,2017/05/18,1396/02/28
4982000,4976000,4995000,4988000,7000,0.0014000000000000002,2017/05/20,1396/02/30
