0,1,2,3,4,5,6,7
838690000,838650000,877250000,864310000,26660000,3.18,2026/02/10,1404/11/21
813520000,813520000,856100000,837650000,24070000,2.96,2026/02/09,1404/11/20
784100000,784100000,824600000,813580000,29450000,3.76,2026/02/08,1404/11/19
838540000,783500000,838540000,784130000,54470000,6.95,2026/02/07,1404/11/18
833260000,833000000,843100000,838600000,5310000,0.64,2026/02/05,1404/11/16
765010000,765010000,837100000,833290000,68290000,8.93,2026/02/03,1404/11/14
818070000,761500000,818070000,765000000,53030000,6.93,2026/02/02,1404/11/13
852100000,811000000,852100000,818030000,34000000,4.16,2026/02/01,1404/11/12
893030000,810000000,909100000,852030000,40980000,4.81,2026/01/31,1404/11/11
968010000,832000000,970100000,893010000,23010000,2.64,2026/01/29,1404/11/09
791540000,791540000,880100000,870000000,78420000,9.91,2026/01/28,1404/11/08
747020000,747020000,795600000,791580000,44540000,5.96,2026/01/27,1404/11/07
714040000,713980000,747100000,747040000,32960000,4.62,2026/01/26,1404/11/06
707950000,695000000,715020000,714080000,6100000,0.86,2026/01/25,1404/11/05
686910000,686900000,709550000,707980000,21050000,3.06,2026/01/24,1404/11/04
686900000,686900000,687000000,686930000,0,0.0,2026/01/22,1404/11/02
686910000,686900000,687000000,686930000,10000,0.0,2026/01/21,1404/11/01
686900000,686900000,687000000,686940000,10000,0.0,2026/01/20,1404/10/30
686900000,686900000,687000000,686930000,50000,0.01,2026/01/19,1404/10/29
686940000,686900000,687000000,686980000,10000,0.0,2026/01/18,1404/10/28
686940000,686900000,687000000,686990000,20000,0.0,2026/01/17,1404/10/27
686920000,686900000,687000000,686970000,30000,0.0,2026/01/15,1404/10/25
686930000,686900000,687000000,686940000,40000,0.01,2026/01/14,1404/10/24
686990000,686900000,687000000,686980000,0,0.0,2026/01/13,1404/10/23
686990000,686900000,687000000,686980000,40000,0.01,2026/01/12,1404/10/22
686970000,686900000,687000000,686940000,40000,0.01,2026/01/11,1404/10/21
684900000,684900000,687000000,686900000,2060000,0.3,2026/01/10,1404/10/20
698700000,684800000,698700000,684840000,13850000,2.02,2026/01/08,1404/10/18
695460000,679000000,702300000,698690000,3290000,0.47,2026/01/07,1404/10/17
679470000,679470000,706750000,695400000,15950000,2.35,2026/01/06,1404/10/16
637920000,637920000,679550000,679450000,41580000,6.52,2026/01/05,1404/10/15
615170000,615170000,642850000,637870000,22750000,3.7,2026/01/04,1404/10/14
610870000,606010000,615800000,615120000,4300000,0.7,2026/01/01,1404/10/11
639130000,609800000,639130000,610820000,28370000,4.64,2025/12/31,1404/10/10
622000000,622000000,643100000,639190000,17150000,2.76,2025/12/30,1404/10/09
685100000,620500000,685100000,622040000,63100000,10.14,2025/12/29,1404/10/08
664840000,664840000,699290000,685140000,20330000,3.06,2025/12/28,1404/10/07
621910000,621910000,664860000,664810000,42830000,6.89,2025/12/27,1404/10/06
625970000,619700000,627300000,621980000,6760000,1.09,2025/12/25,1404/10/04
620390000,620390000,632500000,628740000,8360000,1.35,2025/12/24,1404/10/03
603900000,603900000,622590000,620380000,16500000,2.73,2025/12/23,1404/10/02
591290000,591290000,605180000,603880000,12670000,2.14,2025/12/22,1404/10/01
597310000,584800000,597310000,591210000,6140000,1.04,2025/12/21,1404/09/30
595430000,595100000,604000000,597350000,1950000,0.33,2025/12/20,1404/09/29
602600000,594700000,602600000,595400000,7300000,1.23,2025/12/18,1404/09/27
591740000,591710000,602800000,602700000,16030000,2.73,2025/12/17,1404/09/26
589170000,578800000,589170000,586670000,2510000,0.43,2025/12/16,1404/09/25
594120000,587830000,599230000,589180000,3250000,0.55,2025/12/15,1404/09/24
578690000,569240000,587830000,585930000,7310000,1.26,2025/12/14,1404/09/23
555860000,555860000,580870000,578620000,22740000,4.09,2025/12/13,1404/09/22
549420000,549420000,557600000,555880000,6480000,1.18,2025/12/11,1404/09/20
549390000,546200000,551100000,549400000,90000,0.02,2025/12/10,1404/09/19
554950000,544300000,555200000,549310000,1450000,0.26,2025/12/09,1404/09/18
550550000,549210000,554290000,550760000,290000,0.05,2025/12/08,1404/09/17
539290000,539290000,550750000,550470000,11130000,2.06,2025/12/07,1404/09/16
530700000,530700000,541500000,539340000,8730000,1.65,2025/12/06,1404/09/15
532600000,529150000,533700000,530610000,2050000,0.39,2025/12/04,1404/09/13
525000000,525000000,536730000,532660000,7560000,1.44,2025/12/03,1404/09/12
529050000,518400000,529740000,525100000,3870000,0.74,2025/12/02,1404/09/11
522280000,522280000,534490000,528970000,6760000,1.29,2025/12/01,1404/09/10
512630000,512630000,522390000,522210000,9520000,1.86,2025/11/30,1404/09/09
496800000,496800000,512980000,512690000,15820000,3.18,2025/11/29,1404/09/08
498080000,496430000,500840000,496870000,1170000,0.24,2025/11/27,1404/09/06
492020000,492020000,499950000,498040000,6120000,1.24,2025/11/26,1404/09/05
488500000,487000000,497650000,491920000,3390000,0.69,2025/11/25,1404/09/04
482010000,482010000,491140000,488530000,6590000,1.37,2025/11/23,1404/09/02
491630000,481620000,491630000,481940000,9710000,2.01,2025/11/22,1404/09/01
491580000,488800000,496550000,491650000,150000,0.03,2025/11/20,1404/08/29
482030000,482030000,495100000,491500000,9410000,1.95,2025/11/19,1404/08/28
484430000,475710000,484430000,482090000,2350000,0.49,2025/11/18,1404/08/27
481060000,481060000,485750000,484440000,3290000,0.68,2025/11/17,1404/08/26
486330000,479010000,488450000,481150000,5150000,1.07,2025/11/16,1404/08/25
500600000,485120000,500600000,486300000,14400000,2.96,2025/11/15,1404/08/24
493740000,493740000,505250000,500700000,6980000,1.41,2025/11/13,1404/08/22
489520000,487800000,495140000,493720000,16850000,3.53,2025/11/12,1404/08/21
457800000,457800000,481940000,476870000,18930000,4.13,2025/11/11,1404/08/20
452990000,452990000,458650000,457940000,5030000,1.11,2025/11/10,1404/08/19
