بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
1493000,1493000,1511000,1501000,11000,0.0073,2018/03/17,1396/12/26
1503000,1503000,1514000,1512000,11000,0.0073,2018/03/18,1396/12/27
1511000,1511000,1514000,1514000,2000,0.0013,2018/03/19,1396/12/28
1569700,1550700,1592500,1572700,26300,0.0167,2018/03/25,1397/01/05
1564000,1557000,1564000,1557000,15700,0.0101,2018/03/27,1397/01/07
1560000,1560000,1568000,1568000,11000,0.0070999999999999995,2018/03/28,1397/01/08
1571000,1571000,1571000,1571000,3000,0.0019,2018/03/29,1397/01/09
1501640,1501640,1585000,1580000,9000,0.005699999999999999,2018/04/03,1397/01/14
1581000,1574000,1587000,1585000,5000,0.0032,2018/04/04,1397/01/15
1586000,1585000,1586000,1585000,0,0.0,2018/04/05,1397/01/16
1653000,1653000,1716000,1678000,93000,0.0587,2018/04/07,1397/01/18
1686000,1578000,1762000,1578000,100000,0.0634,2018/04/08,1397/01/19
1579000,1541000,1631000,1554000,24000,0.0154,2018/04/09,1397/01/20
1553000,1553000,1649000,1633000,79000,0.0508,2018/04/10,1397/01/21
1634000,1612000,1642000,1618000,15000,0.009300000000000001,2018/04/11,1397/01/22
1617000,1617000,1633000,1624000,6000,0.0037,2018/04/12,1397/01/23
1676000,1674000,1704000,1678000,54000,0.0333,2018/04/15,1397/01/26
1677000,1661000,1692000,1666000,12000,0.0072,2018/04/16,1397/01/27
1665000,1664000,1679000,1664000,2000,0.0012,2018/04/17,1397/01/28
1665000,1664000,1682000,1678000,14000,0.0084,2018/04/18,1397/01/29
1677000,1673000,1678000,1677000,1000,0.0006,2018/04/19,1397/01/30
1690000,1672000,1690000,1677000,0,0.0,2018/04/21,1397/02/01
1676000,1665000,1677000,1669000,8000,0.0048,2018/04/22,1397/02/02
1670000,1669000,1692000,1691000,22000,0.0132,2018/04/23,1397/02/03
1692000,1691000,1692000,1691000,0,0.0,2018/04/24,1397/02/04
1690000,1689000,1703000,1700000,9000,0.0053,2018/04/25,1397/02/05
1701000,1700000,1706000,1705000,5000,0.0029,2018/04/26,1397/02/06
1712000,1712000,1747000,1740000,35000,0.020499999999999997,2018/04/28,1397/02/08
1741000,1737000,1779000,1777000,37000,0.0213,2018/04/29,1397/02/09
1778000,1774000,1819000,1796000,19000,0.010700000000000001,2018/04/30,1397/02/10
1795000,1795000,1849000,1844000,48000,0.026699999999999998,2018/05/01,1397/02/11
1859000,1841000,1870000,1869000,25000,0.013600000000000001,2018/05/03,1397/02/13
1995000,1928000,2057000,1936000,67000,0.0358,2018/05/05,1397/02/15
1938000,1797000,1942000,1843000,93000,0.050499999999999996,2018/05/06,1397/02/16
1844000,1818000,1964000,1937000,94000,0.051,2018/05/07,1397/02/17
1936000,1900000,2004000,1917000,20000,0.0104,2018/05/08,1397/02/18
1916000,1916000,1983000,1983000,66000,0.0344,2018/05/09,1397/02/19
1984000,1979000,2014000,1985000,2000,0.001,2018/05/10,1397/02/20
1928000,1877000,1931000,1882000,103000,0.0547,2018/05/12,1397/02/22
1881000,1805000,1884000,1818000,64000,0.0352,2018/05/13,1397/02/23
1817000,1802000,1844000,1832000,14000,0.0077,2018/05/14,1397/02/24
1831000,1814000,1843000,1827000,5000,0.0027,2018/05/15,1397/02/25
1826000,1818000,1840000,1829000,2000,0.0011,2018/05/16,1397/02/26
1830000,1823000,1833000,1828000,1000,0.0005,2018/05/17,1397/02/27
1796000,1770000,1825000,1814000,14000,0.0077,2018/05/19,1397/02/29
1815000,1802000,1879000,1866000,52000,0.0287,2018/05/20,1397/02/30
1864000,1826000,1871000,1843000,23000,0.0125,2018/05/21,1397/02/31
1844000,1834000,1861000,1854000,11000,0.006,2018/05/22,1397/03/01
1855000,1854000,1886000,1885000,31000,0.0167,2018/05/23,1397/03/02
1887000,1869000,1887000,1870000,15000,0.008,2018/05/24,1397/03/03
1863000,1863000,1885000,1882000,12000,0.0064,2018/05/26,1397/03/05
1879000,1877000,1912000,1904000,22000,0.011699999999999999,2018/05/27,1397/03/06
1918000,1918000,1972000,1970000,66000,0.0347,2018/05/28,1397/03/07
1969000,1928000,1982000,1941000,29000,0.0149,2018/05/29,1397/03/08
1940000,1935000,1948000,1943000,2000,0.001,2018/05/30,1397/03/09
1942000,1919000,1943000,1919000,24000,0.0125,2018/05/31,1397/03/10
1916000,1916000,1950000,1944000,25000,0.013000000000000001,2018/06/02,1397/03/12
1945000,1943000,1976000,1974000,30000,0.0154,2018/06/03,1397/03/13
1965000,1950000,1967000,1953000,21000,0.0108,2018/06/07,1397/03/17
