0,1,2,3,4,5,6,7
191019380,191010270,199802300,196854920,6072420,3.18,2026/02/10,1404/11/21
185286340,185286340,194984910,190782500,5482490,2.96,2026/02/09,1404/11/20
178585260,178585260,187810060,185300010,6707910,3.76,2026/02/08,1404/11/19
190985210,178448600,190985210,178592100,12406780,6.95,2026/02/07,1404/11/18
189782570,189723350,192023860,190998880,1209470,0.64,2026/02/05,1404/11/16
174237080,174237080,190657220,189789410,15554610,8.93,2026/02/03,1404/11/14
186322710,173437600,186322710,174234800,12078790,6.93,2026/02/02,1404/11/13
194073810,184712350,194073810,186313590,7744280,4.16,2026/02/01,1404/11/12
203396550,184484580,207056860,194057870,9334130,4.81,2026/01/31,1404/11/11
220474960,189495580,220951000,203392000,5241050,2.64,2026/01/29,1404/11/09
180279890,180279890,200451450,198150950,17861950,9.91,2026/01/28,1404/11/08
170139450,170139450,181204650,180289000,10145000,5.96,2026/01/27,1404/11/07
162627500,162613830,170157670,170144000,7507390,4.62,2026/01/26,1404/11/06
161240360,158290710,162850720,162636610,1389410,0.86,2026/01/25,1404/11/05
156448030,156445750,161604800,161247200,4794620,3.06,2026/01/24,1404/11/04
156445750,156445750,156468520,156452580,0,0.0,2026/01/22,1404/11/02
156448030,156445750,156468520,156452580,2280,0.0,2026/01/21,1404/11/01
156445750,156445750,156468520,156454860,2280,0.0,2026/01/20,1404/10/30
156445750,156445750,156468520,156452580,11390,0.01,2026/01/19,1404/10/29
156454860,156445750,156468520,156463970,2280,0.0,2026/01/18,1404/10/28
156454860,156445750,156468520,156466250,4560,0.0,2026/01/17,1404/10/27
156450300,156445750,156468520,156461690,6830,0.0,2026/01/15,1404/10/25
156452580,156445750,156468520,156454860,9110,0.01,2026/01/14,1404/10/24
156466250,156445750,156468520,156463970,0,0.0,2026/01/13,1404/10/23
156466250,156445750,156468520,156463970,9110,0.01,2026/01/12,1404/10/22
156461690,156445750,156468520,156454860,9110,0.01,2026/01/11,1404/10/21
155990200,155990200,156468520,156445750,469210,0.3,2026/01/10,1404/10/20
159133470,155967420,159133470,155976540,3154650,2.02,2026/01/08,1404/10/18
158395480,154646340,159953450,159131190,749370,0.47,2026/01/07,1404/10/17
154753400,154753400,160967040,158381820,3632980,2.35,2026/01/06,1404/10/16
145289440,145289440,154771620,154748840,9470790,6.52,2026/01/05,1404/10/15
140107600,140107600,146412360,145278050,5181830,3.7,2026/01/04,1404/10/14
139128180,138021210,140251100,140096220,979430,0.7,2026/01/01,1404/10/11
145565040,138884460,145565040,139116790,6461920,4.64,2025/12/31,1404/10/10
141663290,141663290,146469300,145578710,3906310,2.76,2025/12/30,1404/10/09
156035760,141321630,156035760,141672400,14372470,10.14,2025/12/29,1404/10/08
151421080,151421080,159267850,156044870,4630620,3.06,2025/12/28,1404/10/07
141642790,141642790,151425640,151414250,9755510,6.89,2025/12/27,1404/10/06
142567550,141139420,142870490,141658740,1539740,1.09,2025/12/25,1404/10/04
141296580,141296580,144054910,143198480,1904180,1.35,2025/12/24,1404/10/03
137540610,137540610,141797680,141294300,3758250,2.73,2025/12/23,1404/10/02
134668390,134668390,137832150,137536050,2885880,2.14,2025/12/22,1404/10/01
136039580,133190140,136039580,134650170,1398520,1.04,2025/12/21,1404/09/30
135611370,135536200,137563380,136048690,444150,0.33,2025/12/20,1404/09/29
137244500,135445100,137244500,135604540,1662740,1.23,2025/12/18,1404/09/27
134770890,134764050,137290060,137267280,3651200,2.73,2025/12/17,1404/09/26
134185510,131823510,134185510,133616080,571710,0.43,2025/12/16,1404/09/25
135312990,133880300,136476910,134187790,740260,0.55,2025/12/15,1404/09/24
131798450,129646000,133880300,133447530,1665020,1.26,2025/12/14,1404/09/23
126598400,126598400,132295000,131782510,5179550,4.09,2025/12/13,1404/09/22
125131540,125131540,126994720,126602960,1475970,1.18,2025/12/11,1404/09/20
125124710,124398110,125514200,125126990,20500,0.02,2025/12/10,1404/09/19
126391130,123965350,126448070,125106490,330270,0.26,2025/12/09,1404/09/18
125388930,125083710,126240800,125436760,66060,0.05,2025/12/08,1404/09/17
122824200,122824200,125434480,125370700,2535110,2.06,2025/12/07,1404/09/16
120867640,120867640,123327580,122835590,1988450,1.65,2025/12/06,1404/09/15
121300400,120514590,121550950,120847140,466930,0.39,2025/12/04,1404/09/13
119569330,119569330,122241110,121314070,1721960,1.44,2025/12/03,1404/09/12
120491810,118066030,120648970,119592110,881480,0.74,2025/12/02,1404/09/11
118949790,118949790,121730900,120473590,1539740,1.29,2025/12/01,1404/09/10
116751780,116751780,118974840,118933850,2168400,1.86,2025/11/30,1404/09/09
113146140,113146140,116831500,116765450,3603370,3.18,2025/11/29,1404/09/08
113445070,113060720,114073770,113162080,273880,0.24,2025/11/27,1404/09/06
112064680,112064680,113871040,113435960,1394060,1.24,2025/11/26,1404/09/05
111262870,110921190,113347120,112041900,772200,0.69,2025/11/25,1404/09/04
109784530,109784530,111864230,111269700,1501120,1.37,2025/11/23,1404/09/02
111975840,109695690,111975840,109768580,2211820,2.01,2025/11/22,1404/09/01
111964450,111331200,113096560,111980400,34170,0.03,2025/11/20,1404/08/29
109789080,109789080,112766270,111946230,2143480,1.95,2025/11/19,1404/08/28
110335770,108349460,110335770,109802750,535300,0.49,2025/11/18,1404/08/27
109568130,109568130,110636450,110338050,749420,0.68,2025/11/17,1404/08/26
110768570,109101160,111251480,109588630,1173100,1.07,2025/11/16,1404/08/25
114019100,110492950,114019100,110761730,3280150,2.96,2025/11/15,1404/08/24
112456470,112456470,115078310,114041880,1589960,1.41,2025/11/13,1404/08/22
111171750,111103420,112775380,112451920,3838220,3.53,2025/11/12,1404/08/21
104269790,104269790,109768580,108613700,4312020,4.13,2025/11/11,1404/08/20
103174130,103174130,104463410,104301680,1145770,1.11,2025/11/10,1404/08/19
102912170,102912170,103483920,103155910,239180,0.23,2025/11/09,1404/08/18
103638820,102743610,103638820,102916730,701580,0.68,2025/11/08,1404/08/17
103322190,103322190,103800540,103618310,328010,0.32,2025/11/06,1404/08/15
103638820,102925840,103848380,103290300,41000,0.04,2025/11/05,1404/08/14
103178680,102948620,104347240,103331300,154900,0.15,2025/11/04,1404/08/13
103456590,103244740,103914440,103486200,84280,0.08,2025/11/03,1404/08/12
104873420,103313080,105274330,103570480,1275610,1.23,2025/11/02,1404/08/11
102431540,102431540,105192330,104846090,2412270,2.35,2025/11/01,1404/08/10
103180960,102105800,103210570,102433820,722090,0.7,2025/10/30,1404/08/08
102128580,102128580,104212840,103155910,1009100,0.99,2025/10/29,1404/08/07
104051110,101149100,104051110,102146810,1899750,1.86,2025/10/28,1404/08/06
106019200,103768650,106436050,104046560,1958970,1.88,2025/10/27,1404/08/05
105051100,105051100,107761770,106005530,931650,0.89,2025/10/26,1404/08/04
107481590,104292570,107481590,105073880,2425940,2.31,2025/10/25,1404/08/03
