بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
4370000,4370000,4370000,4370000,80000,0.0183,2013/07/22,1392/04/31
4450000,4450000,4450000,4450000,80000,0.0183,2013/07/23,1392/05/01
4440000,4350000,4470000,4400000,0,0.0,2013/07/24,1392/05/02
4520000,4520000,4520000,4520000,120000,0.0273,2013/07/27,1392/05/05
4478000,4430000,4541000,4472000,8000,0.0018,2013/07/28,1392/05/06
4459000,4398000,4571000,4547000,97000,0.0218,2013/07/31,1392/05/09
4510000,4510000,4510000,4510000,37000,0.008199999999999999,2013/08/03,1392/05/12
4470000,4470000,4470000,4470000,40000,0.0089,2013/08/04,1392/05/13
4430000,4430000,4430000,4430000,40000,0.009000000000000001,2013/08/05,1392/05/14
4440000,4440000,4440000,4440000,10000,0.0023,2013/08/06,1392/05/15
4478000,4407000,4504000,4479000,9000,0.002,2013/08/07,1392/05/16
4540000,4540000,4540000,4540000,61000,0.013600000000000001,2013/08/11,1392/05/20
4510000,4510000,4510000,4510000,30000,0.0067,2013/08/12,1392/05/21
4500000,4500000,4500000,4500000,10000,0.0022,2013/08/13,1392/05/22
4523000,4475000,4593000,4539000,19000,0.0042,2013/08/14,1392/05/23
4610000,4610000,4610000,4610000,71000,0.015600000000000001,2013/08/17,1392/05/26
4580000,4580000,4580000,4580000,30000,0.0066,2013/08/18,1392/05/27
4500000,4500000,4500000,4500000,80000,0.0178,2013/08/19,1392/05/28
4490000,4490000,4490000,4490000,10000,0.0022,2013/08/20,1392/05/29
4550000,4430000,4600000,4510000,10000,0.0022,2013/08/21,1392/05/30
4570000,4550000,4590000,4590000,80000,0.0177,2013/08/24,1392/06/02
4580000,4570000,4580000,4570000,20000,0.0044,2013/08/25,1392/06/03
4570000,4570000,4680000,4680000,110000,0.0241,2013/08/26,1392/06/04
4880000,4870000,4970000,4940000,260000,0.0556,2013/08/27,1392/06/05
4789000,4756000,4867000,4826000,6000,0.0012,2013/08/28,1392/06/06
4850000,4800000,4850000,4810000,16000,0.0033,2013/08/31,1392/06/09
4810000,4810000,4810000,4810000,0,0.0,2013/09/01,1392/06/10
4910000,4910000,4940000,4940000,130000,0.027000000000000003,2013/09/03,1392/06/12
4900000,4890000,4930000,4920000,20000,0.0040999999999999995,2013/09/04,1392/06/13
4920000,4920000,4920000,4920000,0,0.0,2013/09/05,1392/06/14
4800000,4800000,4830000,4830000,90000,0.018600000000000002,2013/09/07,1392/06/16
4830000,4810000,4840000,4810000,20000,0.0042,2013/09/08,1392/06/17
4780000,4650000,4780000,4650000,160000,0.0344,2013/09/09,1392/06/18
4630000,4565000,4640000,4570000,80000,0.0175,2013/09/10,1392/06/19
4550000,4510000,4550000,4520000,50000,0.0111,2013/09/11,1392/06/20
4520000,4520000,4520000,4520000,0,0.0,2013/09/12,1392/06/21
4390000,4390000,4440000,4430000,90000,0.0203,2013/09/14,1392/06/23
4420000,4260000,4420000,4290000,140000,0.0326,2013/09/15,1392/06/24
4260000,4250000,4270000,4250000,40000,0.009399999999999999,2013/09/16,1392/06/25
4260000,4240000,4260000,4250000,0,0.0,2013/09/17,1392/06/26
4296000,4100000,4353000,4165000,245000,0.0588,2013/09/18,1392/06/27
4110000,4080000,4140000,4110000,55000,0.0134,2013/09/21,1392/06/30
4130000,4110000,4140000,4140000,30000,0.0073,2013/09/22,1392/06/31
4090000,4090000,4120000,4100000,40000,0.0098,2013/09/23,1392/07/01
4320000,4290000,4320000,4290000,190000,0.0463,2013/09/24,1392/07/02
4310000,4290000,4320000,4290000,0,0.0,2013/09/25,1392/07/03
4290000,4290000,4290000,4290000,0,0.0,2013/09/26,1392/07/04
4290000,4290000,4390000,4360000,70000,0.0163,2013/09/28,1392/07/06
4350000,4290000,4350000,4290000,70000,0.0163,2013/09/29,1392/07/07
4280000,4250000,4340000,4250000,40000,0.009399999999999999,2013/09/30,1392/07/08
4210000,4210000,4260000,4260000,10000,0.0024,2013/10/01,1392/07/09
4245000,4157000,4277000,4255000,15000,0.0034999999999999996,2013/10/02,1392/07/10
4270000,4270000,4280000,4280000,25000,0.0059,2013/10/05,1392/07/13
4250000,4240000,4270000,4260000,20000,0.004699999999999999,2013/10/06,1392/07/14
4270000,4270000,4280000,4280000,20000,0.004699999999999999,2013/10/07,1392/07/15
4250000,4240000,4260000,4240000,40000,0.009399999999999999,2013/10/08,1392/07/16
4237000,4075000,4259000,4119000,111000,0.0269,2013/10/09,1392/07/17
4110000,4110000,4110000,4110000,9000,0.0022,2013/10/12,1392/07/20
4100000,4100000,4150000,4150000,40000,0.0097,2013/10/13,1392/07/21
4150000,4110000,4150000,4130000,20000,0.0048,2013/10/14,1392/07/22
4130000,4130000,4130000,4130000,0,0.0,2013/10/15,1392/07/23
4200000,4200000,4200000,4200000,70000,0.0169,2013/10/17,1392/07/25
4230000,4220000,4230000,4220000,20000,0.0048,2013/10/19,1392/07/27
4220000,4141000,4322000,4281000,91000,0.0217,2013/10/20,1392/07/28
4294000,4200000,4338000,4255000,26000,0.0060999999999999995,2013/10/21,1392/07/29
4221000,4195000,4354000,4297000,42000,0.009899999999999999,2013/10/22,1392/07/30
4290000,4280000,4290000,4280000,17000,0.004,2013/10/26,1392/08/04
4280000,4270000,4280000,4280000,0,0.0,2013/10/27,1392/08/05
4280000,4280000,4290000,4290000,10000,0.0023,2013/10/28,1392/08/06
4290000,4280000,4300000,4300000,10000,0.0023,2013/10/29,1392/08/07
4270000,4260000,4270000,4260000,40000,0.009399999999999999,2013/10/30,1392/08/08
4260000,4260000,4260000,4260000,0,0.0,2013/10/31,1392/08/09
4200000,4200000,4240000,4240000,20000,0.004699999999999999,2013/11/02,1392/08/11
4230000,4210000,4230000,4220000,20000,0.004699999999999999,2013/11/03,1392/08/12
4210000,4190000,4210000,4200000,20000,0.0048,2013/11/04,1392/08/13
4200000,4190000,4210000,4210000,10000,0.0024,2013/11/05,1392/08/14
4200000,4200000,4200000,4200000,10000,0.0024,2013/11/06,1392/08/15
4200000,4200000,4200000,4200000,0,0.0,2013/11/07,1392/08/16
4130000,4120000,4130000,4130000,70000,0.0169,2013/11/09,1392/08/18
4130000,4110000,4130000,4110000,20000,0.0049,2013/11/10,1392/08/19
4100000,4100000,4110000,4110000,0,0.0,2013/11/11,1392/08/20
4110000,4110000,4110000,4110000,0,0.0,2013/11/12,1392/08/21
4110000,4100000,4110000,4100000,10000,0.0024,2013/11/16,1392/08/25
4090000,4060000,4090000,4060000,40000,0.009899999999999999,2013/11/17,1392/08/26
4040000,4030000,4060000,4060000,0,0.0,2013/11/18,1392/08/27
4080000,4040000,4080000,4040000,20000,0.005,2013/11/19,1392/08/28
4000000,4000000,4000000,4000000,40000,0.01,2013/11/20,1392/08/29
4000000,4000000,4000000,4000000,0,0.0,2013/11/21,1392/08/30
3930000,3750000,3930000,3750000,250000,0.0667,2013/11/23,1392/09/02
3670000,3660000,3730000,3730000,20000,0.0054,2013/11/24,1392/09/03
3820000,3820000,3870000,3860000,130000,0.0349,2013/11/25,1392/09/04
3820000,3820000,3890000,3880000,20000,0.0052,2013/11/26,1392/09/05
3860000,3810000,3860000,3810000,70000,0.0184,2013/11/27,1392/09/06
3810000,3810000,3810000,3810000,0,0.0,2013/11/28,1392/09/07
3880000,3860000,3880000,3880000,70000,0.0184,2013/11/30,1392/09/09
3860000,3860000,3870000,3860000,20000,0.0052,2013/12/01,1392/09/10
3800000,3780000,3800000,3800000,60000,0.0158,2013/12/02,1392/09/11
3790000,3790000,3830000,3830000,30000,0.0079,2013/12/03,1392/09/12
3850000,3830000,3850000,3840000,10000,0.0026,2013/12/04,1392/09/13
3840000,3840000,3840000,3840000,0,0.0,2013/12/05,1392/09/14
3830000,3830000,3850000,3850000,10000,0.0026,2013/12/07,1392/09/16
3850000,3840000,3850000,3840000,10000,0.0026,2013/12/08,1392/09/17
3860000,3860000,3900000,3900000,60000,0.015600000000000001,2013/12/09,1392/09/18
3900000,3900000,3910000,3900000,0,0.0,2013/12/10,1392/09/19
3897000,3806000,3960000,3887000,27000,0.006999999999999999,2013/12/11,1392/09/20
3900000,3880000,3900000,3900000,13000,0.0033,2013/12/14,1392/09/23
3880000,3860000,3880000,3880000,20000,0.0052,2013/12/15,1392/09/24
3880000,3870000,3880000,3880000,0,0.0,2013/12/16,1392/09/25
3870000,3870000,3870000,3870000,10000,0.0026,2013/12/17,1392/09/26
3840000,3800000,3840000,3800000,70000,0.0184,2013/12/18,1392/09/27
3800000,3800000,3800000,3800000,0,0.0,2013/12/19,1392/09/28
3780000,3780000,3790000,3780000,20000,0.0053,2013/12/21,1392/09/30
3800000,3800000,3800000,3800000,20000,0.0053,2013/12/22,1392/10/01
3800000,3780000,3800000,3790000,10000,0.0026,2013/12/24,1392/10/03
3820000,3820000,3830000,3830000,40000,0.0106,2013/12/25,1392/10/04
3830000,3830000,3830000,3830000,0,0.0,2013/12/26,1392/10/05
3860000,3860000,3900000,3890000,60000,0.015700000000000002,2013/12/28,1392/10/07
3870000,3860000,3870000,3870000,20000,0.0052,2013/12/29,1392/10/08
3870000,3870000,3870000,3870000,0,0.0,2013/12/30,1392/10/09
3904000,3844000,3975000,3876000,6000,0.0016,2013/12/31,1392/10/10
3890000,3880000,3890000,3890000,14000,0.0036,2014/01/04,1392/10/14
3900000,3890000,3900000,3900000,10000,0.0026,2014/01/05,1392/10/15
3900000,3890000,3910000,3910000,10000,0.0026,2014/01/06,1392/10/16
3890000,3890000,3890000,3890000,20000,0.0051,2014/01/07,1392/10/17
3890000,3880000,3890000,3880000,10000,0.0026,2014/01/08,1392/10/18
3880000,3880000,3880000,3880000,0,0.0,2014/01/09,1392/10/19
