بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
5500000,5500000,5500000,5500000,100000,0.0182,2013/07/22,1392/04/31
5600000,5600000,5600000,5600000,100000,0.0182,2013/07/23,1392/05/01
5680000,5590000,5720000,5650000,50000,0.0089,2013/07/24,1392/05/02
5750000,5750000,5750000,5750000,100000,0.0177,2013/07/27,1392/05/05
5750000,5660000,5842000,5750000,0,0.0,2013/07/28,1392/05/06
5866000,5721000,5965000,5827000,77000,0.0134,2013/07/31,1392/05/09
5850000,5850000,5850000,5850000,23000,0.0039000000000000003,2013/08/03,1392/05/12
5800000,5800000,5800000,5800000,50000,0.0086,2013/08/04,1392/05/13
5750000,5750000,5750000,5750000,50000,0.0087,2013/08/05,1392/05/14
5750000,5750000,5750000,5750000,0,0.0,2013/08/06,1392/05/15
5750000,5663000,5860000,5750000,0,0.0,2013/08/07,1392/05/16
5750000,5750000,5750000,5750000,0,0.0,2013/08/11,1392/05/20
5700000,5700000,5700000,5700000,50000,0.0088,2013/08/12,1392/05/21
5650000,5650000,5650000,5650000,50000,0.0088,2013/08/13,1392/05/22
5620000,5500000,5730000,5600000,0,0.0,2013/08/14,1392/05/23
5600000,5600000,5600000,5600000,0,0.0,2013/08/17,1392/05/26
5550000,5550000,5550000,5550000,50000,0.009000000000000001,2013/08/18,1392/05/27
5250000,5250000,5550000,5250000,300000,0.0571,2013/08/19,1392/05/28
5200000,5200000,5300000,5200000,50000,0.0096,2013/08/20,1392/05/29
5200000,5160000,5390000,5300000,0,0.0,2013/08/21,1392/05/30
5300000,5300000,5350000,5300000,0,0.0,2013/08/24,1392/06/02
5300000,5250000,5300000,5300000,0,0.0,2013/08/25,1392/06/03
5300000,5300000,5400000,5400000,100000,0.0189,2013/08/26,1392/06/04
5600000,5600000,5650000,5650000,250000,0.0463,2013/08/27,1392/06/05
5531000,5419000,5626000,5592000,42000,0.0076,2013/08/28,1392/06/06
5500000,5500000,5550000,5500000,92000,0.0167,2013/08/31,1392/06/09
5500000,5500000,5500000,5500000,0,0.0,2013/09/01,1392/06/10
5650000,5650000,5750000,5750000,250000,0.0455,2013/09/03,1392/06/12
5700000,5700000,5750000,5750000,0,0.0,2013/09/04,1392/06/13
5750000,5750000,5750000,5750000,0,0.0,2013/09/05,1392/06/14
5550000,5550000,5600000,5600000,150000,0.0268,2013/09/07,1392/06/16
5600000,5550000,5650000,5550000,50000,0.009000000000000001,2013/09/08,1392/06/17
5550000,5400000,5550000,5400000,150000,0.0278,2013/09/09,1392/06/18
5400000,5350000,5400000,5400000,0,0.0,2013/09/10,1392/06/19
5300000,5250000,5300000,5250000,150000,0.0286,2013/09/11,1392/06/20
5250000,5250000,5250000,5250000,0,0.0,2013/09/12,1392/06/21
5150000,5150000,5200000,5150000,100000,0.0194,2013/09/14,1392/06/23
5050000,5000000,5100000,5000000,150000,0.03,2013/09/15,1392/06/24
5100000,5050000,5100000,5050000,50000,0.01,2013/09/16,1392/06/25
5100000,5000000,5100000,5000000,50000,0.01,2013/09/17,1392/06/26
5148000,4988000,5238000,5027000,123000,0.0245,2013/09/18,1392/06/27
5000000,4900000,5050000,4900000,127000,0.0259,2013/09/21,1392/06/30
4900000,4900000,4900000,4900000,0,0.0,2013/09/22,1392/06/31
4850000,4850000,4950000,4850000,50000,0.0103,2013/09/23,1392/07/01
5150000,5150000,5150000,5150000,300000,0.061900000000000004,2013/09/24,1392/07/02
5150000,5050000,5150000,5050000,100000,0.019799999999999998,2013/09/25,1392/07/03
5050000,5050000,5050000,5050000,0,0.0,2013/09/26,1392/07/04
5050000,5050000,5100000,5100000,50000,0.009899999999999999,2013/09/28,1392/07/06
5100000,5000000,5100000,5050000,50000,0.009899999999999999,2013/09/29,1392/07/07
5050000,5000000,5100000,5000000,50000,0.01,2013/09/30,1392/07/08
4950000,4950000,5050000,5050000,50000,0.01,2013/10/01,1392/07/09
5050000,4980000,5075000,5050000,0,0.0,2013/10/02,1392/07/10
5050000,5050000,5100000,5100000,50000,0.009899999999999999,2013/10/05,1392/07/13
5100000,5050000,5100000,5050000,50000,0.009899999999999999,2013/10/06,1392/07/14
5050000,5050000,5100000,5050000,0,0.0,2013/10/07,1392/07/15
5000000,5000000,5000000,5000000,50000,0.01,2013/10/08,1392/07/16
4990000,4817000,5036000,4907000,43000,0.0088,2013/10/09,1392/07/17
4850000,4850000,4850000,4850000,57000,0.0118,2013/10/12,1392/07/20
4850000,4850000,4950000,4950000,100000,0.0206,2013/10/13,1392/07/21
4950000,4950000,5000000,5000000,50000,0.0101,2013/10/14,1392/07/22
5000000,5000000,5000000,5000000,0,0.0,2013/10/15,1392/07/23
5100000,5100000,5100000,5100000,100000,0.02,2013/10/17,1392/07/25
5100000,5050000,5100000,5050000,50000,0.009899999999999999,2013/10/19,1392/07/27
5050000,4974000,5084000,5034000,16000,0.0032,2013/10/20,1392/07/28
5050000,4945000,5128000,5024000,10000,0.002,2013/10/21,1392/07/29
5050000,4987000,5146000,5023000,1000,0.0002,2013/10/22,1392/07/30
5000000,4950000,5000000,4950000,73000,0.0147,2013/10/26,1392/08/04
4950000,4950000,4950000,4950000,0,0.0,2013/10/27,1392/08/05
4950000,4950000,4950000,4950000,0,0.0,2013/10/28,1392/08/06
4950000,4950000,4950000,4950000,0,0.0,2013/10/29,1392/08/07
4900000,4900000,4950000,4950000,0,0.0,2013/10/30,1392/08/08
4950000,4950000,4950000,4950000,0,0.0,2013/10/31,1392/08/09
4850000,4850000,4900000,4900000,50000,0.0102,2013/11/02,1392/08/11
4900000,4850000,4900000,4900000,0,0.0,2013/11/03,1392/08/12
4850000,4850000,4900000,4850000,50000,0.0103,2013/11/04,1392/08/13
4900000,4850000,4900000,4900000,50000,0.0103,2013/11/05,1392/08/14
4850000,4850000,4850000,4850000,50000,0.0103,2013/11/06,1392/08/15
4850000,4850000,4850000,4850000,0,0.0,2013/11/07,1392/08/16
4800000,4750000,4800000,4800000,50000,0.0104,2013/11/09,1392/08/18
4750000,4750000,4800000,4750000,50000,0.0105,2013/11/10,1392/08/19
4750000,4750000,4750000,4750000,0,0.0,2013/11/11,1392/08/20
4750000,4750000,4750000,4750000,0,0.0,2013/11/12,1392/08/21
4750000,4750000,4750000,4750000,0,0.0,2013/11/16,1392/08/25
4750000,4700000,4750000,4700000,50000,0.0106,2013/11/17,1392/08/26
4650000,4600000,4650000,4650000,50000,0.0108,2013/11/18,1392/08/27
4650000,4650000,4650000,4650000,0,0.0,2013/11/19,1392/08/28
4600000,4600000,4600000,4600000,50000,0.0109,2013/11/20,1392/08/29
4600000,4600000,4600000,4600000,0,0.0,2013/11/21,1392/08/30
4550000,4400000,4550000,4400000,200000,0.0455,2013/11/23,1392/09/02
4350000,4250000,4350000,4300000,100000,0.0233,2013/11/24,1392/09/03
4450000,4450000,4500000,4500000,200000,0.04650000000000001,2013/11/25,1392/09/04
4450000,4450000,4450000,4450000,50000,0.011200000000000002,2013/11/26,1392/09/05
4450000,4400000,4500000,4400000,50000,0.011399999999999999,2013/11/27,1392/09/06
4400000,4400000,4400000,4400000,0,0.0,2013/11/28,1392/09/07
4450000,4400000,4450000,4400000,0,0.0,2013/11/30,1392/09/09
4400000,4400000,4400000,4400000,0,0.0,2013/12/01,1392/09/10
4400000,4350000,4400000,4350000,50000,0.0115,2013/12/02,1392/09/11
4350000,4350000,4350000,4350000,0,0.0,2013/12/03,1392/09/12
4400000,4350000,4400000,4350000,0,0.0,2013/12/04,1392/09/13
4350000,4350000,4350000,4350000,0,0.0,2013/12/05,1392/09/14
4350000,4350000,4400000,4400000,50000,0.0115,2013/12/07,1392/09/16
