0,1,2,3,4,5,6,7
1013500000,1010200000,1018100000,1017200000,31000000,3.14,2026/02/10,1404/11/21
1008900000,1007600000,997700000,986200000,22200000,2.3,2026/02/09,1404/11/20
959900000,959900000,979900000,964000000,13000000,1.37,2026/02/08,1404/11/19
980000000,951000000,980000000,951000000,96500000,10.15,2026/02/07,1404/11/18
1030000000,1004700000,1049100000,1047500000,51500000,5.17,2026/02/05,1404/11/16
959800000,959800000,996000000,996000000,49000000,5.17,2026/02/03,1404/11/14
967400000,946400000,972600000,947000000,51800000,5.47,2026/02/02,1404/11/13
1024400000,1001100000,999600000,998800000,34400000,3.44,2026/02/01,1404/11/12
1000300000,1000300000,999900000,1033200000,85400000,8.27,2026/01/31,1404/11/11
1135300000,1050400000,1149700000,1118600000,68600000,6.53,2026/01/29,1404/11/09
1007000000,1007000000,1050000000,1050000000,113300000,12.1,2026/01/28,1404/11/08
952700000,910000000,954400000,936700000,17300000,1.88,2026/01/27,1404/11/07
850600000,850600000,919400000,919400000,68800000,8.09,2026/01/26,1404/11/06
850600000,850600000,850600000,850600000,14600000,1.75,2026/01/24,1404/11/04
836000000,836000000,836000000,836000000,1900000,0.23,2026/01/10,1404/10/20
851500000,837900000,851500000,837900000,13600000,1.62,2026/01/08,1404/10/18
869700000,847400000,869700000,851500000,17300000,2.03,2026/01/07,1404/10/17
875000000,858800000,883300000,868800000,18600000,2.19,2026/01/06,1404/10/16
850000000,846800000,859200000,850200000,20200000,2.43,2026/01/05,1404/10/15
830000000,823300000,830000000,830000000,19300000,2.38,2026/01/04,1404/10/14
800000000,800000000,813900000,810700000,300000,0.04,2026/01/01,1404/10/11
831500000,810400000,831500000,810400000,21100000,2.6,2025/12/31,1404/10/10
830000000,830000000,841600000,831500000,1900000,0.23,2025/12/30,1404/10/09
870000000,830000000,876200000,833400000,61400000,7.37,2025/12/29,1404/10/08
880000000,880000000,899100000,894800000,32900000,3.82,2025/12/28,1404/10/07
827100000,827100000,864900000,861900000,39900000,4.85,2025/12/27,1404/10/06
825000000,820100000,829000000,822000000,8900000,1.08,2025/12/25,1404/10/04
815000000,815000000,832600000,830900000,25900000,3.22,2025/12/24,1404/10/03
800000000,796700000,805000000,805000000,19900000,2.53,2025/12/23,1404/10/02
785000000,783600000,790000000,785100000,7100000,0.91,2025/12/22,1404/10/01
778000000,771000000,779100000,778000000,2500000,0.32,2025/12/21,1404/09/30
779200000,774700000,782900000,775500000,2400000,0.31,2025/12/20,1404/09/29
780000000,777100000,780000000,777900000,1000000,0.13,2025/12/18,1404/09/27
767000000,767000000,778900000,778900000,11700000,1.53,2025/12/17,1404/09/26
765000000,755100000,767200000,767200000,1000000,0.13,2025/12/16,1404/09/25
765000000,765000000,775000000,768200000,9800000,1.29,2025/12/15,1404/09/24
749300000,747700000,758400000,758400000,3600000,0.48,2025/12/14,1404/09/23
730000000,730000000,754800000,754800000,27800000,3.82,2025/12/13,1404/09/22
715000000,715000000,727000000,727000000,11800000,1.65,2025/12/11,1404/09/20
710000000,710000000,715200000,715200000,4300000,0.6,2025/12/10,1404/09/19
715000000,710200000,719700000,710900000,2700000,0.38,2025/12/09,1404/09/18
705000000,705000000,710000000,708200000,10200000,1.46,2025/12/08,1404/09/17
694800000,691700000,699000000,698000000,7600000,1.1,2025/12/07,1404/09/16
670000000,670000000,690400000,690400000,23500000,3.52,2025/12/06,1404/09/15
664000000,664000000,666900000,666900000,2900000,0.44,2025/12/04,1404/09/13
648800000,648800000,665000000,664000000,13700000,2.11,2025/12/03,1404/09/12
653000000,643900000,653000000,650300000,4700000,0.72,2025/12/02,1404/09/11
647000000,647000000,655000000,655000000,14700000,2.3,2025/12/01,1404/09/10
640000000,637700000,643000000,640300000,3300000,0.52,2025/11/30,1404/09/09
625000000,620400000,637000000,637000000,21400000,3.48,2025/11/29,1404/09/08
618000000,615600000,620000000,615600000,600000,0.1,2025/11/27,1404/09/06
