0,1,2,3,4,5,6,7
4967.94,4961.15,5081.26,5081.19,120.04,2.42%,2/9/2026,1404/11/20
4938.59,4938.59,4966.76,4961.15,6.2,0.13%,2/7/2026,1404/11/18
4812.51,4656.61,4968.09,4954.95,128.68,2.67%,2/6/2026,1404/11/17
4935.86,4799.63,5023.38,4826.27,214.2901,4.44%,2/5/2026,1404/11/16
4947.54,4947.0801,5092.3101,5040.5601,113.1201,2.30%,2/4/2026,1404/11/15
4665.1602,4648.5,4994.2798,4939.3301,273.0601,5.85%,2/3/2026,1404/11/14
4799.7202,4404.1201,4885.0801,4666.27,199.0801,4.27%,2/2/2026,1404/11/13
5395.5801,4681.9399,5451.2002,4865.3501,530.5298,10.90%,1/30/2026,1404/11/10
5399.9102,5110.73,5595.46,5395.8799,4.3701,0.08%,1/29/2026,1404/11/09
5189.6299,5157.3501,5401.6201,5400.25,210.6299,4.06%,1/28/2026,1404/11/08
5014.8501,5006.2002,5190.5601,5189.6201,174.2803,3.47%,1/27/2026,1404/11/07
5007.1099,4989.8501,5111.3999,5015.3398,32.4297,0.65%,1/26/2026,1404/11/06
4936.75,4899.7202,4989.9302,4982.9102,46.1602,0.94%,1/23/2026,1404/11/03
4836.9502,4772.3799,4941.25,4936.75,100.0801,2.07%,1/22/2026,1404/11/02
4763.5298,4755.7002,4888.2202,4836.6699,73.1797,1.54%,1/21/2026,1404/11/01
4671.02,4659.3398,4766.46,4763.4902,92.4702,1.98%,1/20/2026,1404/10/30
4630.7998,4629.7998,4690.7998,4671.02,75.9199,1.65%,1/19/2026,1404/10/29
4614.8999,4537.1499,4621.27,4595.1001,19.8101,0.43%,1/16/2026,1404/10/26
4620.8301,4581.0498,4632.6499,4614.9102,5.9199,0.13%,1/15/2026,1404/10/25
4588.0498,4585.3198,4643.0601,4620.8301,32.8301,0.72%,1/14/2026,1404/10/24
4593.8901,4569.4502,4634.7598,4588.0,6,0.13%,1/13/2026,1404/10/23
4519.4502,4513.5698,4630.4702,4594.0,83.5498,1.85%,1/12/2026,1404/10/22
4476.71,4452.6201,4517.3999,4510.4502,33.7202,0.75%,1/9/2026,1404/10/19
4453.04,4407.48,4479.7998,4476.73,23.6899,0.53%,1/8/2026,1404/10/18
4497.3301,4423.4702,4500.6499,4453.04,44.2998,0.99%,1/7/2026,1404/10/17
4448.5601,4427.25,4497.54,4497.3398,48.8696,1.10%,1/6/2026,1404/10/16
4356.1201,4345.8799,4456.0498,4448.4702,117.9702,2.72%,1/5/2026,1404/10/15
4333.0,4310.0098,4402.5298,4330.5,17.8501,0.41%,1/2/2026,1404/10/12
4329.4199,4324.4199,4351.6499,4348.3501,33.2603,0.77%,1/1/2026,1404/10/11
4346.4702,4274.5098,4373.8901,4315.0898,31.4199,0.73%,12/31/2025,1404/10/10
4332.0898,4323.3301,4404.5098,4346.5098,14.4297,0.33%,12/30/2025,1404/10/09
4540.7002,4303.75,4550.1001,4332.0801,200.5498,4.63%,12/29/2025,1404/10/08
4479.6401,4475.1001,4550.1099,4532.6299,37.2798,0.83%,12/26/2025,1404/10/05
4487.1001,4483.5898,4500.3501,4495.3501,15.71,0.35%,12/25/2025,1404/10/04
4488.8101,4448.27,4525.71,4479.6401,9.1797,0.20%,12/24/2025,1404/10/03
4445.6201,4429.9199,4499.8701,4488.8198,42.8696,0.96%,12/23/2025,1404/10/02
4338.98,4337.8999,4449.6001,4445.9502,107.4004,2.48%,12/22/2025,1404/10/01
4332.3301,4309.0098,4356.6499,4338.5498,6.1499,0.14%,12/19/2025,1404/09/28
4341.0601,4308.6001,4374.6899,4332.3999,8.6802,0.20%,12/18/2025,1404/09/27
4303.7998,4301.27,4349.1299,4341.0801,37.2803,0.87%,12/17/2025,1404/09/26
4302.5801,4271.3398,4335.1602,4303.7998,1.0996,0.03%,12/16/2025,1404/09/25
4299.0,4285.21,4350.5,4302.7002,0.27,0.01%,12/15/2025,1404/09/24
4283.2598,4257.6001,4353.7202,4302.4302,19.1504,0.45%,12/12/2025,1404/09/21
4228.5298,4203.98,4286.2402,4283.2798,54.73,1.29%,12/11/2025,1404/09/20
4209.5601,4181.6802,4239.1001,4228.5498,19.0098,0.45%,12/10/2025,1404/09/19
4189.0,4170.0,4221.6699,4209.54,20.4902,0.49%,12/9/2025,1404/09/18
4197.1899,4176.3398,4219.3101,4189.0498,8.0801,0.19%,12/8/2025,1404/09/17
4208.6899,4191.9502,4259.5498,4197.1299,11.5601,0.28%,12/5/2025,1404/09/14
4206.1499,4174.6001,4219.46,4208.6899,2.4697,0.06%,12/4/2025,1404/09/13
