بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
5800,5800,5800,5800,10,0.0017000000000000001,2012/09/01,1391/06/11
5750,5750,5810,5810,10,0.0017000000000000001,2012/09/02,1391/06/12
5850,5830,5850,5840,30,0.0052,2012/09/03,1391/06/13
5850,5850,5950,5950,110,0.018799999999999997,2012/09/04,1391/06/14
6066,5958,6210,6095,105,0.0175,2012/09/05,1391/06/15
6250,6250,6580,6580,485,0.0796,2012/09/08,1391/06/18
6900,5770,6900,6760,180,0.0274,2012/09/09,1391/06/19
6601,6376,6727,6476,14,0.0022,2012/09/10,1391/06/20
6389,6319,6518,6450,26,0.004,2012/09/12,1391/06/22
6630,6630,6710,6660,210,0.0326,2012/09/15,1391/06/25
6850,6790,6870,6800,140,0.021,2012/09/16,1391/06/26
6720,6600,6780,6650,150,0.0226,2012/09/17,1391/06/27
6550,6500,6650,6630,20,0.003,2012/09/18,1391/06/28
6600,6600,6650,6640,10,0.0015,2012/09/19,1391/06/29
6640,6640,6640,6640,0,0.0,2012/09/20,1391/06/30
6730,6680,6760,6740,100,0.0151,2012/09/22,1391/07/01
6700,6700,6900,6880,140,0.0208,2012/09/23,1391/07/02
6900,6900,7200,7000,120,0.0174,2012/09/24,1391/07/03
7100,7100,7230,7200,200,0.0286,2012/09/25,1391/07/04
7419,7325,7731,7643,333,0.045599999999999995,2012/09/26,1391/07/05
7990,7750,8150,8100,457,0.059800000000000006,2012/09/29,1391/07/08
8800,8800,9500,9500,1400,0.1728,2012/09/30,1391/07/09
9800,8900,9850,9800,300,0.0316,2012/10/01,1391/07/10
8899,8398,9027,8543,527,0.0617,2012/10/02,1391/07/11
8833,8670,9022,8881,338,0.039599999999999996,2012/10/03,1391/07/12
8568,8389,8736,8675,206,0.023700000000000002,2012/10/05,1391/07/14
8444,8389,8741,8656,19,0.0022,2012/10/06,1391/07/15
8421,8358,8740,8659,3,0.0003,2012/10/07,1391/07/16
9078,8255,9224,8391,268,0.0319,2012/10/08,1391/07/17
