0,1,2,3,4,5,6,7
439660,439550,446190,444740,5450,1.24,2026/02/10,1404/11/21
433870,433830,440750,439290,6420,1.48,2026/02/09,1404/11/20
423360,423320,433500,432870,6820,1.6,2026/02/08,1404/11/19
441040,426040,441120,426050,15990,3.75,2026/02/07,1404/11/18
428490,428490,442650,442040,14650,3.43,2026/02/05,1404/11/16
420800,418030,428220,427390,6640,1.58,2026/02/03,1404/11/14
432290,417490,432300,420750,12300,2.92,2026/02/02,1404/11/13
442640,428930,442650,433050,10920,2.52,2026/02/01,1404/11/12
435780,431100,449460,443970,12220,2.83,2026/01/31,1404/11/11
438490,426200,449460,431750,2920,0.68,2026/01/29,1404/11/09
416120,416120,435030,434670,21330,5.16,2026/01/28,1404/11/08
399270,399240,413350,413340,14350,3.6,2026/01/27,1404/11/07
387130,381410,399070,398990,11850,3.06,2026/01/26,1404/11/06
384050,384040,388450,387140,3030,0.79,2026/01/25,1404/11/05
396510,384040,396620,384110,12510,3.26,2026/01/24,1404/11/04
396530,396510,396620,396620,0,0.0,2026/01/22,1404/11/02
396600,396510,396620,396620,80,0.02,2026/01/21,1404/11/01
396600,396510,396620,396540,80,0.02,2026/01/20,1404/10/30
396560,396510,396620,396620,180,0.05,2026/01/19,1404/10/29
396460,396360,396470,396440,50,0.01,2026/01/18,1404/10/28
396400,396360,396470,396390,190,0.05,2026/01/17,1404/10/27
396560,396510,396620,396580,30,0.01,2026/01/15,1404/10/25
396600,396510,396620,396610,50,0.01,2026/01/14,1404/10/24
396540,396510,396620,396560,50,0.01,2026/01/13,1404/10/23
396610,396510,396620,396510,40,0.01,2026/01/12,1404/10/22
396470,396360,396470,396470,110,0.03,2026/01/11,1404/10/21
396430,396360,396470,396360,1530,0.39,2026/01/10,1404/10/20
400080,396240,400980,397890,4180,1.05,2026/01/08,1404/10/18
400630,396200,403160,402070,1460,0.36,2026/01/07,1404/10/17
392710,392700,401800,400610,8900,2.27,2026/01/06,1404/10/16
375270,375270,391990,391710,15920,4.24,2026/01/05,1404/10/15
373260,372410,377150,375790,6130,1.66,2026/01/04,1404/10/14
368390,365190,369660,369660,300,0.08,2026/01/01,1404/10/11
380590,369280,380690,369360,10840,2.93,2025/12/31,1404/10/10
373090,373090,380550,380200,5230,1.39,2025/12/30,1404/10/09
389610,374870,389680,374970,15100,4.03,2025/12/29,1404/10/08
379910,379900,393630,390070,11930,3.15,2025/12/28,1404/10/07
366170,366150,378240,378140,12090,3.3,2025/12/27,1404/10/06
369370,364370,369390,366050,2780,0.76,2025/12/25,1404/10/04
366830,365190,371020,368830,1800,0.49,2025/12/24,1404/10/03
359510,359510,367070,367030,5080,1.4,2025/12/23,1404/10/02
356930,354020,362170,361950,4570,1.28,2025/12/22,1404/10/01
359500,353500,359600,357380,2630,0.74,2025/12/21,1404/09/30
356630,356630,361910,360010,1480,0.41,2025/12/20,1404/09/29
360030,358520,360130,358530,1160,0.32,2025/12/18,1404/09/27
354390,354300,359720,359690,5920,1.67,2025/12/17,1404/09/26
354980,351980,355090,353770,1300,0.37,2025/12/16,1404/09/25
354090,354020,358760,355070,1890,0.54,2025/12/15,1404/09/24
350110,347220,353390,353180,1990,0.57,2025/12/14,1404/09/23
342220,342050,351550,351190,8730,2.55,2025/12/13,1404/09/22
339680,337410,342690,342460,2110,0.62,2025/12/11,1404/09/20
340520,338090,340790,340350,150,0.04,2025/12/10,1404/09/19
343170,338640,345010,340200,3860,1.13,2025/12/09,1404/09/18
337910,337820,344060,344060,6440,1.91,2025/12/08,1404/09/17
332520,332520,337660,337620,5440,1.64,2025/12/07,1404/09/16
326000,325980,332760,332180,6140,1.88,2025/12/06,1404/09/15
327740,325560,328530,326040,1930,0.59,2025/12/04,1404/09/13
324270,324200,329350,327970,4650,1.44,2025/12/03,1404/09/12
324450,320930,324450,323320,740,0.23,2025/12/02,1404/09/11
320480,320390,325130,324060,4410,1.38,2025/12/01,1404/09/10
315660,315640,319690,319650,4240,1.34,2025/11/30,1404/09/09
310340,310330,315470,315410,4510,1.45,2025/11/29,1404/09/08
309420,309360,311640,310900,1460,0.47,2025/11/27,1404/09/06
308960,308270,310280,309440,500,0.16,2025/11/26,1404/09/05
308610,307180,310010,308940,770,0.25,2025/11/25,1404/09/04
307030,306520,309890,309710,2280,0.74,2025/11/23,1404/09/02
309060,307060,309080,307430,1760,0.57,2025/11/22,1404/09/01
309150,308540,310960,309190,270,0.09,2025/11/20,1404/08/29
306930,304450,309060,308920,2420,0.79,2025/11/19,1404/08/28
306360,305680,307420,306500,60,0.02,2025/11/18,1404/08/27
306060,305540,306880,306440,950,0.31,2025/11/17,1404/08/26
307600,304750,308260,305490,1710,0.56,2025/11/16,1404/08/25
305260,305150,309890,307200,590,0.19,2025/11/15,1404/08/24
306590,306360,309470,306610,20,0.01,2025/11/13,1404/08/22
306430,306220,307290,306630,7540,2.52,2025/11/12,1404/08/21
