بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
13700,13700,13700,13700,260,0.019299999999999998,2011/11/26,1390/09/05
13440,13440,13440,13440,260,0.019299999999999998,2011/11/27,1390/09/06
13495,13227,13667,13350,0,0.0,2011/11/28,1390/09/07
13580,13510,13830,13590,90,0.0067,2011/11/30,1390/09/09
13638,13504,13833,13623,13,0.001,2011/12/03,1390/09/12
13494,13391,13658,13493,57,0.0042,2011/12/07,1390/09/16
13450,13450,13450,13450,43,0.0032,2011/12/10,1390/09/19
13530,13530,13530,13530,80,0.0059,2011/12/11,1390/09/20
13630,13630,13630,13630,100,0.0074,2011/12/12,1390/09/21
13770,13770,13770,13770,140,0.0103,2011/12/13,1390/09/22
13741,13455,13883,13730,20,0.0015,2011/12/14,1390/09/23
14080,14080,14080,14080,350,0.0255,2011/12/17,1390/09/26
14500,14500,14500,14500,420,0.0298,2011/12/18,1390/09/27
15300,15300,15300,15300,800,0.0552,2011/12/19,1390/09/28
15150,15150,15150,15150,150,0.009899999999999999,2011/12/20,1390/09/29
14308,14168,14422,14304,74,0.0052,2011/12/21,1390/09/30
14800,14800,14800,14800,496,0.0347,2011/12/24,1390/10/03
15250,15250,15250,15250,450,0.0304,2011/12/25,1390/10/04
15150,15150,15150,15150,100,0.0066,2011/12/26,1390/10/05
15200,15200,15200,15200,50,0.0033,2011/12/27,1390/10/06
15537,15227,15620,15388,168,0.011000000000000001,2011/12/28,1390/10/07
15900,15900,15900,15900,512,0.0333,2011/12/31,1390/10/10
17400,17400,17400,17400,1500,0.0943,2012/01/01,1390/10/11
16200,16200,16200,16200,1200,0.0741,2012/01/02,1390/10/12
15800,15800,15800,15800,400,0.0253,2012/01/03,1390/10/13
15976,15784,16207,15979,1,0.0001,2012/01/04,1390/10/14
16550,16550,16550,16550,571,0.035699999999999996,2012/01/07,1390/10/17
16900,16900,16900,16900,350,0.021099999999999997,2012/01/08,1390/10/18
16900,16900,16900,16900,0,0.0,2012/01/09,1390/10/19
16920,16920,16920,16920,20,0.0012,2012/01/10,1390/10/20
16929,16678,17232,16914,36,0.0021,2012/01/11,1390/10/21
16900,16900,16900,16900,14,0.0008,2012/01/15,1390/10/25
17400,17400,17400,17400,500,0.0296,2012/01/16,1390/10/26
18200,18200,18200,18200,800,0.046,2012/01/17,1390/10/27
18330,17960,19170,18790,590,0.032400000000000005,2012/01/18,1390/10/28
19400,18900,19700,19300,510,0.0271,2012/01/20,1390/10/30
19500,18700,19600,19100,200,0.0105,2012/01/22,1390/11/02
17500,16900,17600,17100,100,0.0059,2012/01/25,1390/11/05
18300,18300,18300,18300,1200,0.0702,2012/01/28,1390/11/08
18300,17990,18520,18300,0,0.0,2012/01/29,1390/11/09
18300,18300,18300,18300,0,0.0,2012/01/31,1390/11/11
17900,17460,18190,17830,470,0.0264,2012/02/01,1390/11/12
18500,18500,18500,18500,670,0.037599999999999995,2012/02/04,1390/11/15
18800,18800,18800,18800,300,0.016200000000000003,2012/02/05,1390/11/16
18900,18900,18900,18900,100,0.0053,2012/02/06,1390/11/17
19330,19120,19460,19350,150,0.0078000000000000005,2012/02/07,1390/11/18
19260,19030,19550,19350,0,0.0,2012/02/08,1390/11/19
19000,19000,19000,19000,350,0.0184,2012/02/12,1390/11/23
19350,19350,19350,19350,350,0.0184,2012/02/13,1390/11/24
19500,19500,19500,19500,150,0.0078000000000000005,2012/02/14,1390/11/25
19490,19200,19810,19560,40,0.002,2012/02/15,1390/11/26
19200,19200,19200,19200,360,0.018799999999999997,2012/02/18,1390/11/29
19400,19400,19400,19400,200,0.0104,2012/02/19,1390/11/30
19450,19450,19450,19450,50,0.0026,2012/02/20,1390/12/01
19350,19350,19350,19350,100,0.0052,2012/02/21,1390/12/02
19314,18952,19580,19333,17,0.0009,2012/02/22,1390/12/03
19300,19300,19300,19300,33,0.0017000000000000001,2012/02/25,1390/12/06
18700,18700,18700,18700,600,0.0321,2012/02/26,1390/12/07
18500,18500,18500,18500,200,0.0108,2012/02/27,1390/12/08
19200,19200,19200,19200,700,0.0378,2012/02/28,1390/12/09
19250,18913,19633,19250,0,0.0,2012/02/29,1390/12/10
19000,19000,19000,19000,250,0.0132,2012/03/03,1390/12/13
19100,19100,19100,19100,100,0.0053,2012/03/04,1390/12/14
18950,18950,18950,18950,150,0.0079,2012/03/05,1390/12/15
18850,18850,18850,18850,100,0.0053,2012/03/06,1390/12/16
18800,18500,18900,18800,200,0.0106,2012/03/07,1390/12/17
18700,18700,18700,18700,100,0.0053,2012/03/10,1390/12/20
18850,18850,18850,18850,150,0.008,2012/03/11,1390/12/21
18800,18800,18800,18800,50,0.0027,2012/03/12,1390/12/22
18600,18600,18600,18600,200,0.0108,2012/03/13,1390/12/23
19040,18280,19170,18520,20,0.0011,2012/03/14,1390/12/24
18964,18825,19480,19123,27,0.0014000000000000002,2012/03/17,1390/12/27
18900,18900,18900,18900,223,0.0118,2012/03/24,1391/01/05
19100,18600,19400,19000,0,0.0,2012/03/25,1391/01/06
19200,19200,19200,19200,200,0.0105,2012/03/27,1391/01/08
19170,19040,19440,19190,10,0.0005,2012/03/28,1391/01/09
19000,19000,19000,19000,190,0.01,2012/04/02,1391/01/14
18950,18950,18950,18950,50,0.0026,2012/04/03,1391/01/15
19000,18600,19300,19000,0,0.0,2012/04/04,1391/01/16
19010,19010,19010,19010,10,0.0005,2012/04/07,1391/01/19
19000,19000,19000,19000,10,0.0005,2012/04/08,1391/01/20
18650,18650,18650,18650,350,0.018799999999999997,2012/04/09,1391/01/21
18800,18800,18800,18800,150,0.008,2012/04/10,1391/01/22
18829,18669,19198,18812,28,0.0015,2012/04/11,1391/01/23
17300,17300,17300,17300,1512,0.0874,2012/04/14,1391/01/26
