بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
25250,25250,25250,25250,100,0.004,2012/06/28,1391/04/08
25200,25000,25200,25150,100,0.004,2012/06/29,1391/04/09
25100,24850,25100,24950,200,0.008,2012/06/30,1391/04/10
24850,24700,24850,24700,250,0.0101,2012/07/01,1391/04/11
24720,24700,24890,24890,190,0.0077,2012/07/02,1391/04/12
24930,23910,25210,24240,660,0.027200000000000002,2012/07/03,1391/04/13
24100,23930,24100,23930,310,0.013000000000000001,2012/07/07,1391/04/17
23750,23700,23900,23850,80,0.0034000000000000002,2012/07/08,1391/04/18
24000,23950,24170,24120,270,0.0113,2012/07/09,1391/04/19
24050,23920,24050,23920,200,0.0084,2012/07/10,1391/04/20
23750,23346,24182,23601,229,0.0097,2012/07/11,1391/04/21
23700,23560,23700,23560,41,0.0017000000000000001,2012/07/14,1391/04/24
23500,23500,23630,23630,70,0.003,2012/07/15,1391/04/25
23700,23580,23800,23590,40,0.0017000000000000001,2012/07/16,1391/04/26
23560,23530,23590,23590,0,0.0,2012/07/17,1391/04/27
23605,22980,23994,23364,276,0.0118,2012/07/18,1391/04/28
23420,23350,23420,23350,14,0.0006,2012/07/21,1391/04/31
23330,23240,23350,23260,90,0.0039000000000000003,2012/07/22,1391/05/01
23270,23270,23410,23390,130,0.005600000000000001,2012/07/23,1391/05/02
23380,23380,23620,23610,220,0.009399999999999999,2012/07/24,1391/05/03
24240,23710,24530,24210,10,0.0004,2012/07/25,1391/05/04
24480,24150,24480,24250,40,0.0017000000000000001,2012/07/28,1391/05/07
24230,24150,24290,24270,20,0.0008,2012/07/29,1391/05/08
24330,24160,24330,24310,40,0.0016,2012/07/30,1391/05/09
24420,24420,24750,24650,340,0.013999999999999999,2012/07/31,1391/05/10
24770,24350,25150,24930,130,0.0052,2012/08/01,1391/05/11
24850,24850,25230,25230,300,0.012,2012/08/04,1391/05/14
25650,25650,26600,26250,1020,0.0404,2012/08/05,1391/05/15
26300,26300,27250,27000,750,0.0286,2012/08/06,1391/05/16
26900,26200,26900,26200,800,0.0305,2012/08/07,1391/05/17
26060,25890,26580,26250,350,0.013500000000000002,2012/08/08,1391/05/18
26300,26300,26370,26370,120,0.0046,2012/08/11,1391/05/21
26300,26250,26300,26250,120,0.0046,2012/08/12,1391/05/22
26250,26200,26250,26250,0,0.0,2012/08/13,1391/05/23
26290,26280,26290,26280,30,0.0011,2012/08/14,1391/05/24
26490,26010,27110,26640,440,0.0168,2012/08/15,1391/05/25
26390,25840,26910,26490,150,0.005699999999999999,2012/08/17,1391/05/27
26620,26620,26710,26710,220,0.0083,2012/08/21,1391/05/31
26987,26808,27618,27313,133,0.0049,2012/08/22,1391/06/01
27550,27480,27600,27480,167,0.0060999999999999995,2012/08/25,1391/06/04
27480,27480,27620,27620,140,0.0051,2012/08/26,1391/06/05
27570,27570,27580,27580,40,0.0015,2012/08/27,1391/06/06
27600,26993,28041,27502,118,0.0043,2012/08/28,1391/06/07
27600,27029,27820,27539,37,0.0013,2012/08/29,1391/06/08
27600,27470,27600,27470,69,0.0025,2012/09/01,1391/06/11
27330,27300,27460,27460,10,0.0004,2012/09/02,1391/06/12
27580,27580,27690,27640,180,0.0066,2012/09/03,1391/06/13
27580,27580,27950,27950,310,0.011200000000000002,2012/09/04,1391/06/14
29477,29202,29910,29367,1047,0.037000000000000005,2012/09/05,1391/06/15
29730,29700,31430,31430,2063,0.0702,2012/09/08,1391/06/18
33400,32300,33400,32300,870,0.0277,2012/09/09,1391/06/19
32020,31690,32200,31980,380,0.012,2012/09/10,1391/06/20
32370,31310,32710,31700,280,0.0088,2012/09/12,1391/06/22
32000,31850,32200,32100,400,0.0126,2012/09/15,1391/06/25
32900,32900,33100,32900,800,0.024900000000000002,2012/09/16,1391/06/26
32700,32100,32800,32200,700,0.0217,2012/09/17,1391/06/27
32000,31850,32100,31850,350,0.011000000000000001,2012/09/18,1391/06/28
31750,31750,31900,31900,50,0.0016,2012/09/19,1391/06/29
31900,31900,31900,31900,0,0.0,2012/09/20,1391/06/30
32100,32000,32350,32250,350,0.011000000000000001,2012/09/22,1391/07/01
31800,31800,32700,32600,350,0.0109,2012/09/23,1391/07/02
32900,32900,34300,33700,1100,0.0337,2012/09/24,1391/07/03
33600,33600,34300,34000,300,0.0089,2012/09/25,1391/07/04
37770,37150,39150,38350,3650,0.1052,2012/09/26,1391/07/05
38200,38200,39500,39200,850,0.0222,2012/09/29,1391/07/08
41800,41800,44700,44700,5500,0.14029999999999998,2012/09/30,1391/07/09
46900,46100,47900,47000,0,0.0,2012/10/01,1391/07/10
46800,46300,47800,47000,0,0.0,2012/10/02,1391/07/11
47000,46300,47300,47000,0,0.0,2012/10/03,1391/07/12
47000,46700,47400,47000,0,0.0,2012/10/05,1391/07/14
47000,46300,47900,47000,0,0.0,2012/10/06,1391/07/15
46900,46000,47300,47000,0,0.0,2012/10/07,1391/07/16
46800,46000,47500,47000,0,0.0,2012/10/08,1391/07/17
47000,46400,47600,47000,0,0.0,2012/10/09,1391/07/18
46900,46100,47500,47000,0,0.0,2012/10/10,1391/07/19
