بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
2549830,2549830,2549830,2549830,0,0.0,2017/07/05,1396/04/14
2549830,2549830,2549830,2549830,0,0.0,2017/07/07,1396/04/16
2549650,2548510,2550050,2548510,1320,0.0005,2017/07/08,1396/04/17
2549000,2549000,2550000,2549430,920,0.0004,2017/07/09,1396/04/18
2550000,2550000,2552080,2552040,2610,0.001,2017/07/10,1396/04/19
2547000,2544000,2547000,2546290,5750,0.0023,2017/07/11,1396/04/20
2547956,2522904,2583882,2546845,1595,0.0006,2017/07/12,1396/04/21
2547000,2541680,2548000,2541680,5165,0.002,2017/07/15,1396/04/24
2542000,2539870,2542000,2539900,1780,0.0007000000000000001,2017/07/16,1396/04/25
2537000,2527800,2537000,2527810,12090,0.0048,2017/07/17,1396/04/26
2525000,2520000,2525000,2520520,7290,0.0029,2017/07/18,1396/04/27
2520000,2520000,2521000,2520750,230,0.0001,2017/07/19,1396/04/28
2519000,2519000,2520000,2519020,1730,0.0007000000000000001,2017/07/22,1396/04/31
2519000,2516000,2519000,2516290,2730,0.0011,2017/07/23,1396/05/01
2515000,2513000,2515000,2513690,2600,0.001,2017/07/24,1396/05/02
2514000,2512000,2514150,2514140,450,0.0002,2017/07/25,1396/05/03
2519556,2505916,2565663,2518762,548,0.0002,2017/07/26,1396/05/04
2518000,2518000,2523030,2523030,4268,0.0017000000000000001,2017/07/29,1396/05/07
2523000,2523000,2531410,2531380,8350,0.0033,2017/07/30,1396/05/08
2542000,2532000,2543000,2532570,1190,0.0005,2017/07/31,1396/05/09
2531000,2530000,2532000,2531740,830,0.0003,2017/08/01,1396/05/10
2532000,2508199,2556820,2532258,272,0.0001,2017/08/02,1396/05/11
2534000,2529000,2534000,2529220,3038,0.0012,2017/08/05,1396/05/14
2529000,2529000,2532000,2531470,2250,0.0009,2017/08/06,1396/05/15
2531000,2530000,2531000,2530060,1410,0.0006,2017/08/07,1396/05/16
2530000,2530000,2531000,2530770,710,0.0003,2017/08/08,1396/05/17
2532583,2506750,2553958,2534946,56,0.0,2017/08/09,1396/05/18
