0,1,2,3,4,5,6,7
277000000,277000000,277000000,277000000,0,0.0,2026/02/10,1404/11/21
272000000,272000000,277000000,277000000,10000000,3.75,2026/02/09,1404/11/20
262000000,262000000,267000000,267000000,0,0.0,2026/02/08,1404/11/19
267000000,267000000,267000000,267000000,10000000,3.75,2026/02/07,1404/11/18
277000000,277000000,277000000,277000000,0,0.0,2026/02/05,1404/11/16
267000000,267000000,277000000,277000000,15000000,5.73,2026/02/03,1404/11/14
267000000,262000000,267000000,262000000,10000000,3.82,2026/02/02,1404/11/13
272000000,272000000,272000000,272000000,5000000,1.84,2026/02/01,1404/11/12
262000000,262000000,277000000,277000000,5000000,1.84,2026/01/31,1404/11/11
292000000,272000000,292000000,272000000,5000000,1.87,2026/01/29,1404/11/09
225300000,225300000,267000000,267000000,26700000,11.11,2026/01/28,1404/11/08
225300000,225300000,240300000,240300000,5000000,2.12,2026/01/27,1404/11/07
235300000,235300000,235300000,235300000,10000000,4.44,2026/01/26,1404/11/06
225300000,225300000,225300000,225300000,0,0.0,2026/01/08,1404/10/18
225300000,225300000,225300000,225300000,0,0.0,2026/01/07,1404/10/17
227300000,225300000,227300000,225300000,1000000,0.45,2026/01/06,1404/10/16
223300000,223300000,224300000,224300000,4000000,1.82,2026/01/05,1404/10/15
220300000,219300000,220300000,220300000,3000000,1.38,2026/01/04,1404/10/14
217300000,217300000,217300000,217300000,1000000,0.46,2026/01/01,1404/10/11
222300000,218300000,222300000,218300000,4000000,1.83,2025/12/31,1404/10/10
220300000,220300000,222300000,222300000,0,0.0,2025/12/30,1404/10/09
224300000,222300000,224300000,222300000,3000000,1.35,2025/12/29,1404/10/08
220300000,220300000,227300000,225300000,7000000,3.21,2025/12/28,1404/10/07
210300000,210300000,218300000,218300000,10000000,4.8,2025/12/27,1404/10/06
208300000,208300000,208300000,208300000,1000000,0.48,2025/12/25,1404/10/04
207300000,207300000,209300000,209300000,4000000,1.95,2025/12/24,1404/10/03
204300000,204300000,205300000,205300000,3000000,1.48,2025/12/23,1404/10/02
200300000,200300000,202300000,202300000,3000000,1.51,2025/12/22,1404/10/01
199300000,198300000,199300000,199300000,0,0.0,2025/12/21,1404/09/30
200300000,199300000,200300000,199300000,0,0.0,2025/12/20,1404/09/29
199300000,199300000,199300000,199300000,1000000,0.5,2025/12/18,1404/09/27
195300000,195300000,198300000,198300000,3000000,1.54,2025/12/17,1404/09/26
195300000,195300000,195300000,195300000,2000000,1.02,2025/12/16,1404/09/25
195300000,195300000,197300000,197300000,3000000,1.54,2025/12/15,1404/09/24
193300000,193300000,194300000,194300000,1000000,0.52,2025/12/14,1404/09/23
191300000,191300000,193300000,193300000,4000000,2.11,2025/12/13,1404/09/22
188300000,188300000,189300000,189300000,2000000,1.07,2025/12/11,1404/09/20
187300000,187300000,187300000,187300000,0,0.0,2025/12/10,1404/09/19
188300000,187300000,188300000,187300000,1000000,0.53,2025/12/09,1404/09/18
186300000,186300000,188300000,188300000,3000000,1.62,2025/12/08,1404/09/17
182300000,182300000,185300000,185300000,4000000,2.21,2025/12/07,1404/09/16
179300000,179300000,181300000,181300000,3000000,1.68,2025/12/06,1404/09/15
178300000,178300000,178300000,178300000,0,0.0,2025/12/04,1404/09/13
176300000,176300000,178300000,178300000,3000000,1.71,2025/12/03,1404/09/12
175300000,175300000,175300000,175300000,2000000,1.14,2025/12/02,1404/09/11
175300000,175300000,177300000,177300000,2000000,1.14,2025/12/01,1404/09/10
175300000,175300000,175300000,175300000,1000000,0.57,2025/11/30,1404/09/09
172300000,172300000,174300000,174300000,3000000,1.75,2025/11/29,1404/09/08
171300000,171300000,171300000,171300000,0,0.0,2025/11/27,1404/09/06
171300000,171300000,171300000,171300000,0,0.0,2025/11/26,1404/09/05
171300000,171300000,171300000,171300000,0,0.0,2025/11/25,1404/09/04
168300000,168300000,171300000,171300000,3000000,1.78,2025/11/23,1404/09/02
169300000,168300000,169300000,168300000,2000000,1.19,2025/11/22,1404/09/01
167300000,167300000,170300000,170300000,2000000,1.19,2025/11/19,1404/08/28
167300000,167300000,168300000,168300000,0,0.0,2025/11/18,1404/08/27
