بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
6479200,6479200,6479200,6479200,0,0.0,2017/07/05,1396/04/14
6479200,6479200,6479200,6479200,0,0.0,2017/07/07,1396/04/16
6475490,6457000,6475490,6458030,21170,0.0033,2017/07/08,1396/04/17
6458000,6443000,6458000,6443210,14820,0.0023,2017/07/09,1396/04/18
6443000,6427000,6443000,6427670,15540,0.0024,2017/07/10,1396/04/19
6412000,6401000,6412000,6402330,25340,0.004,2017/07/11,1396/04/20
6398081,6350817,6501090,6386582,6568,0.001,2017/07/12,1396/04/21
6381000,6359000,6381000,6359390,27192,0.0043,2017/07/15,1396/04/24
6359000,6344000,6359000,6344960,14430,0.0023,2017/07/16,1396/04/25
6345000,6322000,6345000,6322670,22290,0.0034999999999999996,2017/07/17,1396/04/26
6317000,6287000,6317000,6289150,33520,0.0053,2017/07/18,1396/04/27
6289000,6288000,6290000,6289890,740,0.0001,2017/07/19,1396/04/28
6285000,6273000,6285000,6274020,15870,0.0025,2017/07/22,1396/04/31
6274000,6264000,6274000,6264890,9130,0.0015,2017/07/23,1396/05/01
6265000,6264000,6268000,6267470,2580,0.0004,2017/07/24,1396/05/02
6269000,6268000,6282000,6281810,14340,0.0023,2017/07/25,1396/05/03
6293501,6170148,6391899,6312364,7044,0.0011,2017/07/26,1396/05/04
6321000,6321000,6347040,6347040,34676,0.0055000000000000005,2017/07/29,1396/05/07
6347000,6346000,6361000,6360720,13680,0.0022,2017/07/30,1396/05/08
6365000,6363000,6369000,6368470,7750,0.0012,2017/07/31,1396/05/09
6367000,6367000,6369010,6369000,530,0.0001,2017/08/01,1396/05/10
6370537,6276890,6405415,6371646,544,0.0001,2017/08/02,1396/05/11
6374000,6373000,6378000,6377300,5654,0.0009,2017/08/05,1396/05/14
6376000,6361000,6376000,6361980,15320,0.0024,2017/08/06,1396/05/15
6360000,6355000,6360000,6355140,6840,0.0011,2017/08/07,1396/05/16
6357000,6353000,6357000,6355550,410,0.0001,2017/08/08,1396/05/17
6361048,6324790,6476721,6367832,7362,0.0012,2017/08/09,1396/05/18
6379000,6369770,6379000,6369770,1938,0.0003,2017/08/12,1396/05/21
6369000,6361000,6369000,6361380,8390,0.0013,2017/08/13,1396/05/22
6359000,6340000,6359000,6340300,21080,0.0033,2017/08/14,1396/05/23
6338000,6326770,6339000,6326770,13530,0.0021,2017/08/15,1396/05/24
6325548,6267290,6368561,6325485,135,0.0,2017/08/16,1396/05/25
6322000,6307000,6322000,6307130,18355,0.0029,2017/08/19,1396/05/28
6307000,6300000,6309000,6302680,4450,0.0007000000000000001,2017/08/20,1396/05/29
6303000,6299000,6307000,6299490,3190,0.0005,2017/08/21,1396/05/30
6299000,6299000,6304000,6303280,3790,0.0006,2017/08/22,1396/05/31
6309760,6240920,6356450,6309700,900,0.0001,2017/08/23,1396/06/01
6357000,6357000,6389000,6388340,78640,0.0125,2017/08/26,1396/06/04
6391000,6391000,6428000,6427990,39650,0.0062,2017/08/27,1396/06/05
6433000,6433000,6468000,6466240,38250,0.006,2017/08/28,1396/06/06
6467000,6467000,6485000,6484230,17990,0.0028000000000000004,2017/08/29,1396/06/07
6486890,6374010,6540990,6499400,12100,0.0019,2017/08/30,1396/06/08
6530000,6530000,6570350,6570350,70950,0.0109,2017/09/02,1396/06/11
6577000,6577000,6681260,6681250,110900,0.0169,2017/09/03,1396/06/12
6681000,6668000,6683000,6669030,12220,0.0018,2017/09/04,1396/06/13
6668000,6640000,6668000,6640350,28680,0.0043,2017/09/05,1396/06/14
6642220,6555206,6690966,6644455,65,0.0,2017/09/06,1396/06/15
6639000,6619000,6639000,6619620,24835,0.0038,2017/09/10,1396/06/19
6617000,6589000,6617000,6589770,29850,0.0045000000000000005,2017/09/11,1396/06/20
6590000,6586000,6592000,6586240,3530,0.0005,2017/09/12,1396/06/21
6578388,6411585,6709955,6539098,34032,0.0052,2017/09/13,1396/06/22
6519000,6491570,6519000,6491570,47528,0.0073,2017/09/16,1396/06/25
6490000,6461370,6490000,6461370,30200,0.004699999999999999,2017/09/17,1396/06/26
6462000,6455700,6463000,6455730,5640,0.0009,2017/09/18,1396/06/27
6450000,6442920,6450000,6443010,12720,0.002,2017/09/19,1396/06/28
6433858,6360558,6521358,6408623,21497,0.0034000000000000002,2017/09/20,1396/06/29
6381000,6373630,6382000,6373630,34993,0.0055000000000000005,2017/09/23,1396/07/01
6374000,6373000,6391000,6390390,16760,0.0026,2017/09/24,1396/07/02
6394000,6394000,6476000,6475660,85270,0.013300000000000001,2017/09/25,1396/07/03
6478000,6476000,6498000,6476540,880,0.0001,2017/09/26,1396/07/04
6473401,6415787,6526176,6473739,31,0.0,2017/09/27,1396/07/05
6471000,6467000,6471000,6468730,5009,0.0008,2017/10/02,1396/07/10
6469000,6469000,6486000,6484480,15750,0.0024,2017/10/03,1396/07/11
6486800,6392090,6558440,6507690,16290,0.0025,2017/10/04,1396/07/12
6499650,6499650,6556800,6556800,49110,0.0075,2017/10/07,1396/07/15
6555230,6555230,6655010,6655000,98200,0.015,2017/10/08,1396/07/16
6663700,6663700,6679910,6677120,22120,0.0033,2017/10/09,1396/07/17
6674760,6661420,6676150,6662970,14150,0.0021,2017/10/10,1396/07/18
6661891,6576934,6715852,6650758,10482,0.0016,2017/10/11,1396/07/19
6647550,6638550,6647550,6638980,11778,0.0018,2017/10/14,1396/07/22
6638900,6634880,6639060,6635600,3380,0.0005,2017/10/15,1396/07/23
6635080,6621440,6635080,6624420,11180,0.0017000000000000001,2017/10/16,1396/07/24
6621600,6607190,6623810,6609720,14700,0.0022,2017/10/17,1396/07/25
6608914,6520891,6689542,6581441,26309,0.004,2017/10/18,1396/07/26
6572730,6520000,6572730,6526270,55171,0.0085,2017/10/21,1396/07/29
6532180,6529870,6540410,6540030,13760,0.0021,2017/10/22,1396/07/30
6542210,6542210,6573620,6554940,14910,0.0023,2017/10/23,1396/08/01
6559290,6559140,6656410,6655960,101020,0.0154,2017/10/24,1396/08/02
6671179,6577782,6851837,6720782,60512,0.0091,2017/10/25,1396/08/03
6742230,6741880,6763950,6756730,35948,0.0053,2017/10/28,1396/08/06
6756200,6720180,6756440,6721110,35620,0.0053,2017/10/29,1396/08/07
6717910,6716190,6719910,6716380,4730,0.0007000000000000001,2017/10/30,1396/08/08
6719790,6719130,6737810,6737300,20920,0.0031,2017/10/31,1396/08/09
6738202,6598721,6832560,6775645,3215,0.0005,2017/11/01,1396/08/10
6775740,6775390,6778160,6778140,2495,0.0004,2017/11/04,1396/08/13
6781270,6780000,6806670,6806670,28530,0.0042,2017/11/05,1396/08/14
6813330,6813330,6836670,6823330,16660,0.0024,2017/11/06,1396/08/15
6821000,6750000,6968000,6840000,10000,0.0015,2017/11/07,1396/08/16
6856670,6856670,6876670,6876670,36670,0.0054,2017/11/11,1396/08/20
6883330,6883330,6966670,6966670,90000,0.0131,2017/11/12,1396/08/21
6983330,6943330,7013330,6946670,20000,0.0029,2017/11/13,1396/08/22
6943330,6943330,7013330,7003330,56660,0.008199999999999999,2017/11/14,1396/08/23
7022000,6906000,7128000,7066000,36000,0.0051,2017/11/15,1396/08/24
7067000,7067000,7067000,7067000,1000,0.0001,2017/11/18,1396/08/27
7256000,7115000,7256000,7140000,73000,0.0103,2017/11/20,1396/08/29
7220000,7180000,7300000,7200000,60000,0.0084,2017/11/21,1396/08/30
7144000,6954000,7216000,7072000,108000,0.015300000000000001,2017/11/22,1396/09/01
6917000,6828000,6980000,6868000,22000,0.0032,2017/11/25,1396/09/04
6887000,6789000,7009000,6880000,20000,0.0029,2017/11/28,1396/09/07
6888000,6807000,6993000,6879000,1000,0.0001,2017/11/29,1396/09/08
6880000,6880000,7000000,7000000,121000,0.0176,2017/12/02,1396/09/11
7010000,7000000,7140000,7140000,140000,0.02,2017/12/03,1396/09/12
7147000,7060000,7291000,7144000,16000,0.0022,2017/12/04,1396/09/13
7120000,6981000,7274000,7134000,10000,0.0014000000000000002,2017/12/06,1396/09/15
7140000,7000000,7140000,7010000,124000,0.0177,2017/12/09,1396/09/18
7030000,6980000,7030000,6990000,20000,0.0029,2017/12/10,1396/09/19
6970000,6970000,6980000,6970000,20000,0.0029,2017/12/11,1396/09/20
6980000,6970000,6990000,6980000,10000,0.0014000000000000002,2017/12/12,1396/09/21
6900000,6700000,6900000,6900000,100000,0.014499999999999999,2017/12/13,1396/09/22
6950000,6860000,6950000,6860000,40000,0.0058,2017/12/16,1396/09/25
6880000,6880000,6890000,6890000,30000,0.0044,2017/12/17,1396/09/26
6900000,6860000,6900000,6860000,30000,0.0044,2017/12/18,1396/09/27
6870000,6870000,6880000,6870000,10000,0.0015,2017/12/19,1396/09/28
6875000,6718000,6966000,6842000,18000,0.0026,2017/12/20,1396/09/29
6820000,6820000,6840000,6840000,2000,0.0003,2017/12/23,1396/10/02
6830000,6825000,6840000,6840000,0,0.0,2017/12/24,1396/10/03
6850000,6850000,6870000,6870000,30000,0.0044,2017/12/25,1396/10/04
6890000,6890000,6940000,6930000,60000,0.0087,2017/12/26,1396/10/05
6974000,6888000,7098000,7003000,43000,0.0062,2017/12/27,1396/10/06
7060000,7060000,7180000,7180000,177000,0.0253,2017/12/30,1396/10/09
7200000,7200000,7370000,7370000,190000,0.0265,2017/12/31,1396/10/10
7350000,7340000,7370000,7340000,30000,0.0040999999999999995,2018/01/01,1396/10/11
7350000,7350000,7530000,7500000,160000,0.0218,2018/01/02,1396/10/12
7442000,7153000,7481000,7302000,38000,0.0052,2018/01/03,1396/10/13
7200000,7160000,7200000,7160000,142000,0.019799999999999998,2018/01/06,1396/10/16
7170000,7150000,7190000,7190000,30000,0.0042,2018/01/07,1396/10/17
7170000,7160000,7170000,7160000,30000,0.0042,2018/01/08,1396/10/18
7170000,7170000,7220000,7220000,60000,0.0084,2018/01/09,1396/10/19
7210000,7123000,7298000,7210000,0,0.0,2018/01/10,1396/10/20
7235000,7235000,7270000,7235000,25000,0.0034999999999999996,2018/01/13,1396/10/23
