0,1,2,3,4,5,6,7
1017500000,1014200000,1022100000,1021200000,31000000,3.13,2026/02/10,1404/11/21
1012900000,1001200000,995500000,990200000,22200000,2.29,2026/02/09,1404/11/20
963900000,963900000,983900000,968000000,13000000,1.36,2026/02/08,1404/11/19
984000000,955000000,984000000,955000000,96500000,10.1,2026/02/07,1404/11/18
1034000000,1008700000,1053100000,1051500000,51500000,5.15,2026/02/05,1404/11/16
963800000,1000000000,999900000,1000000000,49000000,5.15,2026/02/03,1404/11/14
971400000,950400000,976600000,951000000,51800000,5.45,2026/02/02,1404/11/13
1028400000,1002200000,996600000,1002800000,34400000,3.43,2026/02/01,1404/11/12
1004300000,1000200000,997000000,1037200000,85400000,8.23,2026/01/31,1404/11/11
1139300000,1054400000,1153700000,1122600000,68600000,6.51,2026/01/29,1404/11/09
1007600000,1007600000,1054000000,1054000000,116700000,12.45,2026/01/28,1404/11/08
953300000,910600000,955000000,937300000,17300000,1.88,2026/01/27,1404/11/07
860600000,860600000,920000000,920000000,68800000,8.08,2026/01/26,1404/11/06
851200000,851200000,851200000,851200000,14600000,1.75,2026/01/24,1404/11/04
836600000,836600000,836600000,836600000,1900000,0.23,2026/01/10,1404/10/20
852100000,838500000,852100000,838500000,13600000,1.62,2026/01/08,1404/10/18
870300000,848000000,870300000,852100000,17300000,2.03,2026/01/07,1404/10/17
875600000,859400000,883900000,869400000,18600000,2.19,2026/01/06,1404/10/16
850600000,847400000,859800000,850800000,20200000,2.43,2026/01/05,1404/10/15
830600000,823900000,830600000,830600000,19300000,2.38,2026/01/04,1404/10/14
800600000,800600000,814500000,811300000,300000,0.04,2026/01/01,1404/10/11
830600000,811000000,830600000,811000000,21100000,2.6,2025/12/31,1404/10/10
830600000,830600000,842200000,832100000,1900000,0.23,2025/12/30,1404/10/09
870600000,830600000,876800000,834000000,61400000,7.36,2025/12/29,1404/10/08
880600000,880600000,899700000,895400000,32900000,3.81,2025/12/28,1404/10/07
827700000,827700000,865500000,862500000,39900000,4.85,2025/12/27,1404/10/06
825600000,820700000,829600000,822600000,8900000,1.08,2025/12/25,1404/10/04
815600000,815600000,833200000,831500000,25900000,3.21,2025/12/24,1404/10/03
800600000,797300000,805600000,805600000,19900000,2.53,2025/12/23,1404/10/02
785600000,784200000,790600000,785700000,7100000,0.91,2025/12/22,1404/10/01
778600000,771600000,779700000,778600000,2500000,0.32,2025/12/21,1404/09/30
779800000,775300000,783500000,776100000,2400000,0.31,2025/12/20,1404/09/29
780600000,777700000,780600000,778500000,1000000,0.13,2025/12/18,1404/09/27
767600000,767600000,779500000,779500000,11700000,1.52,2025/12/17,1404/09/26
765600000,755700000,767800000,767800000,1000000,0.13,2025/12/16,1404/09/25
765600000,765600000,775600000,768800000,9800000,1.29,2025/12/15,1404/09/24
749900000,748300000,759000000,759000000,3600000,0.48,2025/12/14,1404/09/23
730600000,730600000,755400000,755400000,27800000,3.82,2025/12/13,1404/09/22
715600000,715600000,727600000,727600000,11800000,1.65,2025/12/11,1404/09/20
710600000,710600000,715800000,715800000,4300000,0.6,2025/12/10,1404/09/19
715600000,710800000,720300000,711500000,2700000,0.38,2025/12/09,1404/09/18
705600000,705600000,710600000,708800000,10200000,1.46,2025/12/08,1404/09/17
695400000,692300000,699600000,698600000,7600000,1.1,2025/12/07,1404/09/16
670600000,670600000,691000000,691000000,23500000,3.52,2025/12/06,1404/09/15
664600000,664600000,667500000,667500000,2900000,0.44,2025/12/04,1404/09/13
649400000,649400000,665600000,664600000,13700000,2.1,2025/12/03,1404/09/12
653600000,644500000,653600000,650900000,4700000,0.72,2025/12/02,1404/09/11
647600000,647600000,655600000,655600000,14700000,2.29,2025/12/01,1404/09/10
640600000,638300000,643600000,640900000,3300000,0.52,2025/11/30,1404/09/09
625600000,621000000,637600000,637600000,21400000,3.47,2025/11/29,1404/09/08
618600000,616200000,620600000,616200000,600000,0.1,2025/11/27,1404/09/06
615600000,614700000,618500000,615600000,4500000,0.74,2025/11/26,1404/09/05
612600000,609600000,615500000,611100000,1700000,0.28,2025/11/25,1404/09/04
603600000,603600000,609400000,609400000,6800000,1.13,2025/11/23,1404/09/02
610600000,602600000,610600000,602600000,5900000,0.98,2025/11/22,1404/09/01
615000000,608500000,615600000,608500000,2800000,0.46,2025/11/20,1404/08/29
603500000,603500000,613600000,611300000,8700000,1.44,2025/11/19,1404/08/28
595900000,595900000,602700000,602600000,0,0.0,2025/11/18,1404/08/27
598600000,598600000,604600000,602600000,4700000,0.79,2025/11/17,1404/08/26
608600000,596200000,609600000,597900000,10700000,1.79,2025/11/16,1404/08/25
615600000,608400000,617700000,608600000,12000000,1.97,2025/11/15,1404/08/24
615600000,615600000,625600000,620600000,14700000,2.43,2025/11/13,1404/08/22
605600000,603500000,608600000,605900000,9700000,1.63,2025/11/12,1404/08/21
588600000,588600000,598600000,596200000,9600000,1.64,2025/11/11,1404/08/20
585600000,582000000,586600000,586600000,7000000,1.21,2025/11/10,1404/08/19
580600000,579600000,581700000,579600000,900000,0.16,2025/11/09,1404/08/18
579600000,579600000,583100000,580500000,1100000,0.19,2025/11/08,1404/08/17
580600000,580600000,583600000,581600000,1500000,0.26,2025/11/06,1404/08/15
585600000,580100000,585600000,580100000,2800000,0.48,2025/11/05,1404/08/14
582600000,580600000,585600000,582900000,2300000,0.4,2025/11/04,1404/08/13
588600000,580600000,588600000,580600000,4400000,0.76,2025/11/03,1404/08/12
588200000,584100000,588200000,585000000,2900000,0.5,2025/11/02,1404/08/11
580600000,577600000,585300000,582100000,5000000,0.87,2025/11/01,1404/08/10
580600000,577000000,580600000,577100000,700000,0.12,2025/10/30,1404/08/08
579900000,574500000,582200000,576400000,6700000,1.18,2025/10/29,1404/08/07
577600000,568900000,578600000,569700000,11800000,2.07,2025/10/28,1404/08/06
585600000,580700000,585600000,581500000,6100000,1.05,2025/10/27,1404/08/05
585600000,585600000,588600000,587600000,5000000,0.86,2025/10/26,1404/08/04
584600000,580600000,586600000,582600000,3000000,0.51,2025/10/25,1404/08/03
583600000,583600000,586600000,585600000,4000000,0.69,2025/10/23,1404/08/01
583600000,581600000,585600000,581600000,2000000,0.34,2025/10/22,1404/07/30
591600000,583600000,591600000,583600000,0,0.0,2025/10/21,1404/07/29
589600000,583600000,589600000,583600000,7000000,1.2,2025/10/20,1404/07/28
585600000,585600000,593600000,590600000,8000000,1.37,2025/10/19,1404/07/27
594600000,582600000,594600000,582600000,10000000,1.72,2025/10/18,1404/07/26
