بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
3790670,3790670,3790670,3790670,0,0.0,2017/07/05,1396/04/14
3790670,3790670,3790670,3790670,0,0.0,2017/07/07,1396/04/16
3790340,3780000,3790340,3780340,10330,0.0027,2017/07/08,1396/04/17
3780000,3771000,3780000,3771340,9000,0.0024,2017/07/09,1396/04/18
3773000,3758670,3773000,3758670,12670,0.0034000000000000002,2017/07/10,1396/04/19
3756000,3742000,3756000,3742070,16600,0.0044,2017/07/11,1396/04/20
3741577,3663999,3801442,3735725,1525,0.0004,2017/07/12,1396/04/21
3734000,3722760,3734000,3722760,12965,0.0034999999999999996,2017/07/15,1396/04/24
3724000,3713670,3724000,3713670,9090,0.0024,2017/07/16,1396/04/25
3710000,3692000,3710000,3692000,21670,0.0059,2017/07/17,1396/04/26
3691000,3663000,3691000,3663670,28330,0.0077,2017/07/18,1396/04/27
3664000,3663670,3664000,3663670,0,0.0,2017/07/19,1396/04/28
3658000,3649000,3658000,3650340,13330,0.0037,2017/07/22,1396/04/31
3652000,3646000,3652000,3646340,4000,0.0011,2017/07/23,1396/05/01
3648000,3648000,3654000,3654000,7660,0.0021,2017/07/24,1396/05/02
3655000,3654000,3668340,3668340,14340,0.0039000000000000003,2017/07/25,1396/05/03
3686054,3633712,3748465,3705116,9446,0.0026,2017/07/26,1396/05/04
3744000,3744000,3768000,3767670,62554,0.0169,2017/07/29,1396/05/07
3768000,3768000,3786000,3785340,17670,0.004699999999999999,2017/07/30,1396/05/08
3788000,3786000,3793000,3792000,6660,0.0018,2017/07/31,1396/05/09
3789000,3786000,3792340,3792340,340,0.0001,2017/08/01,1396/05/10
3791000,3746000,3844000,3779000,11000,0.0029,2017/08/02,1396/05/11
3789000,3778670,3789000,3778670,330,0.0001,2017/08/05,1396/05/14
3779000,3767000,3779000,3767670,11000,0.0029,2017/08/06,1396/05/15
3767000,3764000,3768000,3765340,2330,0.0006,2017/08/07,1396/05/16
3761000,3744670,3761000,3744670,20670,0.0055000000000000005,2017/08/08,1396/05/17
3760048,3681462,3812812,3770582,7242,0.0019,2017/08/09,1396/05/18
3778000,3772000,3778000,3772420,1838,0.0005,2017/08/12,1396/05/21
3771000,3755000,3771000,3755180,17240,0.0046,2017/08/13,1396/05/22
3753000,3730000,3753000,3730350,24830,0.0067,2017/08/14,1396/05/23
3730000,3718630,3731000,3718630,11720,0.0032,2017/08/15,1396/05/24
3716702,3639928,3794009,3705893,9627,0.0026,2017/08/16,1396/05/25
3704000,3690000,3704000,3691040,14853,0.004,2017/08/19,1396/05/28
3691000,3685000,3691000,3685180,5860,0.0016,2017/08/20,1396/05/29
3686000,3678970,3686000,3678970,6210,0.0017000000000000001,2017/08/21,1396/05/30
3679000,3676000,3680000,3679660,690,0.0002,2017/08/22,1396/05/31
3680005,3630324,3726134,3691435,10745,0.0029,2017/08/23,1396/06/01
3704000,3704000,3724490,3724490,33055,0.009000000000000001,2017/08/26,1396/06/04
3725000,3725000,3751000,3750690,26200,0.006999999999999999,2017/08/27,1396/06/05
3752000,3752000,3772420,3772420,21730,0.0058,2017/08/28,1396/06/06
3772000,3772000,3785000,3784830,12410,0.0033,2017/08/29,1396/06/07
3786300,3766611,3867808,3796808,12318,0.0033,2017/08/30,1396/06/08
3804000,3801000,3829000,3828280,31472,0.0083,2017/09/02,1396/06/11
3832000,3822000,3872420,3872420,44140,0.0115,2017/09/03,1396/06/12
3873000,3861000,3874000,3861380,11040,0.0029,2017/09/04,1396/06/13
3859000,3823000,3859000,3823450,37930,0.009899999999999999,2017/09/05,1396/06/14
3821444,3750782,3900930,3817590,0,0.0,2017/09/06,1396/06/15
3820000,3791000,3820000,3791040,26550,0.006999999999999999,2017/09/10,1396/06/19
3788000,3725000,3788000,3725180,65860,0.0177,2017/09/11,1396/06/20
3722000,3718630,3725000,3718630,6550,0.0018,2017/09/12,1396/06/21
3701376,3608131,3735798,3685151,9679,0.0026,2017/09/13,1396/06/22
3670000,3641000,3670000,3641380,43771,0.012,2017/09/16,1396/06/25
3641000,3625000,3641000,3627590,13790,0.0038,2017/09/17,1396/06/26
3626000,3621000,3626000,3621040,6550,0.0018,2017/09/18,1396/06/27
3613000,3610000,3613000,3612070,8970,0.0025,2017/09/19,1396/06/28
3601000,3569000,3632000,3588000,2000,0.0006,2017/09/20,1396/06/29
3581000,3580000,3588000,3587940,60,0.0,2017/09/23,1396/07/01
3588000,3588000,3598280,3598280,10340,0.0029,2017/09/24,1396/07/02
3603000,3603000,3696000,3694830,96550,0.0268,2017/09/25,1396/07/03
3695000,3676000,3708000,3676210,18620,0.0051,2017/09/26,1396/07/04
3683935,3612835,3724586,3685520,0,0.0,2017/09/27,1396/07/05
3689000,3688000,3692070,3692070,6550,0.0018,2017/10/02,1396/07/10
3693000,3693000,3707000,3706900,14830,0.004,2017/10/03,1396/07/11
3708451,3657645,3800332,3724356,8836,0.0024,2017/10/04,1396/07/12
3725870,3725870,3789660,3789660,65304,0.0175,2017/10/07,1396/07/15
3786900,3786900,3930000,3930000,140340,0.037000000000000005,2017/10/08,1396/07/16
