0,1,2,3,4,5,6,7
577300000,563100000,577300000,571300000,16500000,2.97,2026/02/10,1404/11/21
573100000,554800000,575600000,554800000,2300000,0.42,2026/02/09,1404/11/20
527900000,527900000,553700000,552500000,29500000,5.64,2026/02/08,1404/11/19
543000000,523000000,543000000,523000000,40000000,7.65,2026/02/07,1404/11/18
553000000,553000000,568500000,563000000,3600000,0.64,2026/02/05,1404/11/16
528000000,528000000,566600000,566600000,43700000,8.36,2026/02/03,1404/11/14
532700000,518200000,533100000,522900000,22900000,4.38,2026/02/02,1404/11/13
553000000,540300000,560900000,545800000,10100000,1.85,2026/02/01,1404/11/12
553000000,553000000,592100000,555900000,64500000,11.6,2026/01/31,1404/11/11
645600000,590300000,652900000,620400000,17400000,2.89,2026/01/29,1404/11/09
544600000,544600000,603000000,603000000,55700000,10.18,2026/01/28,1404/11/08
565600000,539600000,565600000,547300000,11700000,2.18,2026/01/27,1404/11/07
525600000,510600000,540600000,535600000,25000000,4.9,2026/01/26,1404/11/06
510600000,510600000,510600000,510600000,1700000,0.33,2026/01/24,1404/11/04
508900000,508900000,508900000,508900000,1900000,0.37,2026/01/10,1404/10/20
519400000,510800000,520000000,510800000,8600000,1.68,2026/01/08,1404/10/18
530600000,517300000,532000000,519400000,16500000,3.18,2026/01/07,1404/10/17
535600000,526200000,544000000,535900000,20100000,3.9,2026/01/06,1404/10/16
515600000,511100000,525000000,515800000,15200000,3.04,2026/01/05,1404/10/15
510600000,495200000,512100000,500600000,15700000,3.24,2026/01/04,1404/10/14
490600000,484900000,492300000,484900000,2800000,0.58,2026/01/01,1404/10/11
505600000,487700000,505600000,487700000,14400000,2.95,2025/12/31,1404/10/10
500600000,500600000,510600000,502100000,10000000,2.03,2025/12/30,1404/10/09
530600000,492100000,530600000,492100000,43200000,8.78,2025/12/29,1404/10/08
530600000,530600000,560200000,535300000,20900000,4.06,2025/12/28,1404/10/07
485600000,485600000,515100000,514400000,34100000,7.1,2025/12/27,1404/10/06
485600000,479300000,485600000,480300000,3200000,0.67,2025/12/25,1404/10/04
475600000,475600000,490600000,483500000,17500000,3.76,2025/12/24,1404/10/03
460500000,457900000,466500000,466000000,21200000,4.77,2025/12/23,1404/10/02
445600000,444800000,450500000,444800000,6500000,1.48,2025/12/22,1404/10/01
438600000,433100000,438600000,438300000,2200000,0.5,2025/12/21,1404/09/30
447500000,436100000,447500000,436100000,7700000,1.77,2025/12/20,1404/09/29
445600000,443800000,447400000,443800000,200000,0.05,2025/12/18,1404/09/27
435600000,435600000,443600000,443600000,8000000,1.84,2025/12/17,1404/09/26
440600000,429900000,440600000,435600000,2700000,0.62,2025/12/16,1404/09/25
440600000,438300000,448400000,438300000,1600000,0.37,2025/12/15,1404/09/24
429400000,427900000,436700000,436700000,7400000,1.72,2025/12/14,1404/09/23
425600000,425600000,432600000,429300000,11700000,2.8,2025/12/13,1404/09/22
410600000,409700000,417600000,417600000,11300000,2.78,2025/12/11,1404/09/20
404600000,399700000,406300000,406300000,2500000,0.62,2025/12/10,1404/09/19
408600000,401800000,412600000,403800000,200000,0.05,2025/12/09,1404/09/18
405600000,400000000,407600000,404000000,7000000,1.76,2025/12/08,1404/09/17
395600000,391700000,398200000,397000000,6700000,1.72,2025/12/07,1404/09/16
380600000,380600000,392600000,390300000,13600000,3.61,2025/12/06,1404/09/15
377600000,375800000,377600000,376700000,1900000,0.5,2025/12/04,1404/09/13
369400000,369400000,378600000,378600000,7700000,2.08,2025/12/03,1404/09/12
375600000,364100000,375600000,370900000,3300000,0.89,2025/12/02,1404/09/11
372600000,372600000,378600000,374200000,7900000,2.16,2025/12/01,1404/09/10
370600000,362800000,372600000,366300000,2200000,0.6,2025/11/30,1404/09/09
360600000,357300000,368500000,368500000,15300000,4.33,2025/11/29,1404/09/08
357600000,353200000,357600000,353200000,2400000,0.68,2025/11/27,1404/09/06
355600000,352700000,357500000,355600000,1500000,0.42,2025/11/26,1404/09/05
350600000,348300000,355300000,354100000,4500000,1.29,2025/11/25,1404/09/04
345600000,345600000,349600000,349600000,6400000,1.86,2025/11/23,1404/09/02
350600000,342600000,350600000,343200000,5600000,1.63,2025/11/22,1404/09/01
350600000,348800000,353600000,348800000,1200000,0.34,2025/11/20,1404/08/29
344700000,344700000,352900000,350000000,5400000,1.57,2025/11/19,1404/08/28
340700000,340700000,346600000,344600000,1900000,0.55,2025/11/18,1404/08/27
343600000,340100000,343600000,342700000,3300000,0.97,2025/11/17,1404/08/26
352600000,337700000,352600000,339400000,14400000,4.24,2025/11/16,1404/08/25
360600000,351100000,364100000,353800000,11700000,3.31,2025/11/15,1404/08/24
365600000,359800000,368600000,365500000,14300000,4.07,2025/11/13,1404/08/22
352600000,351200000,356500000,351200000,6800000,1.97,2025/11/12,1404/08/21
338600000,338600000,346300000,344400000,7800000,2.32,2025/11/11,1404/08/20
335600000,334700000,338200000,336600000,2100000,0.63,2025/11/10,1404/08/19
333600000,333600000,335400000,334500000,1900000,0.57,2025/11/09,1404/08/18
335600000,332600000,337400000,332600000,4000000,1.2,2025/11/08,1404/08/17
335600000,335600000,336600000,336600000,3000000,0.9,2025/11/06,1404/08/15
338600000,333100000,338600000,333600000,1500000,0.45,2025/11/05,1404/08/14
335600000,332700000,338600000,335100000,500000,0.15,2025/11/04,1404/08/13
339600000,334000000,339600000,335600000,400000,0.12,2025/11/03,1404/08/12
339700000,336000000,339700000,336000000,2500000,0.74,2025/11/02,1404/08/11
334600000,334600000,338500000,338500000,4700000,1.41,2025/11/01,1404/08/10
334500000,333800000,334600000,333800000,600000,0.18,2025/10/30,1404/08/08
332500000,332500000,334400000,334400000,5800000,1.77,2025/10/29,1404/08/07
332500000,327700000,332500000,328600000,3100000,0.94,2025/10/28,1404/08/06
334600000,330600000,335600000,331700000,3900000,1.18,2025/10/27,1404/08/05
337600000,334600000,337600000,335600000,1000000,0.3,2025/10/26,1404/08/04
335600000,334600000,338600000,336600000,0,0.0,2025/10/25,1404/08/03
337600000,336600000,337600000,336600000,2000000,0.6,2025/10/23,1404/08/01
334600000,332600000,334600000,334600000,0,0.0,2025/10/22,1404/07/30
338600000,334600000,340600000,334600000,4000000,1.2,2025/10/21,1404/07/29
334600000,332600000,338600000,338600000,1000000,0.3,2025/10/20,1404/07/28
328600000,328600000,337600000,337600000,14000000,4.33,2025/10/19,1404/07/27
335600000,323600000,335600000,323600000,13000000,4.02,2025/10/18,1404/07/26
335600000,335600000,338600000,336600000,7000000,2.12,2025/10/16,1404/07/24
322600000,322600000,330600000,329600000,7000000,2.17,2025/10/15,1404/07/23
331600000,322600000,331600000,322600000,10000000,3.1,2025/10/14,1404/07/22
337600000,331600000,340600000,332600000,1000000,0.3,2025/10/13,1404/07/21
334600000,330600000,337600000,333600000,1000000,0.3,2025/10/12,1404/07/20
345600000,334600000,349600000,334600000,14000000,4.18,2025/10/11,1404/07/19
350600000,345600000,350600000,348600000,9000000,2.58,2025/10/09,1404/07/17
355600000,351600000,357600000,357600000,18000000,5.3,2025/10/08,1404/07/16
331600000,331600000,339600000,339600000,8000000,2.41,2025/10/07,1404/07/15
335600000,331600000,335600000,331600000,1000000,0.3,2025/10/06,1404/07/14
341600000,332600000,342600000,332600000,12000000,3.61,2025/10/05,1404/07/13
355600000,343600000,356600000,344600000,14000000,4.06,2025/10/04,1404/07/12
360600000,358600000,365600000,358600000,9000000,2.57,2025/10/02,1404/07/10
347600000,347600000,355600000,349600000,3000000,0.87,2025/10/01,1404/07/09
