بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
11826340,11826340,11826340,11826340,0,0.0,2017/07/05,1396/04/14
11826340,11826340,11826340,11826340,0,0.0,2017/07/07,1396/04/16
11826020,11817000,11826140,11818940,7400,0.0006,2017/07/08,1396/04/17
11819000,11818000,11830000,11829000,10060,0.0009,2017/07/09,1396/04/18
11831000,11827000,11836330,11836010,7010,0.0006,2017/07/10,1396/04/19
11843000,11842000,11850000,11847670,11660,0.001,2017/07/11,1396/04/20
11842223,11655848,12039988,11832147,1107,0.0001,2017/07/12,1396/04/21
11838000,11834000,11841000,11834230,2083,0.0002,2017/07/15,1396/04/24
11834000,11826000,11835000,11830290,3940,0.0003,2017/07/16,1396/04/25
11831000,11819000,11831000,11822490,7800,0.0007000000000000001,2017/07/17,1396/04/26
11821000,11799000,11821000,11801310,21180,0.0018,2017/07/18,1396/04/27
11800000,11799000,11804000,11803230,1920,0.0002,2017/07/19,1396/04/28
11802000,11782660,11802000,11782660,20570,0.0017000000000000001,2017/07/22,1396/04/31
11781000,11772000,11783000,11772820,9840,0.0008,2017/07/23,1396/05/01
11774000,11774000,11782000,11779070,6250,0.0005,2017/07/24,1396/05/02
11778000,11776000,11790000,11788200,9130,0.0008,2017/07/25,1396/05/03
11802630,11696400,12071540,11834850,26750,0.0023,2017/07/26,1396/05/04
11848000,11848000,11868000,11865030,30180,0.0026,2017/07/29,1396/05/07
11862000,11861000,11868000,11867040,2010,0.0002,2017/07/30,1396/05/08
11867000,11866000,11896000,11894980,27940,0.0024,2017/07/31,1396/05/09
11896000,11895000,11901000,11898430,3450,0.0003,2017/08/01,1396/05/10
11894560,11739880,11973060,11894510,2990,0.0003,2017/08/02,1396/05/11
11895000,11883000,11895000,11883220,11290,0.001,2017/08/05,1396/05/14
11881000,11874000,11881000,11879040,4180,0.0004,2017/08/06,1396/05/15
11879000,11878000,11888000,11884720,5680,0.0005,2017/08/07,1396/05/16
11889000,11889000,11903000,11901600,16880,0.0014000000000000002,2017/08/08,1396/05/17
11910374,11791270,12143608,11930060,17410,0.0015,2017/08/09,1396/05/18
11952000,11945000,11957000,11952210,22150,0.0019,2017/08/12,1396/05/21
11950000,11929000,11951000,11932070,20140,0.0017000000000000001,2017/08/13,1396/05/22
11928000,11907000,11928000,11910110,21960,0.0018,2017/08/14,1396/05/23
11910000,11895000,11910000,11896540,13570,0.0011,2017/08/15,1396/05/24
11898830,11824844,12086831,11896222,6898,0.0006,2017/08/16,1396/05/25
11891000,11882000,11891000,11882280,13942,0.0012,2017/08/19,1396/05/28
11883000,11876000,11883000,11879360,2920,0.0002,2017/08/20,1396/05/29
11880000,11878000,11884000,11881900,2540,0.0002,2017/08/21,1396/05/30
11881000,11881000,11886000,11884410,2510,0.0002,2017/08/22,1396/05/31
11886744,11725084,12139363,11896671,11341,0.001,2017/08/23,1396/06/01
11909000,11909000,11948000,11945820,49149,0.0040999999999999995,2017/08/26,1396/06/04
11948000,11948000,11976230,11976230,30410,0.0025,2017/08/27,1396/06/05
11984000,11977000,12030000,12020360,44130,0.0037,2017/08/28,1396/06/06
12024000,12022000,12031000,12029900,9540,0.0008,2017/08/29,1396/06/07
