0,1,2,3,4,5,6,7
1920900000,1920800000,1977900000,1961800000,41000000,2.13,2026/02/10,1404/11/21
1869800000,1869800000,1956400000,1920800000,50900000,2.72,2026/02/09,1404/11/20
1801600000,1795700000,1871500000,1869900000,68100000,3.78,2026/02/08,1404/11/19
1846100000,1801500000,1847400000,1801800000,110200000,6.12,2026/02/07,1404/11/18
1890700000,1890700000,1930000000,1912000000,21400000,1.13,2026/02/05,1404/11/16
1763300000,1763300000,1898300000,1890600000,127100000,7.21,2026/02/03,1404/11/14
1872400000,1753400000,1872400000,1763500000,109100000,6.19,2026/02/02,1404/11/13
1958800000,1846500000,1958800000,1872600000,86000000,4.59,2026/02/01,1404/11/12
2024700000,1835700000,2024700000,1958600000,66200000,3.38,2026/01/31,1404/11/11
1995800000,1935400000,2186100000,2024800000,28600000,1.43,2026/01/29,1404/11/09
1786200000,1786200000,1996200000,1996200000,209900000,11.75,2026/01/28,1404/11/08
1756300000,1720700000,1796700000,1786300000,29900000,1.7,2026/01/27,1404/11/07
1610200000,1610100000,1756700000,1756400000,146100000,9.07,2026/01/26,1404/11/06
1610200000,1610100000,1610500000,1610300000,100000,0.01,2026/01/25,1404/11/05
1580500000,1580500000,1610500000,1610400000,29800000,1.89,2026/01/24,1404/11/04
1580600000,1580500000,1580900000,1580600000,200000,0.01,2026/01/22,1404/11/02
1580800000,1580500000,1580900000,1580800000,200000,0.01,2026/01/21,1404/11/01
1580800000,1580500000,1580900000,1580600000,300000,0.02,2026/01/20,1404/10/30
1580800000,1580500000,1580900000,1580900000,0,0.0,2026/01/19,1404/10/29
1580800000,1580500000,1580900000,1580900000,0,0.0,2026/01/18,1404/10/28
1580800000,1580500000,1580900000,1580900000,300000,0.02,2026/01/17,1404/10/27
1580800000,1580500000,1580900000,1580600000,300000,0.02,2026/01/15,1404/10/25
1580600000,1580500000,1580900000,1580900000,0,0.0,2026/01/14,1404/10/24
1580600000,1580500000,1580900000,1580900000,100000,0.01,2026/01/13,1404/10/23
1580900000,1580500000,1580900000,1580800000,100000,0.01,2026/01/12,1404/10/22
1580800000,1580500000,1580900000,1580700000,200000,0.01,2026/01/11,1404/10/21
1586000000,1580500000,1586000000,1580900000,5000000,0.32,2026/01/10,1404/10/20
1596600000,1585900000,1603100000,1585900000,11000000,0.69,2026/01/08,1404/10/18
1608900000,1590400000,1693700000,1596900000,12300000,0.77,2026/01/07,1404/10/17
1529500000,1529500000,1622800000,1609200000,80000000,5.23,2026/01/06,1404/10/16
1492500000,1492500000,1529600000,1529200000,69500000,4.76,2026/01/05,1404/10/15
1452800000,1443400000,1461100000,1459700000,41000000,2.89,2026/01/04,1404/10/14
1405800000,1405700000,1429200000,1418700000,8100000,0.57,2026/01/01,1404/10/11
1482300000,1425400000,1482600000,1426800000,55800000,3.91,2025/12/31,1404/10/10
1443600000,1443600000,1483600000,1482600000,39200000,2.72,2025/12/30,1404/10/09
1542500000,1443300000,1542500000,1443400000,132400000,9.17,2025/12/29,1404/10/08
