بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
12131800,12131800,12131800,12131800,0,0.0,2017/07/05,1396/04/14
12131800,12131800,12131800,12131800,0,0.0,2017/07/07,1396/04/16
12126390,12115000,12126390,12123580,8220,0.0007000000000000001,2017/07/08,1396/04/17
12124000,12124000,12144000,12143310,19730,0.0016,2017/07/09,1396/04/18
12148000,12146000,12155000,12153790,10480,0.0009,2017/07/10,1396/04/19
12161000,12160000,12166000,12161390,7600,0.0006,2017/07/11,1396/04/20
12152993,11955621,12320704,12135223,857,0.0001,2017/07/12,1396/04/21
12137000,12130000,12142000,12130350,4873,0.0004,2017/07/15,1396/04/24
12133000,12128000,12138000,12128530,1820,0.0002,2017/07/16,1396/04/25
12128000,12115000,12129000,12122290,6240,0.0005,2017/07/17,1396/04/26
12124000,12107000,12124000,12109350,12940,0.0011,2017/07/18,1396/04/27
12108000,12108000,12112120,12111890,2540,0.0002,2017/07/19,1396/04/28
12110000,12084000,12110000,12086430,25460,0.0021,2017/07/22,1396/04/31
12088000,12075930,12088000,12076230,10200,0.0008,2017/07/23,1396/05/01
12081000,12080000,12093000,12091230,15000,0.0012,2017/07/24,1396/05/02
12090000,12089000,12123000,12122530,31300,0.0026,2017/07/25,1396/05/03
12145704,12006028,12276545,12185157,29707,0.0024,2017/07/26,1396/05/04
12207000,12207000,12228000,12221660,36503,0.003,2017/07/29,1396/05/07
12220000,12199000,12220000,12202600,19060,0.0016,2017/07/30,1396/05/08
12207000,12206000,12217000,12212950,10350,0.0008,2017/07/31,1396/05/09
12210000,12208000,12220000,12219710,6760,0.0006,2017/08/01,1396/05/10
12216039,12019360,12475045,12218458,512,0.0,2017/08/02,1396/05/11
12215000,12193540,12215000,12193540,24918,0.002,2017/08/05,1396/05/14
12190000,12175000,12190000,12187870,5670,0.0005,2017/08/06,1396/05/15
12191000,12191000,12211000,12210080,22210,0.0018,2017/08/07,1396/05/16
12213000,12213000,12235000,12227580,17500,0.0014000000000000002,2017/08/08,1396/05/17
12230057,12008692,12451896,12267878,26118,0.0021,2017/08/09,1396/05/18
12276000,12260580,12276000,12260580,7298,0.0006,2017/08/12,1396/05/21
12257000,12220000,12258000,12221510,39070,0.0032,2017/08/13,1396/05/22
12217000,12188000,12217000,12189260,32250,0.0026,2017/08/14,1396/05/23
12190000,12180000,12191000,12181610,7650,0.0006,2017/08/15,1396/05/24
12184774,12008335,12427251,12182546,7384,0.0006,2017/08/16,1396/05/25
12172000,12152000,12172000,12152710,29836,0.0025,2017/08/19,1396/05/28
12152000,12142000,12157000,12156260,3550,0.0003,2017/08/20,1396/05/29
12158000,12158000,12170000,12167240,10980,0.0009,2017/08/21,1396/05/30
12167000,12166000,12171000,12168190,950,0.0001,2017/08/22,1396/05/31
12166148,12009204,12376025,12173938,9508,0.0008,2017/08/23,1396/06/01
12187000,12187000,12217000,12216210,42272,0.0034999999999999996,2017/08/26,1396/06/04
12218000,12218000,12243430,12243430,27220,0.0022,2017/08/27,1396/06/05
12254000,12246000,12280000,12274290,30860,0.0025,2017/08/28,1396/06/06
12271000,12247000,12280000,12248750,25540,0.0021,2017/08/29,1396/06/07
12247761,12181623,12413758,12279908,36188,0.003,2017/08/30,1396/06/08
12379000,12379000,12491000,12490510,210602,0.0172,2017/09/02,1396/06/11
12508000,12508000,12629000,12627760,137250,0.011000000000000001,2017/09/03,1396/06/12
12616000,12547000,12616000,12577650,50110,0.004,2017/09/04,1396/06/13
12580000,12578000,12760000,12712100,134450,0.010700000000000001,2017/09/05,1396/06/14
12732876,12488404,12902359,12745589,659,0.0001,2017/09/06,1396/06/15
12775000,12754000,12787000,12754740,9151,0.0007000000000000001,2017/09/10,1396/06/19
12752000,12639000,12753000,12639870,114870,0.0091,2017/09/11,1396/06/20
12663000,12663000,12737000,12719460,79590,0.0063,2017/09/12,1396/06/21
12624192,12325803,12740334,12567092,41448,0.0033,2017/09/13,1396/06/22
12549000,12511000,12549000,12511170,55922,0.0045000000000000005,2017/09/16,1396/06/25
12509000,12471000,12509000,12471120,40050,0.0032,2017/09/17,1396/06/26
12473000,12473000,12483000,12479780,8660,0.0007000000000000001,2017/09/18,1396/06/27
12474000,12474000,12486000,12484490,4710,0.0004,2017/09/19,1396/06/28
