0,1,2,3,4,5,6,7
1974800000,1974800000,2035200000,2010100000,35200000,1.78,2026/02/10,1404/11/21
1920000000,1920000000,2020100000,1974900000,54800000,2.85,2026/02/09,1404/11/20
1859800000,1859800000,1920100000,1920100000,60000000,3.23,2026/02/08,1404/11/19
1900100000,1859800000,1910100000,1860100000,120000000,6.45,2026/02/07,1404/11/18
1980000000,1959800000,1990100000,1980100000,30200000,1.55,2026/02/05,1404/11/16
1819900000,1819900000,1950100000,1949900000,130100000,7.15,2026/02/03,1404/11/14
1830000000,1809800000,1880100000,1819800000,90300000,4.96,2026/02/02,1404/11/13
2050000000,1909800000,2050000000,1910100000,139700000,7.31,2026/02/01,1404/11/12
2110000000,1939800000,2110000000,2049800000,60300000,2.94,2026/01/31,1404/11/11
2259900000,2009800000,2260100000,2110100000,70100000,3.44,2026/01/29,1404/11/09
1866600000,1866300000,2060100000,2040000000,173700000,9.31,2026/01/28,1404/11/08
1736300000,1736300000,1866600000,1866300000,129700000,7.47,2026/01/27,1404/11/07
1656400000,1656300000,1736600000,1736600000,80000000,4.83,2026/01/26,1404/11/06
1651400000,1636300000,1656600000,1656600000,5000000,0.3,2026/01/25,1404/11/05
1651600000,1651300000,1651600000,1651600000,200000,0.01,2026/01/24,1404/11/04
1651500000,1651300000,1651600000,1651400000,0,0.0,2026/01/22,1404/11/02
1651600000,1651300000,1651600000,1651400000,0,0.0,2026/01/21,1404/11/01
1651600000,1651300000,1651600000,1651400000,0,0.0,2026/01/20,1404/10/30
1651400000,1651300000,1651600000,1651400000,200000,0.01,2026/01/19,1404/10/29
1651300000,1651300000,1651600000,1651600000,0,0.0,2026/01/18,1404/10/28
1651600000,1651300000,1651600000,1651600000,100000,0.01,2026/01/17,1404/10/27
1651400000,1651300000,1651600000,1651500000,100000,0.01,2026/01/15,1404/10/25
1651300000,1651300000,1651600000,1651600000,0,0.0,2026/01/14,1404/10/24
1651600000,1651300000,1651600000,1651600000,300000,0.02,2026/01/13,1404/10/23
1651500000,1651300000,1651600000,1651300000,0,0.0,2026/01/12,1404/10/22
1651600000,1651300000,1651600000,1651300000,200000,0.01,2026/01/11,1404/10/21
1651600000,1651300000,1651600000,1651500000,200000,0.01,2026/01/10,1404/10/20
1666600000,1651300000,1666600000,1651300000,15000000,0.91,2026/01/08,1404/10/18
1661500000,1656300000,1666600000,1666300000,4700000,0.28,2026/01/07,1404/10/17
1676400000,1651300000,1701600000,1661600000,60000000,3.75,2026/01/06,1404/10/16
1536300000,1536300000,1601600000,1601600000,65000000,4.23,2026/01/05,1404/10/15
1481400000,1481400000,1551600000,1536600000,55100000,3.72,2026/01/04,1404/10/14
1491400000,1481300000,1496600000,1481500000,10100000,0.68,2026/01/01,1404/10/11
1556300000,1491300000,1556300000,1491600000,65000000,4.36,2025/12/31,1404/10/10
1536600000,1536300000,1556600000,1556600000,55000000,3.66,2025/12/30,1404/10/09
1621400000,1501300000,1621600000,1501600000,150000000,9.99,2025/12/29,1404/10/08
1589600000,1589600000,1696600000,1651600000,62300000,3.92,2025/12/28,1404/10/07
1511400000,1511400000,1589600000,1589300000,77700000,5.14,2025/12/27,1404/10/06
1521400000,1496300000,1521600000,1511600000,19800000,1.31,2025/12/25,1404/10/04
1480300000,1480300000,1533600000,1531400000,51000000,3.45,2025/12/24,1404/10/03
1443600000,1443600000,1480600000,1480400000,37100000,2.57,2025/12/23,1404/10/02
1421400000,1421400000,1443600000,1443300000,22000000,1.55,2025/12/22,1404/10/01
1424500000,1399300000,1424500000,1421300000,3300000,0.23,2025/12/21,1404/09/30
1441600000,1424300000,1446600000,1424600000,16800000,1.18,2025/12/20,1404/09/29
1439500000,1439500000,1448600000,1441400000,1800000,0.13,2025/12/18,1404/09/27
1401600000,1401600000,1439600000,1439600000,38200000,2.73,2025/12/17,1404/09/26
1419500000,1391300000,1419500000,1401400000,18000000,1.28,2025/12/16,1404/09/25
1426400000,1416300000,1446600000,1419400000,8000000,0.57,2025/12/15,1404/09/24
1396600000,1381300000,1411600000,1411400000,15100000,1.08,2025/12/14,1404/09/23
1366500000,1366300000,1396600000,1396300000,46700000,3.46,2025/12/13,1404/09/22
1331600000,1331300000,1349600000,1349600000,23000000,1.73,2025/12/11,1404/09/20
1319500000,1313300000,1326600000,1326600000,7000000,0.53,2025/12/10,1404/09/19
1331400000,1319300000,1346600000,1319600000,12000000,0.91,2025/12/09,1404/09/18
1331600000,1329300000,1341600000,1331600000,10000000,0.76,2025/12/08,1404/09/17
1304300000,1304300000,1326600000,1321600000,17200000,1.32,2025/12/07,1404/09/16
1274500000,1274500000,1304600000,1304400000,30000000,2.35,2025/12/06,1404/09/15
1281400000,1274300000,1281400000,1274400000,6900000,0.54,2025/12/04,1404/09/13
1258600000,1258600000,1281600000,1281300000,22800000,1.81,2025/12/03,1404/09/12
1263600000,1236300000,1263600000,1258500000,12100000,0.96,2025/12/02,1404/09/11
1244300000,1244300000,1271600000,1270600000,26000000,2.09,2025/12/01,1404/09/10
1229600000,1229600000,1244600000,1244600000,15100000,1.23,2025/11/30,1404/09/09
1201400000,1201300000,1229600000,1229500000,37900000,3.18,2025/11/29,1404/09/08
1193500000,1189300000,1194600000,1191600000,2000000,0.17,2025/11/27,1404/09/06
1176600000,1176600000,1193600000,1193600000,17200000,1.46,2025/11/26,1404/09/05
1186400000,1174300000,1186600000,1176400000,3200000,0.27,2025/11/25,1404/09/04
1166400000,1166300000,1179600000,1179600000,16000000,1.38,2025/11/23,1404/09/02
1174600000,1160300000,1174600000,1163600000,13000000,1.12,2025/11/22,1404/09/01
1176300000,1176300000,1186600000,1176600000,100000,0.01,2025/11/20,1404/08/29
1164600000,1159300000,1179600000,1176500000,12000000,1.03,2025/11/19,1404/08/28
1162300000,1151300000,1164600000,1164500000,2000000,0.17,2025/11/18,1404/08/27
1153400000,1153400000,1162600000,1162500000,9000000,0.78,2025/11/17,1404/08/26
1168600000,1153300000,1168600000,1153500000,15000000,1.3,2025/11/16,1404/08/25
1196600000,1168300000,1196600000,1168500000,27900000,2.39,2025/11/15,1404/08/24
1176400000,1176400000,1201600000,1196400000,19800000,1.68,2025/11/13,1404/08/22
1174400000,1174300000,1179600000,1176600000,22300000,1.93,2025/11/12,1404/08/21
1121500000,1121500000,1154600000,1154300000,33000000,2.94,2025/11/11,1404/08/20
1113600000,1113600000,1121600000,1121300000,7900000,0.71,2025/11/10,1404/08/19
1107600000,1107600000,1114600000,1113400000,6100000,0.55,2025/11/09,1404/08/18
1113600000,1107300000,1113600000,1107300000,8300000,0.75,2025/11/08,1404/08/17
1111500000,1111500000,1117600000,1115600000,4200000,0.38,2025/11/06,1404/08/15
1113500000,1111300000,1114600000,1111400000,2200000,0.2,2025/11/05,1404/08/14
1110600000,1109300000,1119600000,1113600000,3200000,0.29,2025/11/04,1404/08/13
1119300000,1110300000,1119600000,1110400000,6100000,0.55,2025/11/03,1404/08/12
1116300000,1116300000,1123600000,1116500000,100000,0.01,2025/11/02,1404/08/11
1111600000,1109300000,1118600000,1116600000,2300000,0.21,2025/11/01,1404/08/10
1111600000,1111300000,1114600000,1114300000,5700000,0.51,2025/10/30,1404/08/08
1098400000,1098400000,1116600000,1108600000,10000000,0.91,2025/10/29,1404/08/07
