بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
3550000,3550000,3550000,3550000,100000,0.0282,2013/07/22,1392/04/31
3650000,3650000,3650000,3650000,100000,0.0282,2013/07/23,1392/05/01
3710000,3670000,3760000,3720000,20000,0.0054,2013/07/24,1392/05/02
3800000,3800000,3800000,3800000,80000,0.0215,2013/07/27,1392/05/05
3750000,3677000,3812000,3750000,0,0.0,2013/07/28,1392/05/06
3751000,3729000,3791000,3758000,8000,0.0021,2013/07/31,1392/05/09
3850000,3850000,3850000,3850000,92000,0.0245,2013/08/03,1392/05/12
3800000,3800000,3800000,3800000,50000,0.0132,2013/08/04,1392/05/13
3750000,3750000,3750000,3750000,50000,0.013300000000000001,2013/08/05,1392/05/14
3750000,3750000,3750000,3750000,0,0.0,2013/08/06,1392/05/15
3750000,3707000,3793000,3750000,0,0.0,2013/08/07,1392/05/16
3750000,3750000,3750000,3750000,0,0.0,2013/08/11,1392/05/20
3700000,3700000,3700000,3700000,50000,0.013500000000000002,2013/08/12,1392/05/21
3650000,3650000,3650000,3650000,50000,0.0137,2013/08/13,1392/05/22
3600000,3530000,3640000,3620000,20000,0.005600000000000001,2013/08/14,1392/05/23
3600000,3600000,3600000,3600000,20000,0.005600000000000001,2013/08/17,1392/05/26
3550000,3550000,3550000,3550000,50000,0.0141,2013/08/18,1392/05/27
3550000,3250000,3550000,3250000,300000,0.09230000000000001,2013/08/19,1392/05/28
3300000,3200000,3300000,3200000,50000,0.015600000000000001,2013/08/20,1392/05/29
3290000,3250000,3350000,3320000,20000,0.0060999999999999995,2013/08/21,1392/05/30
3300000,3300000,3300000,3300000,20000,0.0060999999999999995,2013/08/24,1392/06/02
3300000,3250000,3350000,3300000,0,0.0,2013/08/25,1392/06/03
3300000,3300000,3400000,3400000,100000,0.030299999999999997,2013/08/26,1392/06/04
3600000,3600000,3650000,3650000,250000,0.0735,2013/08/27,1392/06/05
3522000,3476000,3640000,3568000,18000,0.0051,2013/08/28,1392/06/06
3500000,3500000,3550000,3550000,18000,0.0051,2013/08/31,1392/06/09
3550000,3550000,3550000,3550000,0,0.0,2013/09/01,1392/06/10
3650000,3650000,3700000,3700000,150000,0.042300000000000004,2013/09/03,1392/06/12
3700000,3650000,3700000,3650000,50000,0.0137,2013/09/04,1392/06/13
3650000,3650000,3650000,3650000,0,0.0,2013/09/05,1392/06/14
3450000,3450000,3500000,3500000,150000,0.0429,2013/09/07,1392/06/16
3450000,3450000,3500000,3450000,50000,0.014499999999999999,2013/09/08,1392/06/17
3400000,3250000,3400000,3250000,200000,0.061500000000000006,2013/09/09,1392/06/18
3200000,3200000,3300000,3300000,50000,0.0154,2013/09/10,1392/06/19
3250000,3200000,3250000,3250000,50000,0.0154,2013/09/11,1392/06/20
3250000,3250000,3250000,3250000,0,0.0,2013/09/12,1392/06/21
3200000,3200000,3250000,3250000,0,0.0,2013/09/14,1392/06/23
3150000,3100000,3150000,3100000,150000,0.0484,2013/09/15,1392/06/24
3100000,3100000,3100000,3100000,0,0.0,2013/09/16,1392/06/25
3150000,3100000,3150000,3100000,0,0.0,2013/09/17,1392/06/26
3160000,2960000,3220000,3000000,200000,0.0667,2013/09/18,1392/06/27
3000000,3000000,3050000,3000000,0,0.0,2013/09/21,1392/06/30
3000000,3000000,3000000,3000000,0,0.0,2013/09/22,1392/06/31
2950000,2950000,3000000,2950000,50000,0.0169,2013/09/23,1392/07/01
3200000,3200000,3200000,3200000,250000,0.08470000000000001,2013/09/24,1392/07/02
3150000,3100000,3150000,3100000,100000,0.0323,2013/09/25,1392/07/03
3100000,3100000,3100000,3100000,0,0.0,2013/09/26,1392/07/04
3150000,3050000,3150000,3050000,50000,0.016399999999999998,2013/09/28,1392/07/06
3100000,3050000,3100000,3050000,0,0.0,2013/09/29,1392/07/07
3050000,3050000,3100000,3050000,0,0.0,2013/09/30,1392/07/08
3050000,3050000,3050000,3050000,0,0.0,2013/10/01,1392/07/09
3100000,3031000,3138000,3055000,5000,0.0016,2013/10/02,1392/07/10
3100000,3100000,3100000,3100000,45000,0.0147,2013/10/05,1392/07/13
3100000,3050000,3100000,3100000,0,0.0,2013/10/06,1392/07/14
3100000,3100000,3100000,3100000,0,0.0,2013/10/07,1392/07/15
3050000,3050000,3050000,3050000,50000,0.016399999999999998,2013/10/08,1392/07/16
3000000,2800000,3000000,2900000,100000,0.0345,2013/10/09,1392/07/17
2950000,2950000,2950000,2950000,50000,0.0172,2013/10/12,1392/07/20
2950000,2900000,2950000,2950000,0,0.0,2013/10/13,1392/07/21
3000000,3000000,3000000,3000000,50000,0.0169,2013/10/14,1392/07/22
3000000,3000000,3000000,3000000,0,0.0,2013/10/15,1392/07/23
3100000,3100000,3100000,3100000,100000,0.0333,2013/10/17,1392/07/25
3100000,3050000,3100000,3100000,0,0.0,2013/10/19,1392/07/27
3050000,2995000,3070000,3012000,38000,0.0126,2013/10/20,1392/07/28
3050000,2980000,3076000,3012000,0,0.0,2013/10/21,1392/07/29
3050000,2960000,3093000,3012000,0,0.0,2013/10/22,1392/07/30
3000000,2950000,3000000,2950000,62000,0.021,2013/10/26,1392/08/04
2950000,2950000,2950000,2950000,0,0.0,2013/10/27,1392/08/05
2950000,2950000,2950000,2950000,0,0.0,2013/10/28,1392/08/06
2950000,2950000,2950000,2950000,0,0.0,2013/10/29,1392/08/07
