0,1,2,3,4,5,6,7
574300000,560100000,574300000,568300000,16500000,2.99,2026/02/10,1404/11/21
570100000,551800000,572600000,551800000,2300000,0.42,2026/02/09,1404/11/20
524900000,524900000,550700000,549500000,29500000,5.67,2026/02/08,1404/11/19
540000000,520000000,540000000,520000000,40000000,7.69,2026/02/07,1404/11/18
550000000,550000000,565500000,560000000,3600000,0.64,2026/02/05,1404/11/16
525000000,525000000,563600000,563600000,43700000,8.41,2026/02/03,1404/11/14
529700000,515200000,530100000,519900000,22900000,4.4,2026/02/02,1404/11/13
550000000,537300000,557900000,542800000,10100000,1.86,2026/02/01,1404/11/12
550000000,550000000,589100000,552900000,64500000,11.67,2026/01/31,1404/11/11
642600000,587300000,649900000,617400000,17400000,2.9,2026/01/29,1404/11/09
544000000,544000000,600000000,600000000,53300000,9.75,2026/01/28,1404/11/08
565000000,539000000,565000000,546700000,11700000,2.19,2026/01/27,1404/11/07
510000000,510000000,540000000,535000000,25000000,4.9,2026/01/26,1404/11/06
510000000,510000000,510000000,510000000,1700000,0.33,2026/01/24,1404/11/04
508300000,508300000,508300000,508300000,1900000,0.37,2026/01/10,1404/10/20
518800000,510200000,519400000,510200000,8600000,1.69,2026/01/08,1404/10/18
530000000,516700000,531400000,518800000,16500000,3.18,2026/01/07,1404/10/17
535000000,525600000,543400000,535300000,20100000,3.9,2026/01/06,1404/10/16
515000000,510500000,524400000,515200000,15200000,3.04,2026/01/05,1404/10/15
510000000,494600000,511500000,500000000,15700000,3.24,2026/01/04,1404/10/14
490000000,484300000,491700000,484300000,2800000,0.58,2026/01/01,1404/10/11
501500000,487100000,505000000,487100000,14400000,2.96,2025/12/31,1404/10/10
500000000,500000000,510000000,501500000,10000000,2.03,2025/12/30,1404/10/09
530000000,491500000,530000000,491500000,43200000,8.79,2025/12/29,1404/10/08
530000000,530000000,559600000,534700000,20900000,4.07,2025/12/28,1404/10/07
485000000,485000000,514500000,513800000,34100000,7.11,2025/12/27,1404/10/06
485000000,478700000,485000000,479700000,3200000,0.67,2025/12/25,1404/10/04
475000000,475000000,490000000,482900000,17500000,3.76,2025/12/24,1404/10/03
459900000,457300000,465900000,465400000,21200000,4.77,2025/12/23,1404/10/02
445000000,444200000,449900000,444200000,6500000,1.49,2025/12/22,1404/10/01
438000000,432500000,438000000,437700000,2200000,0.51,2025/12/21,1404/09/30
446900000,435500000,446900000,435500000,7700000,1.77,2025/12/20,1404/09/29
445000000,443200000,446800000,443200000,200000,0.05,2025/12/18,1404/09/27
435000000,435000000,443000000,443000000,8000000,1.84,2025/12/17,1404/09/26
440000000,429300000,440000000,435000000,2700000,0.62,2025/12/16,1404/09/25
440000000,437700000,447800000,437700000,1600000,0.37,2025/12/15,1404/09/24
428800000,427300000,436100000,436100000,7400000,1.73,2025/12/14,1404/09/23
425000000,425000000,432000000,428700000,11700000,2.81,2025/12/13,1404/09/22
410000000,409100000,417000000,417000000,11300000,2.79,2025/12/11,1404/09/20
404000000,399100000,405700000,405700000,2500000,0.62,2025/12/10,1404/09/19
408000000,401200000,412000000,403200000,200000,0.05,2025/12/09,1404/09/18
405000000,398700000,407000000,403400000,7000000,1.77,2025/12/08,1404/09/17
395000000,391100000,397600000,396400000,6700000,1.72,2025/12/07,1404/09/16
380000000,380000000,392000000,389700000,13600000,3.62,2025/12/06,1404/09/15
377000000,375200000,377000000,376100000,1900000,0.51,2025/12/04,1404/09/13
368800000,368800000,378000000,378000000,7700000,2.08,2025/12/03,1404/09/12
375000000,363500000,375000000,370300000,3300000,0.89,2025/12/02,1404/09/11
372000000,372000000,378000000,373600000,7900000,2.16,2025/12/01,1404/09/10
370000000,362200000,372000000,365700000,2200000,0.6,2025/11/30,1404/09/09
360000000,356700000,367900000,367900000,15300000,4.34,2025/11/29,1404/09/08
357000000,352600000,357000000,352600000,2400000,0.68,2025/11/27,1404/09/06
355000000,352100000,356900000,355000000,1500000,0.42,2025/11/26,1404/09/05
350000000,347700000,354700000,353500000,4500000,1.29,2025/11/25,1404/09/04
345000000,345000000,349000000,349000000,6400000,1.87,2025/11/23,1404/09/02
350000000,342000000,350000000,342600000,5600000,1.63,2025/11/22,1404/09/01
350000000,348200000,353000000,348200000,1200000,0.34,2025/11/20,1404/08/29
344100000,344100000,352300000,349400000,5400000,1.57,2025/11/19,1404/08/28
340100000,340100000,346000000,344000000,1900000,0.56,2025/11/18,1404/08/27
343000000,339500000,343000000,342100000,3300000,0.97,2025/11/17,1404/08/26
352000000,337100000,352000000,338800000,14400000,4.25,2025/11/16,1404/08/25
360000000,350500000,363500000,353200000,11700000,3.31,2025/11/15,1404/08/24
365000000,359200000,368000000,364900000,14300000,4.08,2025/11/13,1404/08/22
347300000,347300000,355900000,350600000,6800000,1.98,2025/11/12,1404/08/21
338000000,338000000,345700000,343800000,7800000,2.32,2025/11/11,1404/08/20
335000000,334100000,337600000,336000000,2100000,0.63,2025/11/10,1404/08/19
333000000,333000000,334800000,333900000,1900000,0.57,2025/11/09,1404/08/18
335000000,332000000,336800000,332000000,4000000,1.2,2025/11/08,1404/08/17
335000000,335000000,336000000,336000000,3000000,0.9,2025/11/06,1404/08/15
338000000,332500000,338000000,333000000,1500000,0.45,2025/11/05,1404/08/14
335000000,332100000,338000000,334500000,500000,0.15,2025/11/04,1404/08/13
339000000,333400000,339000000,335000000,400000,0.12,2025/11/03,1404/08/12
339100000,335400000,339100000,335400000,2500000,0.75,2025/11/02,1404/08/11
334000000,334000000,337900000,337900000,4700000,1.41,2025/11/01,1404/08/10
333900000,333200000,334000000,333200000,600000,0.18,2025/10/30,1404/08/08
331900000,331900000,333800000,333800000,5800000,1.77,2025/10/29,1404/08/07
331900000,327100000,331900000,328000000,3100000,0.95,2025/10/28,1404/08/06
