بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
2680000,2680000,2680000,2680000,0,0.0,2010/04/04,1389/01/15
2680000,2680000,2680000,2680000,0,0.0,2010/04/05,1389/01/16
2680000,2680000,2680000,2680000,0,0.0,2010/04/06,1389/01/17
2713000,2680000,2733000,2716000,6000,0.0022,2010/04/07,1389/01/18
2740000,2690000,2792000,2726000,10000,0.0037,2010/04/09,1389/01/20
2750000,2750000,2750000,2750000,24000,0.0088,2010/04/11,1389/01/22
2760000,2760000,2760000,2760000,10000,0.0036,2010/04/12,1389/01/23
2750000,2750000,2750000,2750000,10000,0.0036,2010/04/13,1389/01/24
2743300,2722400,2773700,2744700,300,0.0001,2010/04/14,1389/01/25
2720000,2720000,2720000,2720000,24700,0.0091,2010/04/17,1389/01/28
2715000,2715000,2715000,2715000,5000,0.0018,2010/04/18,1389/01/29
2710000,2710000,2710000,2710000,5000,0.0018,2010/04/19,1389/01/30
2710000,2710000,2710000,2710000,0,0.0,2010/04/20,1389/01/31
2737000,2718000,2764000,2737000,7000,0.0026,2010/04/21,1389/02/01
2754000,2710000,2779000,2763000,7000,0.0025,2010/04/24,1389/02/04
2750000,2750000,2750000,2750000,13000,0.004699999999999999,2010/04/26,1389/02/06
2850000,2850000,2850000,2850000,100000,0.0364,2010/04/27,1389/02/07
2780000,2759000,2805000,2780000,0,0.0,2010/04/28,1389/02/08
2830000,2830000,2830000,2830000,50000,0.018000000000000002,2010/05/01,1389/02/11
2830000,2830000,2830000,2830000,0,0.0,2010/05/02,1389/02/12
2820000,2820000,2820000,2820000,10000,0.0034999999999999996,2010/05/03,1389/02/13
2825000,2825000,2825000,2825000,5000,0.0018,2010/05/04,1389/02/14
2838000,2787000,2907000,2859000,11000,0.0038,2010/05/05,1389/02/15
2900000,2900000,2900000,2900000,41000,0.0143,2010/05/08,1389/02/18
2890000,2890000,2890000,2890000,10000,0.0034999999999999996,2010/05/09,1389/02/19
2870000,2870000,2870000,2870000,20000,0.006999999999999999,2010/05/10,1389/02/20
2880000,2880000,2880000,2880000,10000,0.0034999999999999996,2010/05/11,1389/02/21
2950000,2903000,2976000,2950000,0,0.0,2010/05/12,1389/02/22
