0,1,2,3,4,5,6,7
1989800000,1959800000,2010100000,1964800000,54850000,2.87,2026/02/09,1404/11/20
1850050000,1849800000,1910100000,1909950000,60150000,3.25,2026/02/08,1404/11/19
1890100000,1849800000,1900100000,1849800000,120250000,6.5,2026/02/07,1404/11/18
1969950000,1949800000,1980100000,1970050000,30150000,1.55,2026/02/05,1404/11/16
1879800000,1879800000,1940100000,1939900000,130050000,7.19,2026/02/03,1404/11/14
1819950000,1799800000,1870100000,1809850000,90250000,4.99,2026/02/02,1404/11/13
1970100000,1899800000,1970100000,1900100000,139850000,7.36,2026/02/01,1404/11/12
1949850000,1929800000,2060100000,2039950000,60000000,2.94,2026/01/31,1404/11/11
2249900000,1999800000,2250100000,2099950000,70000000,3.45,2026/01/29,1404/11/09
1864850000,1864800000,2050100000,2029950000,164900000,8.84,2026/01/28,1404/11/08
1735050000,1734800000,1865100000,1865050000,130250000,7.51,2026/01/27,1404/11/07
1654850000,1654800000,1735100000,1734800000,79750000,4.82,2026/01/26,1404/11/06
1649850000,1634800000,1655100000,1655050000,4950000,0.3,2026/01/25,1404/11/05
1649850000,1649800000,1650100000,1650100000,0,0.0,2026/01/24,1404/11/04
1650100000,1649800000,1650100000,1650100000,150000,0.01,2026/01/22,1404/11/02
1649950000,1649800000,1650100000,1649950000,100000,0.01,2026/01/21,1404/11/01
1649800000,1649800000,1650100000,1650050000,50000,0.0,2026/01/20,1404/10/30
1650100000,1649800000,1650100000,1650100000,50000,0.0,2026/01/19,1404/10/29
1649800000,1649800000,1650100000,1650050000,0,0.0,2026/01/18,1404/10/28
1649950000,1649800000,1650100000,1650050000,50000,0.0,2026/01/17,1404/10/27
1649850000,1649800000,1650100000,1650100000,0,0.0,2026/01/15,1404/10/25
1650050000,1649800000,1650100000,1650100000,0,0.0,2026/01/14,1404/10/24
1650100000,1649800000,1650100000,1650100000,300000,0.02,2026/01/13,1404/10/23
1649800000,1649800000,1650100000,1649800000,150000,0.01,2026/01/12,1404/10/22
1650100000,1649800000,1650100000,1649950000,100000,0.01,2026/01/11,1404/10/21
1649900000,1649800000,1650100000,1650050000,0,0.0,2026/01/10,1404/10/20
1664950000,1649800000,1665100000,1650050000,15050000,0.91,2026/01/08,1404/10/18
1660100000,1654800000,1665100000,1665100000,5150000,0.31,2026/01/07,1404/10/17
1674850000,1649800000,1700100000,1659950000,59850000,3.74,2026/01/06,1404/10/16
1570100000,1569800000,1600100000,1600100000,65300000,4.25,2026/01/05,1404/10/15
1550050000,1496800000,1550100000,1534800000,54900000,3.71,2026/01/04,1404/10/14
1489850000,1479800000,1495100000,1479900000,10150000,0.69,2026/01/01,1404/10/11
1539850000,1489800000,1540100000,1490050000,64750000,4.35,2025/12/31,1404/10/10
1535050000,1534800000,1555100000,1554800000,54750000,3.65,2025/12/30,1404/10/09
1619900000,1499800000,1620100000,1500050000,150000000,10.0,2025/12/29,1404/10/08
1644800000,1619800000,1695100000,1650050000,61950000,3.9,2025/12/28,1404/10/07
1539950000,1539800000,1588100000,1588100000,78250000,5.18,2025/12/27,1404/10/06
1519900000,1494800000,1520100000,1509850000,20000000,1.32,2025/12/25,1404/10/04
1505050000,1504800000,1532100000,1529850000,51050000,3.45,2025/12/24,1404/10/03
1458100000,1457800000,1479100000,1478800000,36750000,2.55,2025/12/23,1404/10/02
1438100000,1437800000,1442100000,1442050000,22150000,1.56,2025/12/22,1404/10/01
1417050000,1397800000,1420100000,1419900000,3050000,0.21,2025/12/21,1404/09/30
1444900000,1422800000,1445100000,1422950000,17150000,1.21,2025/12/20,1404/09/29
1446950000,1439800000,1447100000,1440100000,2150000,0.15,2025/12/18,1404/09/27
1408100000,1407800000,1438100000,1437950000,37850000,2.7,2025/12/17,1404/09/26
1415050000,1389800000,1415100000,1400100000,17850000,1.27,2025/12/16,1404/09/25
1424900000,1414800000,1445100000,1417950000,7900000,0.56,2025/12/15,1404/09/24
1385100000,1379800000,1410100000,1410050000,14950000,1.07,2025/12/14,1404/09/23
1364950000,1364800000,1395100000,1395100000,47050000,3.49,2025/12/13,1404/09/22
1330100000,1329800000,1348100000,1348050000,22950000,1.73,2025/12/11,1404/09/20
1325050000,1311800000,1325100000,1325100000,7150000,0.54,2025/12/10,1404/09/19
1341950000,1317800000,1345100000,1317950000,11950000,0.91,2025/12/09,1404/09/18
1330050000,1327800000,1340100000,1329900000,9850000,0.75,2025/12/08,1404/09/17
1307800000,1306800000,1325100000,1320050000,17250000,1.32,2025/12/07,1404/09/16
1287800000,1287800000,1303100000,1302800000,29850000,2.34,2025/12/06,1404/09/15
1274900000,1272800000,1277100000,1272950000,6950000,0.55,2025/12/04,1404/09/13
1262050000,1261800000,1280100000,1279900000,22850000,1.82,2025/12/03,1404/09/12
1262050000,1234800000,1262100000,1257050000,12050000,0.96,2025/12/02,1404/09/11
1255050000,1254800000,1270100000,1269100000,26300000,2.12,2025/12/01,1404/09/10
1236850000,1231800000,1243100000,1242800000,14700000,1.2,2025/11/30,1404/09/09
1199850000,1199800000,1228100000,1228100000,38050000,3.2,2025/11/29,1404/09/08
1189900000,1187800000,1193100000,1190050000,1900000,0.16,2025/11/27,1404/09/06
1182050000,1177800000,1192100000,1191950000,16900000,1.44,2025/11/26,1404/09/05
1184900000,1172800000,1185100000,1175050000,3050000,0.26,2025/11/25,1404/09/04
1164850000,1164800000,1178100000,1178100000,16000000,1.38,2025/11/23,1404/09/02
1173050000,1158800000,1173100000,1162100000,12950000,1.11,2025/11/22,1404/09/01
1181900000,1174800000,1185100000,1175050000,250000,0.02,2025/11/20,1404/08/29
1158100000,1157800000,1178100000,1174800000,11700000,1.01,2025/11/19,1404/08/28
1149850000,1149800000,1163100000,1163100000,2300000,0.2,2025/11/18,1404/08/27
1157100000,1156800000,1161100000,1160800000,8900000,0.77,2025/11/17,1404/08/26
1165100000,1151800000,1167100000,1151900000,15200000,1.32,2025/11/16,1404/08/25
1175050000,1166800000,1182100000,1167100000,27950000,2.39,2025/11/15,1404/08/24
1185050000,1184800000,1200100000,1195050000,20200000,1.72,2025/11/13,1404/08/22
1160050000,1159900000,1178100000,1174850000,21750000,1.89,2025/11/12,1404/08/21
1127900000,1127800000,1153100000,1153100000,33150000,2.96,2025/11/11,1404/08/20
1118050000,1115800000,1120100000,1119950000,7850000,0.71,2025/11/10,1404/08/19
1110050000,1109800000,1113100000,1112100000,6000000,0.54,2025/11/09,1404/08/18
1111850000,1105800000,1112100000,1106100000,8000000,0.72,2025/11/08,1404/08/17
1114050000,1113800000,1116100000,1114100000,4150000,0.37,2025/11/06,1404/08/15
1111950000,1109800000,1113100000,1109950000,2150000,0.19,2025/11/05,1404/08/14
1108850000,1107800000,1118100000,1112100000,3200000,0.29,2025/11/04,1404/08/13
1118050000,1108800000,1118100000,1108900000,6050000,0.55,2025/11/03,1404/08/12
1122100000,1114800000,1122100000,1114950000,150000,0.01,2025/11/02,1404/08/11
1110050000,1107800000,1117100000,1114800000,2000000,0.18,2025/11/01,1404/08/10
1110100000,1109800000,1113100000,1112800000,5700000,0.51,2025/10/30,1404/08/08
1105900000,1105800000,1115100000,1107100000,10250000,0.93,2025/10/29,1404/08/07
1114800000,1094800000,1115100000,1096850000,18200000,1.66,2025/10/28,1404/08/06
1129800000,1114800000,1130100000,1115050000,13500000,1.21,2025/10/27,1404/08/05
1129900000,1127800000,1136100000,1128550000,3450000,0.31,2025/10/26,1404/08/04
1119800000,1114800000,1130100000,1125100000,11800000,1.05,2025/10/25,1404/08/03
1133100000,1132800000,1137100000,1136900000,11800000,1.05,2025/10/23,1404/08/01
1130050000,1119800000,1130100000,1125100000,6850000,0.61,2025/10/22,1404/07/30
1145100000,1131800000,1145100000,1131950000,7100000,0.63,2025/10/21,1404/07/29
1150050000,1129800000,1150100000,1139050000,11050000,0.97,2025/10/20,1404/07/28
1139800000,1137800000,1155100000,1150100000,22000000,1.95,2025/10/19,1404/07/27
1144900000,1127800000,1145100000,1128100000,23700000,2.1,2025/10/18,1404/07/26
1154950000,1149800000,1155100000,1151800000,9700000,0.85,2025/10/16,1404/07/24
1132800000,1132800000,1145100000,1142100000,19200000,1.71,2025/10/15,1404/07/23
1130100000,1122800000,1130100000,1122900000,10150000,0.9,2025/10/14,1404/07/22
1142050000,1129800000,1142100000,1133050000,3900000,0.34,2025/10/13,1404/07/21
1135100000,1119800000,1137100000,1136950000,2850000,0.25,2025/10/12,1404/07/20
1145050000,1139800000,1155100000,1139800000,13250000,1.16,2025/10/11,1404/07/19
1154950000,1149800000,1160100000,1153050000,21750000,1.89,2025/10/09,1404/07/17
1175050000,1174800000,1188100000,1174800000,24750000,2.15,2025/10/08,1404/07/16
1115100000,1114800000,1150100000,1150050000,25000000,2.22,2025/10/07,1404/07/15
1130100000,1114800000,1130100000,1125050000,3150000,0.28,2025/10/06,1404/07/14
1139900000,1121800000,1140100000,1121900000,26150000,2.33,2025/10/05,1404/07/13
1160100000,1138800000,1160100000,1148050000,22050000,1.92,2025/10/04,1404/07/12
1165050000,1164800000,1180100000,1170100000,20300000,1.77,2025/10/02,1404/07/10
1129950000,1129800000,1158100000,1149800000,14700000,1.3,2025/10/01,1404/07/09
1129950000,1109800000,1135100000,1135100000,15050000,1.34,2025/09/30,1404/07/08
1084850000,1079800000,1120100000,1120050000,45200000,4.21,2025/09/29,1404/07/07
1120100000,1074800000,1120100000,1074850000,50100000,4.66,2025/09/28,1404/07/06
1125100000,1104800000,1125100000,1124950000,40050000,3.69,2025/09/27,1404/07/05
1070100000,1069800000,1085100000,1084900000,15100000,1.41,2025/09/25,1404/07/03
1069850000,1069800000,1080100000,1069800000,34850000,3.37,2025/09/24,1404/07/02
1014800000,1004800000,1035100000,1034950000,25000000,2.48,2025/09/23,1404/07/01
1034950000,1000050000,999950000,1009950000,19950000,1.98,2025/09/22,1404/06/31
1019950000,1019800000,1045100000,1029900000,35050000,3.52,2025/09/21,1404/06/30
980100000,979800000,999100000,994850000,56950000,6.07,2025/09/20,1404/06/29
936950000,933800000,938100000,937900000,2150000,0.23,2025/09/18,1404/06/27
940100000,937800000,943100000,940050000,2750000,0.29,2025/09/17,1404/06/26
935100000,934800000,948100000,942800000,14950000,1.61,2025/09/16,1404/06/25
915050000,914800000,928100000,927850000,15000000,1.64,2025/09/15,1404/06/24
902050000,901800000,913100000,912850000,8000000,0.88,2025/09/14,1404/06/23
925050000,904800000,925100000,904850000,20250000,2.24,2025/09/13,1404/06/22
928050000,924800000,928100000,925100000,14800000,1.6,2025/09/11,1404/06/20
933050000,929800000,940100000,939900000,7100000,0.76,2025/09/09,1404/06/18
938050000,931800000,942100000,932800000,700000,0.08,2025/09/08,1404/06/17
934850000,931800000,940100000,932100000,2300000,0.25,2025/09/07,1404/06/16
934950000,917800000,935100000,929800000,9700000,1.05,2025/09/06,1404/06/15
930850000,919800000,931100000,920100000,17800000,1.93,2025/09/04,1404/06/13
938050000,929800000,940100000,937900000,2850000,0.3,2025/09/03,1404/06/12
974850000,934800000,975100000,935050000,40050000,4.28,2025/09/02,1404/06/11
950050000,949800000,975100000,975100000,20200000,2.12,2025/08/31,1404/06/09
975050000,954800000,985100000,954900000,19850000,2.12,2025/08/30,1404/06/08
944850000,934800000,950100000,935050000,20000000,2.19,2025/08/28,1404/06/06
