بازگشایی,کمترین,بیشترین,پایانی,میزان تغییر,درصد تغییر,تاریخ میلادی,تاریخ شمسی
5.8,5.8,5.8,5.8,0.14,0.0241,1982/07/01,1361/04/10
5.94,5.94,5.94,5.94,0.14,0.0241,1982/07/02,1361/04/11
5.76,5.76,5.76,5.76,0.18,0.031200000000000002,1982/07/06,1361/04/15
5.57,5.57,5.57,5.57,0.19,0.0341,1982/07/07,1361/04/16
5.93,5.93,5.93,5.93,0.36,0.0646,1982/07/08,1361/04/17
6.24,6.24,6.24,6.24,0.31,0.052300000000000006,1982/07/09,1361/04/18
6.3,6.3,6.3,6.3,0.06,0.0096,1982/07/12,1361/04/21
6.45,6.45,6.45,6.45,0.15,0.023799999999999998,1982/07/13,1361/04/22
6.47,6.47,6.47,6.47,0.02,0.0031,1982/07/14,1361/04/23
6.49,6.49,6.49,6.49,0.02,0.0031,1982/07/15,1361/04/24
6.4,6.4,6.4,6.4,0.09,0.0141,1982/07/16,1361/04/25
6.51,6.51,6.51,6.51,0.11,0.0172,1982/07/19,1361/04/28
6.77,6.77,6.77,6.77,0.26,0.039900000000000005,1982/07/20,1361/04/29
7.21,7.21,7.21,7.21,0.44,0.065,1982/07/21,1361/04/30
6.92,6.92,6.92,6.92,0.29,0.04190000000000001,1982/07/22,1361/04/31
7.21,7.21,7.21,7.21,0.29,0.04190000000000001,1982/07/23,1361/05/01
7.2,7.2,7.2,7.2,0.01,0.0014000000000000002,1982/07/26,1361/05/04
7.31,7.31,7.31,7.31,0.11,0.015300000000000001,1982/07/27,1361/05/05
6.95,6.95,6.95,6.95,0.36,0.0518,1982/07/28,1361/05/06
6.45,6.45,6.45,6.45,0.5,0.0775,1982/07/29,1361/05/07
6.56,6.56,6.56,6.56,0.11,0.0171,1982/07/30,1361/05/08
6.93,6.93,6.93,6.93,0.37,0.0564,1982/08/02,1361/05/11
6.97,6.97,6.97,6.97,0.04,0.0058,1982/08/03,1361/05/12
6.88,6.88,6.88,6.88,0.09,0.0131,1982/08/04,1361/05/13
6.89,6.89,6.89,6.89,0.01,0.0015,1982/08/05,1361/05/14
6.89,6.89,6.89,6.89,0.0,0.0,1982/08/06,1361/05/15
6.51,6.51,6.51,6.51,0.38,0.0584,1982/08/09,1361/05/18
6.38,6.38,6.38,6.38,0.13,0.0204,1982/08/10,1361/05/19
6.22,6.22,6.22,6.22,0.16,0.025699999999999997,1982/08/11,1361/05/20
6.29,6.29,6.29,6.29,0.07,0.0113,1982/08/12,1361/05/21
6.41,6.41,6.41,6.41,0.12,0.0191,1982/08/13,1361/05/22
6.53,6.53,6.53,6.53,0.12,0.0187,1982/08/16,1361/05/25
6.43,6.43,6.43,6.43,0.1,0.015600000000000001,1982/08/17,1361/05/26
7.03,7.03,7.03,7.03,0.6,0.0933,1982/08/18,1361/05/27
6.94,6.94,6.94,6.94,0.09,0.013000000000000001,1982/08/19,1361/05/28
7.68,7.68,7.68,7.68,0.74,0.1066,1982/08/20,1361/05/29
8.0,8.0,8.0,8.0,0.32,0.0417,1982/08/23,1361/06/01
8.31,8.31,8.31,8.31,0.31,0.0388,1982/08/24,1361/06/02
7.78,7.78,7.78,7.78,0.53,0.0681,1982/08/25,1361/06/03
8.18,8.18,8.18,8.18,0.4,0.051399999999999994,1982/08/26,1361/06/04
8.06,8.06,8.06,8.06,0.12,0.0149,1982/08/27,1361/06/05
7.72,7.72,7.72,7.72,0.34,0.044000000000000004,1982/08/30,1361/06/08
7.97,7.97,7.97,7.97,0.25,0.032400000000000005,1982/08/31,1361/06/09
7.64,7.64,7.64,7.64,0.33,0.0432,1982/09/01,1361/06/10
7.97,7.97,7.97,7.97,0.33,0.0432,1982/09/02,1361/06/11
8.78,8.78,8.78,8.78,0.81,0.1016,1982/09/03,1361/06/12
9.15,9.15,9.15,9.15,0.37,0.0421,1982/09/07,1361/06/16
8.82,8.82,8.82,8.82,0.33,0.0374,1982/09/08,1361/06/17
9.31,9.31,9.31,9.31,0.49,0.0556,1982/09/09,1361/06/18
8.99,8.99,8.99,8.99,0.32,0.0356,1982/09/10,1361/06/19
8.88,8.88,8.88,8.88,0.11,0.0124,1982/09/13,1361/06/22
9.19,9.19,9.19,9.19,0.31,0.0349,1982/09/14,1361/06/23
8.92,8.92,8.92,8.92,0.27,0.030299999999999997,1982/09/15,1361/06/24
9.12,9.12,9.12,9.12,0.2,0.022400000000000003,1982/09/16,1361/06/25
9.02,9.02,9.02,9.02,0.1,0.0111,1982/09/17,1361/06/26
8.65,8.65,8.65,8.65,0.37,0.042800000000000005,1982/09/20,1361/06/29
8.74,8.74,8.74,8.74,0.09,0.0104,1982/09/21,1361/06/30
9.14,9.14,9.14,9.14,0.4,0.0458,1982/09/22,1361/06/31
9.0,9.0,9.0,9.0,0.14,0.015600000000000001,1982/09/23,1361/07/01
8.89,8.89,8.89,8.89,0.11,0.0124,1982/09/24,1361/07/02
8.4,8.4,8.4,8.4,0.49,0.0583,1982/09/27,1361/07/05
8.4,8.4,8.4,8.4,0.0,0.0,1982/09/28,1361/07/06
8.12,8.12,8.12,8.12,0.28,0.0345,1982/09/29,1361/07/07
8.11,8.11,8.11,8.11,0.01,0.0012,1982/09/30,1361/07/08
8.3,8.3,8.3,8.3,0.19,0.023399999999999997,1982/10/01,1361/07/09
7.96,7.96,7.96,7.96,0.34,0.042699999999999995,1982/10/04,1361/07/12
8.06,8.06,8.06,8.06,0.1,0.0126,1982/10/05,1361/07/13
8.25,8.25,8.25,8.25,0.19,0.0236,1982/10/06,1361/07/14
8.78,8.78,8.78,8.78,0.53,0.0642,1982/10/07,1361/07/15
8.98,8.98,8.98,8.98,0.2,0.022799999999999997,1982/10/08,1361/07/16
9.43,9.43,9.43,9.43,0.45,0.0501,1982/10/12,1361/07/20
9.47,9.47,9.47,9.47,0.04,0.0042,1982/10/13,1361/07/21
