0,1,2,3,4,5,6,7
83.655,80.0185,84.0205,81.0325,2.7415,3.38,2026/02/10,1404/11/21
79.085,78.0169,83.8515,83.774,5.7571,7.38,2026/02/09,1404/11/20
76.622,76.622,78.0169,78.0169,0.5244,0.68,2026/02/07,1404/11/18
73.968,64.171,78.0595,77.4925,3.1195,4.19,2026/02/06,1404/11/17
86.6175,72.4945,90.376,74.373,11.41,15.34,2026/02/05,1404/11/16
84.545,84.0115,92.208,85.783,0.405,0.47,2026/02/04,1404/11/15
79.42,78.9347,89.2,85.1576,5.703,7.18,2026/02/03,1404/11/14
81.8845,71.3678,87.9407,79.4546,5.2494,6.61,2026/02/02,1404/11/13
116.1339,73.785,118.503,84.704,31.4455,37.12,2026/01/30,1404/11/10
116.62,105.6241,121.67,116.1495,0.46,0.4,2026/01/29,1404/11/09
113.03,110.52,117.455,116.6095,3.5837,3.17,2026/01/28,1404/11/08
103.9319,103.3885,113.4688,113.0258,9.1274,8.78,2026/01/27,1404/11/07
104.3867,102.4536,117.7363,103.8984,0.9257,0.9,2026/01/26,1404/11/06
96.195,96.1174,103.0335,102.9727,6.774,7.04,2026/01/23,1404/11/03
93.2557,90.8396,96.6092,96.1987,2.9427,3.16,2026/01/22,1404/11/02
94.6286,90.3638,95.5199,93.256,1.359,1.46,2026/01/21,1404/11/01
94.4252,92.5886,95.8956,94.615,0.09,0.1,2026/01/20,1404/10/30
91.0785,91.0041,94.705,94.705,4.7506,5.28,2026/01/19,1404/10/29
92.3426,86.9,92.8314,89.9544,2.3881,2.65,2026/01/16,1404/10/26
92.778,86.305,93.6138,92.3425,0.4355,0.47,2026/01/15,1404/10/25
86.9818,86.8894,93.5174,92.778,5.7962,6.66,2026/01/14,1404/10/24
84.9802,83.4302,89.1405,86.9818,2.0016,2.36,2026/01/13,1404/10/23
80.4298,79.9649,86.261,84.9802,5.0078,6.26,2026/01/12,1404/10/22
76.9214,75.4892,80.5274,79.9724,3.0509,3.97,2026/01/09,1404/10/19
78.1512,73.8314,79.0462,76.9215,1.2312,1.6,2026/01/08,1404/10/18
81.2979,76.3664,82.7738,78.1527,3.1452,4.02,2026/01/07,1404/10/17
76.5502,75.883,81.4387,81.2979,4.7379,6.19,2026/01/06,1404/10/16
73.7428,72.9152,77.9,76.56,3.9,5.37,2026/01/05,1404/10/15
71.295,71.295,74.575,72.66,0.0235,0.03,2026/01/02,1404/10/12
72.421,71.136,72.975,72.6835,1.3907,1.95,2026/01/01,1404/10/11
76.5065,70.0604,76.5135,71.2928,5.2072,7.3,2025/12/31,1404/10/10
72.2496,71.1517,78.085,76.5,4.2532,5.89,2025/12/30,1404/10/09
80.225,70.525,83.645,72.2468,6.9141,9.57,2025/12/29,1404/10/08
71.965,71.965,79.3274,79.1609,6.0334,8.25,2025/12/26,1404/10/05
73.6405,72.7035,73.824,73.1275,1.1591,1.61,2025/12/25,1404/10/04
71.455,70.1909,72.725,71.9684,0.5135,0.72,2025/12/24,1404/10/03
69.0681,68.8429,71.5875,71.4549,2.3949,3.47,2025/12/23,1404/10/02
67.386,67.2976,69.47,69.06,1.8937,2.82,2025/12/22,1404/10/01
65.4383,64.48,67.475,67.1663,1.7282,2.64,2025/12/19,1404/09/28
66.3264,64.6289,66.635,65.4381,0.8819,1.35,2025/12/18,1404/09/27
63.7921,63.6706,66.9057,66.32,2.5286,3.96,2025/12/17,1404/09/26
63.9778,62.166,64.1689,63.7914,0.1763,0.28,2025/12/16,1404/09/25
61.565,60.545,64.1721,63.9677,1.9483,3.14,2025/12/15,1404/09/24
63.5782,60.8037,64.6699,62.0194,1.5586,2.51,2025/12/12,1404/09/21
61.7979,61.4307,64.335,63.578,1.7799,2.88,2025/12/11,1404/09/20
60.6824,60.095,61.9585,61.7981,1.1156,1.84,2025/12/10,1404/09/19
58.1325,57.5934,60.8428,60.6825,2.55,4.39,2025/12/09,1404/09/18
58.3353,57.5599,58.6472,58.1325,0.1626,0.28,2025/12/08,1404/09/17
57.1429,56.8772,59.3474,58.2951,1.1601,2.03,2025/12/05,1404/09/14
58.4868,56.4809,58.775,57.135,1.3517,2.37,2025/12/04,1404/09/13
58.4654,57.5307,59.005,58.4867,0.0117,0.02,2025/12/03,1404/09/12
57.9744,56.5848,58.675,58.475,0.5006,0.86,2025/12/02,1404/09/11
56.3523,56.1809,58.855,57.9744,1.5694,2.78,2025/12/01,1404/09/10
53.465,53.3369,56.5509,56.405,2.94,5.5,2025/11/28,1404/09/07
53.3786,52.6773,53.925,53.465,0.0862,0.16,2025/11/27,1404/09/06
51.4406,51.2845,53.415,53.3788,1.9381,3.77,2025/11/26,1404/09/05
51.4081,50.6822,51.765,51.4407,0.0327,0.06,2025/11/25,1404/09/04
50.035,49.7109,51.435,51.408,1.3715,2.74,2025/11/24,1404/09/03
50.6058,48.6281,50.8684,50.0365,0.5694,1.14,2025/11/21,1404/08/30
51.396,50.2162,51.8777,50.6059,0.7841,1.55,2025/11/20,1404/08/29
50.7091,50.3625,52.505,51.39,0.6787,1.34,2025/11/19,1404/08/28
50.2145,49.3485,51.205,50.7113,0.497,0.99,2025/11/18,1404/08/27
50.565,49.5701,51.325,50.2143,0.3457,0.69,2025/11/17,1404/08/26
52.345,50.0634,53.575,50.56,1.7767,3.51,2025/11/14,1404/08/23
53.4195,52.062,54.405,52.3367,1.0825,2.07,2025/11/13,1404/08/22
51.2347,50.8649,53.695,53.4192,2.1845,4.26,2025/11/12,1404/08/21
50.5472,50.2667,51.2668,51.2347,0.6875,1.36,2025/11/11,1404/08/20
48.335,48.3187,50.6188,50.5472,2.2089,4.57,2025/11/10,1404/08/19
48.0268,47.9497,48.895,48.3383,0.3233,0.67,2025/11/07,1404/08/16
48.0709,47.6487,48.8111,48.015,0.056,0.12,2025/11/06,1404/08/15
47.1374,46.8924,48.305,48.071,0.941,2.0,2025/11/05,1404/08/14
48.1128,46.87,48.235,47.13,0.975,2.07,2025/11/04,1404/08/13
48.662,48.002,49.145,48.105,0.57,1.18,2025/11/03,1404/08/12
48.929,48.3646,49.41,48.675,0.255,0.52,2025/10/31,1404/08/09
47.543,47.258,49.005,48.93,1.355,2.85,2025/10/30,1404/08/08
47.05,46.846,48.4745,47.575,0.51,1.08,2025/10/29,1404/08/07
47.0139,45.5431,47.277,47.065,0.15,0.32,2025/10/28,1404/08/06
48.525,46.0769,48.7003,46.915,1.6975,3.62,2025/10/27,1404/08/05
48.9085,47.8143,49.037,48.6125,0.3325,0.68,2025/10/24,1404/08/02
